0.32111864316097666 + 0.0im	0.1007786871344941 + 0.0im
0.1007786871344941 + 0.0im	-0.3211186431609765 + 0.0im

0.044825445288412064 + 0.0im	0.09035580739192174 + 0.0im
0.09035580739192178 + 0.0im	-0.04482544528841216 + 0.0im

0.008283336791994722 + 0.0im	0.11449542410331205 + 0.0im
0.11449542410331207 + 0.0im	-0.008283336791994708 + 0.0im

-0.08304480131130229 + 0.0im	0.11631120226842374 + 0.0im
0.11631120226842374 + 0.0im	0.08304480131130214 + 0.0im

-0.0749597281197655 + 0.0im	0.03298580072577551 + 0.0im
0.03298580072577549 + 0.0im	0.0749597281197655 + 0.0im

0.14295575137382144 + 0.0im	0.013097444731146417 + 0.0im
0.013097444731146426 + 0.0im	-0.1429557513738213 + 0.0im

-0.005535682100480083 + 0.0im	-0.14704768553781988 + 0.0im
-0.14704768553781986 + 0.0im	0.005535682100480069 + 0.0im

-0.06707268654787768 + 0.0im	0.09384300732621213 + 0.0im
0.09384300732621216 + 0.0im	0.06707268654787771 + 0.0im

-0.028907733743195135 + 0.0im	0.07079958296810353 + 0.0im
0.07079958296810354 + 0.0im	0.028907733743195135 + 0.0im

-0.04826046216450336 + 0.0im	-0.1343476568974838 + 0.0im
-0.13434765689748382 + 0.0im	0.04826046216450338 + 0.0im

-0.007437894991368918 + 0.0im	0.010604899644183888 + 0.0im
0.01060489964418388 + 0.0im	0.007437894991368904 + 0.0im

-0.004455551704084147 + 0.0im	-0.06091240954121443 + 0.0im
-0.06091240954121442 + 0.0im	0.0044555517040841645 + 0.0im

-0.02574475213248869 + 0.0im	-0.1185097610412883 + 0.0im
-0.11850976104128833 + 0.0im	0.02574475213248871 + 0.0im

0.013145174498605514 + 0.0im	-0.07327233552169617 + 0.0im
-0.07327233552169618 + 0.0im	-0.013145174498605527 + 0.0im

-0.0290961013576244 + 0.0im	0.10732708079229775 + 0.0im
0.10732708079229773 + 0.0im	0.029096101357624332 + 0.0im

-0.08599171887558699 + 0.0im	0.02947213179481143 + 0.0im
0.029472131794811444 + 0.0im	0.08599171887558688 + 0.0im

0.07220241114880313 + 0.0im	-0.01690990326853864 + 0.0im
-0.016909903268538633 + 0.0im	-0.07220241114880309 + 0.0im

-0.10334232631112802 + 0.0im	-0.03613319023611634 + 0.0im
-0.03613319023611633 + 0.0im	0.10334232631112787 + 0.0im

-0.02982169489268885 + 0.0im	0.051213452389838945 + 0.0im
0.05121345238983896 + 0.0im	0.02982169489268957 + 0.0im

0.021884018739011794 + 0.0im	-0.04977953013536661 + 0.0im
-0.049779530135366595 + 0.0im	-0.02188401873901254 + 0.0im

-0.08242468884858103 + 0.0im	0.06441547130660302 + 0.0im
0.06441547130660304 + 0.0im	0.08242468884858101 + 0.0im

0.04819517991292595 + 0.0im	0.01621483643844772 + 0.0im
0.01621483643844772 + 0.0im	-0.04819517991292584 + 0.0im

-0.049949399076310456 + 0.0im	-0.01895416513674017 + 0.0im
-0.01895416513674017 + 0.0im	0.04994939907631036 + 0.0im

-0.022322848582974293 + 0.0im	-0.09940469796554656 + 0.0im
-0.09940469796554656 + 0.0im	0.0223228485829753 + 0.0im

0.02076384999939543 + 0.0im	-0.0918519222236999 + 0.0im
-0.0918519222236999 + 0.0im	-0.020763849999382758 + 0.0im

-0.02092912895364095 + 0.0im	0.09321055008259693 + 0.0im
0.09321055008259696 + 0.0im	0.02092912895362776 + 0.0im

0.004616157600296565 + 0.0im	0.10011838307031345 + 0.0im
0.10011838307031344 + 0.0im	-0.0046161576002955035 + 0.0im

-0.0046875735217495745 + 0.0im	-0.099132980776637 + 0.0im
-0.09913298077663701 + 0.0im	0.004687573521749554 + 0.0im

0.004625398600092742 + 0.0im	-0.10023223084567545 + 0.0im
-0.10023223084567547 + 0.0im	-0.004625398600093492 + 0.0im

-0.01006288492824528 + 0.0im	-0.09223976419759765 + 0.0im
-0.09223976419759766 + 0.0im	0.010062884928255925 + 0.0im

0.010052910058420038 + 0.0im	0.09191251662868058 + 0.0im
0.09191251662868058 + 0.0im	-0.010052910058431758 + 0.0im

-0.010342284286365647 + 0.0im	0.09966840701621019 + 0.0im
0.09966840701621019 + 0.0im	0.010342284286367222 + 0.0im

-0.02131262266829473 + 0.0im	-0.018281031545881874 + 0.0im
-0.01828103154588186 + 0.0im	0.021312622674465424 + 0.0im

0.021263785335130916 + 0.0im	0.018406326251316954 + 0.0im
0.018406326251316947 + 0.0im	-0.02126378534129214 + 0.0im

-0.059789132226261144 + 0.0im	0.08025929963878789 + 0.0im
0.08025929963878792 + 0.0im	0.059789132234080763 + 0.0im
