0.3175108839668137 + 0.0im	1.8851459394973302e-17 - 0.0im
0.0 + 0.0im	-0.31751088396681376 + 0.0im

-0.4815097424498147 + 0.0im	1.944215899656477e-17 + 0.0im
0.0 + 0.0im	0.48150974244981454 + 0.0im

0.536479926047888 + 0.0im	2.677449970447162e-17 + 0.0im
0.0 + 0.0im	-0.536479926047888 + 0.0im

-0.5249555449684981 + 0.0im	2.965268457201723e-17 + 0.0im
0.0 + 0.0im	0.5249555449684983 + 0.0im

0.39591146873423266 + 0.0im	-2.819709153938522e-17 + 0.0im
0.0 + 0.0im	-0.3959114687342325 + 0.0im

-0.2563708149321278 + 0.0im	-1.8437472042002762e-17 + 0.0im
0.0 + 0.0im	0.2563708149321279 + 0.0im

-0.2021234262571974 + 0.0im	-1.7483607064276013e-17 + 0.0im
0.0 + 0.0im	-0.20212342625719748 + 0.0im

0.12921677212353724 + 0.0im	2.0117879530236887e-17 + 0.0im
0.0 + 0.0im	0.12921677212353724 + 0.0im

0.11219846031471746 + 0.0im	3.2471008032993603e-18 + 0.0im
0.0 + 0.0im	-0.11219846031471742 + 0.0im

-0.11028562992921372 + 0.0im	-5.433546950046886e-17 + 0.0im
0.0 + 0.0im	-0.11028562992921374 + 0.0im

0.03978787307400225 + 0.0im	-8.470329472543003e-21 + 0.0im
0.0 + 0.0im	0.03978787307400224 + 0.0im

-0.12577983966984418 + 0.0im	1.2276472021030202e-17 + 0.0im
0.0 + 0.0im	-0.12577983966984435 + 0.0im

0.030360178129421152 + 0.0im	6.552435121722454e-18 + 0.0im
0.0 + 0.0im	0.030360178129421163 + 0.0im

0.029415791660019175 + 0.0im	-5.2254521307301856e-18 + 0.0im
0.0 + 0.0im	-0.029415791660019234 + 0.0im

-0.08873790874631242 + 0.0im	1.3013983608204521e-16 + 0.0im
0.0 + 0.0im	-0.08873790874631254 + 0.0im

0.01096778676671623 + 0.0im	-1.308120626048099e-16 + 0.0im
0.0 + 0.0im	0.010967786766716356 + 0.0im

0.028224779345691065 + 0.0im	-6.002518038958913e-16 + 0.0im
0.0 + 0.0im	-0.028224779345690953 + 0.0im

-0.04267062057779063 + 0.0im	-6.453141684480568e-16 + 0.0im
0.0 + 0.0im	-0.04267062057779134 + 0.0im

0.004495035836720122 + 0.0im	2.8440522455679e-15 + 0.0im
0.0 + 0.0im	0.004495035836719753 + 0.0im

-0.03474940121068392 + 0.0im	-2.4360455804796864e-15 + 0.0im
0.0 + 0.0im	-0.034749401210681846 + 0.0im

0.01456194990782975 + 0.0im	4.577075514661331e-15 + 0.0im
0.0 + 0.0im	-0.014561949907828556 + 0.0im

0.0018423351995887213 + 0.0im	-1.4042727463138853e-14 + 0.0im
0.0 + 0.0im	0.0018423351995676973 + 0.0im

-0.06224481411273462 + 0.0im	-3.580380315956668e-15 + 0.0im
0.0 + 0.0im	-0.06224481411271894 + 0.0im

0.003188098434163278 + 0.0im	-5.624064988675112e-15 + 0.0im
0.0 + 0.0im	-0.0031880984341550694 + 0.0im

0.0010172971011588035 + 0.0im	4.469614879862901e-15 + 0.0im
0.0 + 0.0im	0.0010172971011173106 + 0.0im

-0.09889249407103302 + 0.0im	1.4336405326775825e-15 + 0.0im
0.0 + 0.0im	-0.0988924940709895 + 0.0im

0.0005749040785320302 + 0.0im	-5.132932839483966e-16 + 0.0im
0.0 + 0.0im	0.0005749040785357107 + 0.0im

0.001512365541883781 + 0.0im	-2.148308191835869e-14 + 0.0im
0.0 + 0.0im	-0.0015123655429471559 + 0.0im

-0.03525833124112985 + 0.0im	-1.8170797440493491e-13 + 0.0im
0.0 + 0.0im	-0.035258331242909585 + 0.0im

0.00017439576055237386 + 0.0im	1.012744427470564e-13 + 0.0im
0.0 + 0.0im	0.00017439576528092534 + 0.0im

0.004564551237758513 + 0.0im	4.8327681908509555e-12 + 0.0im
0.0 + 0.0im	-0.004564551251414115 + 0.0im

-0.004744645165342924 + 0.0im	5.538637785711641e-13 + 0.0im
0.0 + 0.0im	-0.0047446451885323855 + 0.0im

7.11302670568344e-5 + 0.0im	-1.4827371625655937e-10 + 0.0im
0.0 + 0.0im	7.113067857687487e-5 + 0.0im

-0.02054280617111006 + 0.0im	2.0431206877059166e-10 + 0.0im
0.0 + 0.0im	-0.020542806332129623 + 0.0im

0.000417627815936016 + 0.0im	-1.1247755974060474e-10 + 0.0im
0.0 + 0.0im	-0.0004176281265922616 + 0.0im
