0.32955749803171663 + 0.0im	0.10033389571485755 + 0.0im
0.10033389571485755 + 0.0im	-0.3295574980317166 + 0.0im

0.06455417069711493 + 0.0im	0.10475716224196968 + 0.0im
0.10475716224196972 + 0.0im	-0.06455417069711483 + 0.0im

0.031693611074572164 + 0.0im	0.09507311157209272 + 0.0im
0.09507311157209275 + 0.0im	-0.03169361107457218 + 0.0im

0.027428548016564566 + 0.0im	0.08324823702169247 + 0.0im
0.08324823702169246 + 0.0im	-0.02742854801656444 + 0.0im

0.0031912317464420914 + 0.0im	0.13418512096775137 + 0.0im
0.13418512096775137 + 0.0im	-0.0031912317464418694 + 0.0im

-0.03371715404542541 + 0.0im	0.06579219099068684 + 0.0im
0.06579219099068682 + 0.0im	0.03371715404542525 + 0.0im

-0.04770238199059545 + 0.0im	-0.10695268545519246 + 0.0im
-0.10695268545519243 + 0.0im	0.047702381990595434 + 0.0im

-0.07490792916478681 + 0.0im	0.11470606937136607 + 0.0im
0.11470606937136607 + 0.0im	0.07490792916478682 + 0.0im

-0.012622575463979373 + 0.0im	0.05916818223896483 + 0.0im
0.05916818223896483 + 0.0im	0.012622575463979407 + 0.0im

-0.03316191966413923 + 0.0im	-0.1240608045825473 + 0.0im
-0.12406080458254731 + 0.0im	0.03316191966413926 + 0.0im

-0.011795836461612544 + 0.0im	-0.04295950137523932 + 0.0im
-0.04295950137523934 + 0.0im	0.011795836461612585 + 0.0im

0.004220044394552987 + 0.0im	-0.001630008334395114 + 0.0im
-0.0016300083343951132 + 0.0im	-0.004220044394553051 + 0.0im

-0.02710022092209053 + 0.0im	-0.12398258837231771 + 0.0im
-0.12398258837231772 + 0.0im	0.027100220922090565 + 0.0im

-0.002618027809102079 + 0.0im	-0.06021445047638884 + 0.0im
-0.06021445047638885 + 0.0im	0.0026180278091021136 + 0.0im

-0.01106565060541418 + 0.0im	0.08069043327938201 + 0.0im
0.08069043327938201 + 0.0im	0.011065650605414104 + 0.0im

-0.10034490742904882 + 0.0im	0.045438690959677855 + 0.0im
0.04543869095967786 + 0.0im	0.10034490742904885 + 0.0im

0.08129479592236527 + 0.0im	0.0351179218526361 + 0.0im
0.0351179218526361 + 0.0im	-0.0812947959223652 + 0.0im

-0.09471278558373643 + 0.0im	-0.03758985758379592 + 0.0im
-0.03758985758379592 + 0.0im	0.09471278558373639 + 0.0im

-0.07996178424184264 + 0.0im	0.05817101327344122 + 0.0im
0.0581710132734412 + 0.0im	0.07996178424184251 + 0.0im

0.07262491873475362 + 0.0im	-0.05639663245636965 + 0.0im
-0.05639663245636965 + 0.0im	-0.0726249187347536 + 0.0im

-0.08320450262745241 + 0.0im	-0.061180487725216094 + 0.0im
-0.06118048772521609 + 0.0im	0.08320450262745246 + 0.0im

-0.009988053279612122 + 0.0im	-0.07548851211429966 + 0.0im
-0.07548851211429963 + 0.0im	0.009988053279612406 + 0.0im

0.008452815456678003 + 0.0im	0.07313030137692894 + 0.0im
0.0731303013769289 + 0.0im	-0.008452815456678246 + 0.0im

-0.02426553906103361 + 0.0im	0.09872848680675833 + 0.0im
0.09872848680675833 + 0.0im	0.024265539061033417 + 0.0im

0.016173077684293796 + 0.0im	-0.023305475087920906 + 0.0im
-0.02330547508792091 + 0.0im	-0.01617307768432618 + 0.0im

-0.016281079090444888 + 0.0im	0.02439526101974198 + 0.0im
0.024395261019741984 + 0.0im	0.016281079090477366 + 0.0im

0.00427612040505633 + 0.0im	0.1005860357559405 + 0.0im
0.10058603575594047 + 0.0im	-0.004276120405057371 + 0.0im

-0.004441263315289462 + 0.0im	0.09515728775224236 + 0.0im
0.09515728775224239 + 0.0im	0.004441263315255926 + 0.0im

0.004430505058731993 + 0.0im	-0.09561050703534163 + 0.0im
-0.09561050703534163 + 0.0im	-0.004430505058697805 + 0.0im

-0.008636809513951793 + 0.0im	-0.09975421540970697 + 0.0im
-0.09975421540970697 + 0.0im	0.008636809514135216 + 0.0im

0.008602829352727326 + 0.0im	-0.09939852357147645 + 0.0im
-0.09939852357147647 + 0.0im	-0.008602829352690806 + 0.0im

-0.008667383623186517 + 0.0im	0.09971975980483427 + 0.0im
0.09971975980483425 + 0.0im	0.008667383623048787 + 0.0im

-0.05585829575608725 + 0.0im	0.07924620468462716 + 0.0im
0.07924620468462716 + 0.0im	0.05585829577241773 + 0.0im

0.05581886572155674 + 0.0im	-0.0791381171527701 + 0.0im
-0.07913811715277011 + 0.0im	-0.05581886573770066 + 0.0im

-0.05699305344166679 + 0.0im	-0.0822536736792272 + 0.0im
-0.08225367367922719 + 0.0im	0.056993053445554526 + 0.0im
