0.31751088396508353 + 0.0im	1.0393623658402299e-17 - 0.0im
0.0 + 0.0im	-0.3175108839650835 + 0.0im

-0.4495053837538186 + 0.0im	3.269637173652245e-17 + 0.0im
0.0 + 0.0im	0.44950538375381877 + 0.0im

0.450389492362741 + 0.0im	1.3018684641061783e-17 + 0.0im
0.0 + 0.0im	-0.4503894923627411 + 0.0im

-0.5455106543086148 + 0.0im	1.484030840347096e-17 + 0.0im
0.0 + 0.0im	0.545510654308615 + 0.0im

0.6439041340420675 + 0.0im	-3.004108226555783e-17 + 0.0im
0.0 + 0.0im	-0.643904134042067 + 0.0im

-0.4481829558790614 + 0.0im	4.2759387847699556e-17 + 0.0im
0.0 + 0.0im	0.44818295587906154 + 0.0im

-0.2575445226620328 + 0.0im	2.1958270366383668e-17 + 0.0im
0.0 + 0.0im	-0.2575445226620328 + 0.0im

0.15613083920769766 + 0.0im	5.461816674661498e-17 + 0.0im
0.0 + 0.0im	0.1561308392076976 + 0.0im

0.14189843365747176 + 0.0im	-4.394343402884266e-17 + 0.0im
0.0 + 0.0im	-0.1418984336574718 + 0.0im

-0.10772851065648774 + 0.0im	-1.033951942889643e-17 + 0.0im
0.0 + 0.0im	-0.10772851065648771 + 0.0im

0.05493988527467334 + 0.0im	-2.339822637671598e-17 + 0.0im
0.0 + 0.0im	0.054939885274673306 + 0.0im

-0.131192298636929 + 0.0im	-1.4214906920821668e-17 + 0.0im
0.0 + 0.0im	-0.13119229863692902 + 0.0im

0.028428621372793415 + 0.0im	-6.611727428030255e-18 + 0.0im
0.0 + 0.0im	0.028428621372793388 + 0.0im

0.05396872716679362 + 0.0im	-3.0002158454653534e-17 + 0.0im
0.0 + 0.0im	-0.05396872716679354 + 0.0im

-0.06014188248411113 + 0.0im	-4.321138580417813e-17 + 0.0im
0.0 + 0.0im	-0.060141882484111016 + 0.0im

0.011970808120375846 + 0.0im	1.7425627659036456e-16 + 0.0im
0.0 + 0.0im	0.011970808120375655 + 0.0im

-0.062060761444929856 + 0.0im	-2.103263276162417e-16 + 0.0im
0.0 + 0.0im	-0.0620607614449298 + 0.0im

0.021821379991571792 + 0.0im	1.92155141557032e-16 + 0.0im
0.0 + 0.0im	-0.021821379991571604 + 0.0im

0.005659031016096204 + 0.0im	-1.011495405392037e-15 + 0.0im
0.0 + 0.0im	0.005659031016096334 + 0.0im

-0.07937434553500698 + 0.0im	1.416711732193758e-15 + 0.0im
0.0 + 0.0im	-0.0793743455350071 + 0.0im

0.006542686515501558 + 0.0im	-1.259167203894484e-15 + 0.0im
0.0 + 0.0im	-0.006542686515501892 + 0.0im

0.0031602669358249146 + 0.0im	5.575410780910115e-15 + 0.0im
0.0 + 0.0im	0.00316026693583342 + 0.0im

-0.0938389123078197 + 0.0im	-7.62802974539796e-15 + 0.0im
0.0 + 0.0im	-0.09383891230782877 + 0.0im

0.0016237521345114823 + 0.0im	6.613562948426955e-15 + 0.0im
0.0 + 0.0im	0.0016237521345221625 + 0.0im

0.0035402390237923268 + 0.0im	4.5415189773597266e-15 + 0.0im
0.0 + 0.0im	-0.003540239023844151 + 0.0im

-0.042718732155250363 + 0.0im	4.1814885972171756e-14 + 0.0im
0.0 + 0.0im	-0.04271873215532301 + 0.0im

0.0005074627114305296 + 0.0im	-1.3401581014428642e-14 + 0.0im
0.0 + 0.0im	0.0005074627115843812 + 0.0im

0.007862885753549365 + 0.0im	3.942850278042254e-15 + 0.0im
0.0 + 0.0im	-0.007862885753582856 + 0.0im

-0.007939985938316968 + 0.0im	-5.797225628148203e-15 + 0.0im
0.0 + 0.0im	-0.007939985938343625 + 0.0im

0.00020008617317663003 + 0.0im	-7.57075761266936e-15 + 0.0im
0.0 + 0.0im	0.00020008617288973384 + 0.0im

-0.027365803942800693 + 0.0im	5.610713648784675e-13 + 0.0im
0.0 + 0.0im	-0.027365803941252376 + 0.0im

0.0009054111383316626 + 0.0im	-6.837953919319175e-14 + 0.0im
0.0 + 0.0im	-0.0009054111357274755 + 0.0im

0.00010245831621205524 + 0.0im	7.192638881281759e-11 + 0.0im
0.0 + 0.0im	0.00010245812712879352 + 0.0im

-0.09286862099546957 + 0.0im	-8.405028105798462e-11 + 0.0im
0.0 + 0.0im	-0.09286862082766635 + 0.0im

8.56468595137884e-5 + 0.0im	4.1733742700384186e-11 + 0.0im
0.0 + 0.0im	8.564675006017138e-5 + 0.0im
