0.32199068173732925 + 0.0im	0.10095967789022503 + 0.0im
0.10095967789022503 + 0.0im	-0.3219906817373293 + 0.0im

0.03698794827216577 + 0.0im	0.09811891072890322 + 0.0im
0.09811891072890327 + 0.0im	-0.036987948272165797 + 0.0im

-0.014774329129248115 + 0.0im	0.08760427798694226 + 0.0im
0.08760427798694223 + 0.0im	0.014774329129248118 + 0.0im

0.018176077821047458 + 0.0im	0.11005155889003505 + 0.0im
0.11005155889003504 + 0.0im	-0.018176077821047416 + 0.0im

0.055791201194558826 + 0.0im	0.13763583541573648 + 0.0im
0.1376358354157365 + 0.0im	-0.05579120119455862 + 0.0im

-0.004643080422079893 + 0.0im	0.05767192509764808 + 0.0im
0.05767192509764808 + 0.0im	0.004643080422079823 + 0.0im

-0.041999990289369286 + 0.0im	-0.12018732506994967 + 0.0im
-0.12018732506994972 + 0.0im	0.04199999028936935 + 0.0im

-0.07256521330489316 + 0.0im	0.10171913981235528 + 0.0im
0.10171913981235534 + 0.0im	0.07256521330489304 + 0.0im

-0.02246357652353831 + 0.0im	0.06649570161868648 + 0.0im
0.06649570161868648 + 0.0im	0.02246357652353831 + 0.0im

-0.043382627645076347 + 0.0im	-0.13203213099370625 + 0.0im
-0.1320321309937062 + 0.0im	0.0433826276450762 + 0.0im

-0.008400188847839184 + 0.0im	-0.007006458891856193 + 0.0im
-0.007006458891856197 + 0.0im	0.008400188847839211 + 0.0im

-0.0013664272612395976 + 0.0im	-0.04085412932253914 + 0.0im
-0.04085412932253914 + 0.0im	0.0013664272612395438 + 0.0im

-0.02596470641011104 + 0.0im	-0.12240998221800212 + 0.0im
-0.12240998221800212 + 0.0im	0.02596470641011093 + 0.0im

0.009524705389549637 + 0.0im	-0.07311211588255982 + 0.0im
-0.07311211588255981 + 0.0im	-0.009524705389549713 + 0.0im

-0.02433910767298061 + 0.0im	0.10053950118524421 + 0.0im
0.10053950118524423 + 0.0im	0.02433910767298064 + 0.0im

-0.09379706208621222 + 0.0im	0.03904042786693457 + 0.0im
0.03904042786693457 + 0.0im	0.0937970620862123 + 0.0im

0.07937615363401099 + 0.0im	-0.027131039390425542 + 0.0im
-0.027131039390425552 + 0.0im	-0.07937615363401102 + 0.0im

-0.1010784161220492 + 0.0im	-0.0374090436734493 + 0.0im
-0.03740904367344932 + 0.0im	0.10107841612204924 + 0.0im

-0.05689721838660486 + 0.0im	0.05503796399961333 + 0.0im
0.055037963999613325 + 0.0im	0.05689721838660637 + 0.0im

0.049277940427414846 + 0.0im	-0.05366592635021239 + 0.0im
-0.053665926350212376 + 0.0im	-0.04927794042741633 + 0.0im

-0.08331488809413164 + 0.0im	-0.06270641124059345 + 0.0im
-0.06270641124059348 + 0.0im	0.0833148880941316 + 0.0im

0.02603850622915839 + 0.0im	-0.020144601866466685 + 0.0im
-0.02014460186646668 + 0.0im	-0.02603850622915603 + 0.0im

-0.027712160100790566 + 0.0im	0.017570611758792334 + 0.0im
0.01757061175879234 + 0.0im	0.027712160100788162 + 0.0im

-0.023509272988830918 + 0.0im	-0.09909034869811367 + 0.0im
-0.0990903486981137 + 0.0im	0.023509272988830966 + 0.0im

0.02102392300687752 + 0.0im	-0.0816419879294965 + 0.0im
-0.08164198792949653 + 0.0im	-0.021023923006873925 + 0.0im

-0.021152789938917036 + 0.0im	0.08286717021436717 + 0.0im
0.0828671702143672 + 0.0im	0.02115278993891339 + 0.0im

0.00442096608930205 + 0.0im	0.10050750309291999 + 0.0im
0.10050750309292002 + 0.0im	-0.004420966089301218 + 0.0im

-0.004502768298893428 + 0.0im	0.09917163194575426 + 0.0im
0.09917163194575424 + 0.0im	0.004502768298895336 + 0.0im

0.004476912977641093 + 0.0im	-0.09981610646364808 + 0.0im
-0.09981610646364808 + 0.0im	-0.0044769129776436045 + 0.0im

-0.009279937128848371 + 0.0im	-0.09797456795689269 + 0.0im
-0.09797456795689269 + 0.0im	0.009279937128762308 + 0.0im

0.009269707275620216 + 0.0im	0.09765996969623636 + 0.0im
0.09765996969623636 + 0.0im	-0.009269707275541078 + 0.0im

-0.009385340156844946 + 0.0im	0.09974594692282693 + 0.0im
0.09974594692282691 + 0.0im	0.009385340156822769 + 0.0im

-0.04399996435657166 + 0.0im	0.043525763779395016 + 0.0im
0.04352576377939503 + 0.0im	0.043999964334371644 + 0.0im

0.04395561048876476 + 0.0im	-0.04340695961602095 + 0.0im
-0.04340695961602095 + 0.0im	-0.0439556104665568 + 0.0im

-0.058193143375787446 + 0.0im	0.08141874086177384 + 0.0im
0.08141874086177384 + 0.0im	0.05819314337340728 + 0.0im
