0.33735425558384846 + 0.0im	0.09908514224897373 + 0.0im
0.09908514224897373 + 0.0im	-0.3373542555838485 + 0.0im

0.08034783374625773 + 0.0im	0.10118754461702319 + 0.0im
0.10118754461702319 + 0.0im	-0.0803478337462579 + 0.0im

0.029511698429292355 + 0.0im	0.11055333467366504 + 0.0im
0.11055333467366504 + 0.0im	-0.029511698429292257 + 0.0im

0.004712486740811345 + 0.0im	0.0737196863621793 + 0.0im
0.0737196863621793 + 0.0im	-0.004712486740811303 + 0.0im

-0.022079664497610063 + 0.0im	0.13034250072343606 + 0.0im
0.13034250072343606 + 0.0im	0.02207966449761009 + 0.0im

-0.054774626039584745 + 0.0im	0.07782151846315156 + 0.0im
0.07782151846315155 + 0.0im	0.054774626039584676 + 0.0im

-0.04125210229514701 + 0.0im	-0.08624797261828474 + 0.0im
-0.08624797261828474 + 0.0im	0.041252102295147045 + 0.0im

-0.06533203220451195 + 0.0im	0.1299182086607268 + 0.0im
0.12991820866072684 + 0.0im	0.06533203220451209 + 0.0im

-0.005411326137865741 + 0.0im	0.04277271735206063 + 0.0im
0.04277271735206062 + 0.0im	0.005411326137865713 + 0.0im

-0.017520859492596286 + 0.0im	-0.10046300168240764 + 0.0im
-0.10046300168240765 + 0.0im	0.01752085949259632 + 0.0im

-0.018689341810201245 + 0.0im	-0.09312722556725006 + 0.0im
-0.09312722556725006 + 0.0im	0.018689341810201203 + 0.0im

0.011220691501813575 + 0.0im	0.050866471038143554 + 0.0im
0.050866471038143554 + 0.0im	-0.011220691501813549 + 0.0im

-0.029424896106859902 + 0.0im	0.11906247557221698 + 0.0im
0.119062475572217 + 0.0im	0.029424896106859853 + 0.0im

-0.04252634518627538 + 0.0im	-0.0126001584148672 + 0.0im
-0.012600158414867207 + 0.0im	0.04252634518627525 + 0.0im

0.029443204470858974 + 0.0im	0.028119180864871418 + 0.0im
0.02811918086487142 + 0.0im	-0.029443204470858794 + 0.0im

-0.10318182400401633 + 0.0im	0.04299348770066152 + 0.0im
0.042993487700661547 + 0.0im	0.10318182400401635 + 0.0im

0.05205205229713217 + 0.0im	0.03888521138103361 + 0.0im
0.038885211381033624 + 0.0im	-0.05205205229713117 + 0.0im

-0.06146586923401197 + 0.0im	-0.03820762643415249 + 0.0im
-0.03820762643415247 + 0.0im	0.06146586923401096 + 0.0im

-0.08520025516864012 + 0.0im	0.06100374947385936 + 0.0im
0.06100374947385938 + 0.0im	0.08520025516863992 + 0.0im

0.07529027417895816 + 0.0im	0.05395041331035816 + 0.0im
0.05395041331035816 + 0.0im	-0.0752902741789586 + 0.0im

-0.07809630590381299 + 0.0im	-0.057155808479383494 + 0.0im
-0.05715580847938351 + 0.0im	0.07809630590381353 + 0.0im

-0.02347765761796803 + 0.0im	-0.09750890982382374 + 0.0im
-0.09750890982382374 + 0.0im	0.023477657617966906 + 0.0im

0.02213787803368477 + 0.0im	0.0950648007688751 + 0.0im
0.0950648007688751 + 0.0im	-0.0221378780336842 + 0.0im

-0.02341795257402296 + 0.0im	0.09830891173521425 + 0.0im
0.09830891173521422 + 0.0im	0.023417952574023203 + 0.0im

0.005625017131299016 + 0.0im	0.08648363183523589 + 0.0im
0.08648363183523586 + 0.0im	-0.005625017131322137 + 0.0im

-0.005712883411924351 + 0.0im	-0.08553615743509119 + 0.0im
-0.08553615743509121 + 0.0im	0.005712883411947665 + 0.0im

0.00437049177081348 + 0.0im	-0.10049239886493015 + 0.0im
-0.10049239886493017 + 0.0im	-0.004370491770813334 + 0.0im

-0.006297618589720319 + 0.0im	0.016831108158913782 + 0.0im
0.01683110815891379 + 0.0im	0.006297618589981263 + 0.0im

0.006288991151518267 + 0.0im	-0.017208879768015453 + 0.0im
-0.01720887976801546 + 0.0im	-0.0062889911517792114 + 0.0im

-0.009007124547489635 + 0.0im	-0.09983077787088626 + 0.0im
-0.09983077787088626 + 0.0im	0.009007124547512013 + 0.0im

0.007890932615550725 + 0.0im	-0.09656092061751845 + 0.0im
-0.09656092061751848 + 0.0im	-0.007890932614211227 + 0.0im

-0.007944646379943104 + 0.0im	0.09671012900318751 + 0.0im
0.09671012900318751 + 0.0im	0.007944646378596217 + 0.0im

-0.05755986036457316 + 0.0im	0.08183535997269231 + 0.0im
0.08183535997269234 + 0.0im	0.057559860375413954 + 0.0im

0.057496434952429495 + 0.0im	0.08172473943510589 + 0.0im
0.08172473943510589 + 0.0im	-0.05749643494828331 + 0.0im

-0.05756803654659824 + 0.0im	-0.0818021889858869 + 0.0im
-0.0818021889858869 + 0.0im	0.05756803653637606 + 0.0im
