0.3175108839667304 + 0.0im	9.165637643120377e-18 - 0.0im
0.0 + 0.0im	-0.3175108839667304 + 0.0im

-0.48054923668900407 + 0.0im	-2.0331120074708157e-17 + 0.0im
0.0 + 0.0im	0.4805492366890042 + 0.0im

0.5369076825898298 + 0.0im	-1.1331818526604844e-17 + 0.0im
0.0 + 0.0im	-0.5369076825898298 + 0.0im

-0.5317013288029434 + 0.0im	2.1887688699075744e-17 + 0.0im
0.0 + 0.0im	0.5317013288029434 + 0.0im

0.4034753543951057 + 0.0im	-3.1533977835093534e-17 + 0.0im
0.0 + 0.0im	-0.4034753543951056 + 0.0im

-0.26061929943301604 + 0.0im	3.461844831252007e-17 + 0.0im
0.0 + 0.0im	0.260619299433016 + 0.0im

-0.20385306348832147 + 0.0im	1.7747457827345728e-18 + 0.0im
0.0 + 0.0im	-0.20385306348832147 + 0.0im

0.1302504171075765 + 0.0im	-1.0522902061976987e-17 + 0.0im
0.0 + 0.0im	0.13025041710757648 + 0.0im

0.11373033019905966 + 0.0im	5.983864255878005e-18 + 0.0im
0.0 + 0.0im	-0.11373033019905969 + 0.0im

-0.10996977067197734 + 0.0im	-2.0992017531803325e-17 + 0.0im
0.0 + 0.0im	-0.10996977067197733 + 0.0im

0.04036910045129178 + 0.0im	1.627870269680677e-17 + 0.0im
0.0 + 0.0im	0.040369100451291766 + 0.0im

-0.12662053802597345 + 0.0im	2.600391148070702e-19 + 0.0im
0.0 + 0.0im	-0.12662053802597342 + 0.0im

0.030143664129238832 + 0.0im	-1.8441601327620627e-17 + 0.0im
0.0 + 0.0im	0.03014366412923882 + 0.0im

0.0303259781449328 + 0.0im	-2.6742947727186397e-18 + 0.0im
0.0 + 0.0im	-0.030325978144932795 + 0.0im

-0.08730074213378967 + 0.0im	-2.5916667087139827e-17 + 0.0im
0.0 + 0.0im	-0.08730074213378955 + 0.0im

0.010967912718336945 + 0.0im	4.5849364039283243e-17 + 0.0im
0.0 + 0.0im	0.010967912718336902 + 0.0im

0.02948095083381683 + 0.0im	1.0029166557022455e-16 + 0.0im
0.0 + 0.0im	-0.029480950833816806 + 0.0im

-0.041187519785914166 + 0.0im	1.1986236181653516e-16 + 0.0im
0.0 + 0.0im	-0.041187519785914076 + 0.0im

0.004525788866040724 + 0.0im	-4.3384921679246857e-16 + 0.0im
0.0 + 0.0im	0.004525788866040774 + 0.0im

-0.03657105520888735 + 0.0im	1.579464454327462e-16 + 0.0im
0.0 + 0.0im	-0.036571055208887725 + 0.0im

0.013908170199894302 + 0.0im	-4.811303841499668e-16 + 0.0im
0.0 + 0.0im	-0.013908170199894373 + 0.0im

0.0018695815194093423 + 0.0im	9.338403776998285e-16 + 0.0im
0.0 + 0.0im	0.0018695815194106596 + 0.0im

-0.06526254827828264 + 0.0im	-9.801924557933071e-15 + 0.0im
0.0 + 0.0im	-0.06526254827828107 + 0.0im

0.0030377544955993373 + 0.0im	-1.623106556385319e-15 + 0.0im
0.0 + 0.0im	-0.0030377544955977297 + 0.0im

0.001067229065643082 + 0.0im	6.248153464377042e-15 + 0.0im
0.0 + 0.0im	0.0010672290655798719 + 0.0im

-0.09783357604374364 + 0.0im	-1.6380695628051556e-14 + 0.0im
0.0 + 0.0im	-0.09783357604366019 + 0.0im

0.0005618340214771464 + 0.0im	7.935871164583327e-15 + 0.0im
0.0 + 0.0im	0.0005618340213945631 + 0.0im

0.0016435211859498165 + 0.0im	2.1374256819361353e-14 + 0.0im
0.0 + 0.0im	-0.0016435211850117863 + 0.0im

-0.03275349761570873 + 0.0im	1.0346962815623723e-13 + 0.0im
0.0 + 0.0im	-0.032753497614185015 + 0.0im

0.0001752480895527757 + 0.0im	-8.611344396398582e-14 + 0.0im
0.0 + 0.0im	0.0001752480855353617 + 0.0im

0.0050074849342942275 + 0.0im	-1.924442956096036e-12 + 0.0im
0.0 + 0.0im	-0.005007484928758299 + 0.0im

-0.004356099978932332 + 0.0im	-2.3326774743043753e-13 + 0.0im
0.0 + 0.0im	-0.004356099969796752 + 0.0im

7.173120873951068e-5 + 0.0im	6.087389585667301e-11 + 0.0im
0.0 + 0.0im	7.173103986310942e-5 + 0.0im

-0.022641680802002108 + 0.0im	-6.440153340559677e-11 + 0.0im
0.0 + 0.0im	-0.022641680747077796 + 0.0im

0.0003811710891920103 + 0.0im	3.335375897812288e-11 + 0.0im
0.0 + 0.0im	-0.0003811709971857113 + 0.0im
