0.31751088396647964 + 0.0im	2.485565244158541e-17 - 0.0im
0.0 + 0.0im	-0.3175108839664797 + 0.0im

-0.47715163852700854 + 0.0im	5.992758101824175e-18 + 0.0im
0.0 + 0.0im	0.4771516385270082 + 0.0im

0.5360611902382458 + 0.0im	-1.783173760559753e-17 + 0.0im
0.0 + 0.0im	-0.5360611902382463 + 0.0im

-0.55132615800034 + 0.0im	-2.565293543807832e-17 + 0.0im
0.0 + 0.0im	0.5513261580003399 + 0.0im

0.428310594655959 + 0.0im	9.358147056207598e-17 + 0.0im
0.0 + 0.0im	-0.42831059465595905 + 0.0im

-0.27448863488372105 + 0.0im	-5.975939203865257e-17 + 0.0im
0.0 + 0.0im	0.27448863488372094 + 0.0im

-0.20928706328020621 + 0.0im	3.035194335720016e-17 + 0.0im
0.0 + 0.0im	-0.20928706328020613 + 0.0im

0.13351964688861806 + 0.0im	2.0710802593314898e-17 + 0.0im
0.0 + 0.0im	0.13351964688861834 + 0.0im

0.11831427333357306 + 0.0im	-1.754035827174205e-17 + 0.0im
0.0 + 0.0im	-0.11831427333357297 + 0.0im

-0.1091347123653992 + 0.0im	-4.3533258324134766e-18 + 0.0im
0.0 + 0.0im	-0.1091347123653992 + 0.0im

0.04222110999662788 + 0.0im	8.41146068270883e-18 + 0.0im
0.0 + 0.0im	0.04222110999662787 + 0.0im

-0.12874944124229018 + 0.0im	-7.154887305457075e-18 + 0.0im
0.0 + 0.0im	-0.12874944124229024 + 0.0im

0.02957790333052203 + 0.0im	1.0316014264610124e-17 + 0.0im
0.0 + 0.0im	0.029577903330522046 + 0.0im

0.03325178047331312 + 0.0im	3.7983604332843e-18 + 0.0im
0.0 + 0.0im	-0.03325178047331316 + 0.0im

-0.08286200126388733 + 0.0im	7.929244825836956e-17 + 0.0im
0.0 + 0.0im	-0.08286200126388742 + 0.0im

0.011001224693119442 + 0.0im	-1.3859618951095852e-16 + 0.0im
0.0 + 0.0im	0.011001224693119606 + 0.0im

0.03353930695117791 + 0.0im	-3.501238216046436e-16 + 0.0im
0.0 + 0.0im	-0.03353930695117802 + 0.0im

-0.03704863805370475 + 0.0im	-4.989093939545977e-16 + 0.0im
0.0 + 0.0im	-0.03704863805370497 + 0.0im

0.004630158782698981 + 0.0im	1.735420478213279e-15 + 0.0im
0.0 + 0.0im	0.004630158782698746 + 0.0im

-0.04244799136157405 + 0.0im	-4.493998946711103e-16 + 0.0im
0.0 + 0.0im	-0.04244799136157225 + 0.0im

0.012150155183151302 + 0.0im	2.0191808565873243e-15 + 0.0im
0.0 + 0.0im	-0.012150155183151113 + 0.0im

0.001965093113733041 + 0.0im	-5.4974807851474036e-15 + 0.0im
0.0 + 0.0im	0.001965093113724935 + 0.0im

-0.07426725969612216 + 0.0im	8.689917681920997e-15 + 0.0im
0.0 + 0.0im	-0.0742672596961178 + 0.0im

0.0026467508596156345 + 0.0im	2.810201209105592e-17 + 0.0im
0.0 + 0.0im	-0.0026467508596150877 + 0.0im

0.0012486328306160561 + 0.0im	-8.241544391181959e-15 + 0.0im
0.0 + 0.0im	0.0012486328306998997 + 0.0im

-0.09211510719503717 + 0.0im	3.849171144581359e-14 + 0.0im
0.0 + 0.0im	-0.09211510719516065 + 0.0im

0.0005321491393495521 + 0.0im	-1.493966737988714e-14 + 0.0im
0.0 + 0.0im	0.0005321491395057124 + 0.0im

0.002110020287916948 + 0.0im	-3.742542645538224e-14 + 0.0im
0.0 + 0.0im	-0.0021100202898047455 + 0.0im

-0.02619972943747357 + 0.0im	-3.130644615073619e-13 + 0.0im
0.0 + 0.0im	-0.02619972944060486 + 0.0im

0.0001781722942453387 + 0.0im	2.3303508240878247e-13 + 0.0im
0.0 + 0.0im	0.00017817230502231422 + 0.0im

-0.006600736761058189 + 0.0im	-5.322335178331349e-12 + 0.0im
0.0 + 0.0im	-0.0066007367765599755 + 0.0im

0.0033762195526925243 + 0.0im	6.358634762660981e-13 + 0.0im
0.0 + 0.0im	-0.003376219577848785 + 0.0im

7.370646785936846e-5 + 0.0im	-2.064528922996259e-10 + 0.0im
0.0 + 0.0im	7.370703927559843e-5 + 0.0im

-0.030155627324668813 + 0.0im	1.3359492570357012e-10 + 0.0im
0.0 + 0.0im	-0.030155627470975745 + 0.0im

0.00029080609192280585 + 0.0im	-4.698968252378335e-11 + 0.0im
0.0 + 0.0im	-0.0002908062208526959 + 0.0im
