0.3175108839683427 + 0.0im	-2.795314605057598e-18 - 0.0im
0.0 + 0.0im	-0.3175108839683427 + 0.0im

-0.47676709554668195 + 0.0im	-1.3660894433758152e-17 + 0.0im
0.0 + 0.0im	0.4767670955466817 + 0.0im

0.467299675532836 + 0.0im	1.2980779916672153e-17 + 0.0im
0.0 + 0.0im	-0.4672996755328363 + 0.0im

-0.37771305687981793 + 0.0im	2.2882343607168708e-17 + 0.0im
0.0 + 0.0im	0.37771305687981777 + 0.0im

0.2801152671706768 + 0.0im	-5.634399637664562e-17 + 0.0im
0.0 + 0.0im	-0.28011526717067686 + 0.0im

-0.186854597466021 + 0.0im	-3.7216404240867414e-17 + 0.0im
0.0 + 0.0im	0.18685459746602098 + 0.0im

-0.16789613867411843 + 0.0im	-4.6938542530333867e-17 + 0.0im
0.0 + 0.0im	-0.1678961386741184 + 0.0im

0.11247482198814845 + 0.0im	-3.922037831495268e-17 + 0.0im
0.0 + 0.0im	0.11247482198814851 + 0.0im

0.07825569884831876 + 0.0im	3.081696444524277e-17 + 0.0im
0.0 + 0.0im	-0.07825569884831872 + 0.0im

-0.12151705147418514 + 0.0im	-6.808535533324792e-17 + 0.0im
0.0 + 0.0im	-0.12151705147418512 + 0.0im

0.030813158601437154 + 0.0im	-1.655398840466442e-17 + 0.0im
0.0 + 0.0im	0.030813158601437143 + 0.0im

-0.0914151061298485 + 0.0im	3.3265948453991764e-17 + 0.0im
0.0 + 0.0im	-0.09141510612984848 + 0.0im

0.04021731405905253 + 0.0im	6.0592501881836375e-18 + 0.0im
0.0 + 0.0im	-0.04021731405905245 + 0.0im

0.016046673734018725 + 0.0im	8.352591892874656e-17 + 0.0im
0.0 + 0.0im	0.016046673734018586 + 0.0im

-0.0996640928491106 + 0.0im	-1.4717875084901272e-16 + 0.0im
0.0 + 0.0im	-0.0996640928491104 + 0.0im

0.01311734175120541 + 0.0im	1.328555295900609e-16 + 0.0im
0.0 + 0.0im	0.013117341751205314 + 0.0im

0.010422770864064684 + 0.0im	3.97538290772216e-16 + 0.0im
0.0 + 0.0im	-0.010422770864064776 + 0.0im

-0.08561844571461537 + 0.0im	7.347248487778527e-17 + 0.0im
0.0 + 0.0im	-0.08561844571461495 + 0.0im

0.004379021422278763 + 0.0im	-4.904522993718556e-16 + 0.0im
0.0 + 0.0im	0.004379021422278835 + 0.0im

0.009603364130049913 + 0.0im	-1.9508058159861154e-16 + 0.0im
0.0 + 0.0im	-0.009603364130050257 + 0.0im

-0.044445414103726995 + 0.0im	-4.819312538015957e-16 + 0.0im
0.0 + 0.0im	-0.044445414103727085 + 0.0im

0.0015157005930842378 + 0.0im	3.657114512956093e-16 + 0.0im
0.0 + 0.0im	0.0015157005930848057 + 0.0im

-0.015333885358704044 + 0.0im	-1.1852838550977212e-15 + 0.0im
0.0 + 0.0im	-0.015333885358704925 + 0.0im

0.0116696431057755 + 0.0im	7.822383149211354e-16 + 0.0im
0.0 + 0.0im	-0.011669643105778258 + 0.0im

0.0005872471370466526 + 0.0im	-4.432203552165047e-15 + 0.0im
0.0 + 0.0im	0.0005872471370938432 + 0.0im

-0.03939600397834916 + 0.0im	3.8313351718110254e-14 + 0.0im
0.0 + 0.0im	-0.039396003978435255 + 0.0im

0.0018057093743941907 + 0.0im	-9.803870192612914e-15 + 0.0im
0.0 + 0.0im	-0.0018057093745232748 + 0.0im

0.0003018517521612777 + 0.0im	1.256306610577764e-13 + 0.0im
0.0 + 0.0im	0.00030185175751561296 + 0.0im

-0.09864598843452768 + 0.0im	-1.2619183584368365e-13 + 0.0im
0.0 + 0.0im	-0.09864598844082308 + 0.0im

0.00022470263451088043 + 0.0im	1.0910654147005188e-13 + 0.0im
0.0 + 0.0im	0.00022470263904388862 + 0.0im

0.000516482556783018 + 0.0im	4.221567703828568e-11 + 0.0im
0.0 + 0.0im	-0.0005164826710892355 + 0.0im

-0.034955067724674674 + 0.0im	8.637897634580088e-12 + 0.0im
0.0 + 0.0im	-0.03495506791311835 + 0.0im

6.101290915037754e-5 + 0.0im	-1.5866725787410325e-10 + 0.0im
0.0 + 0.0im	6.101333781456348e-5 + 0.0im

0.001963678128259068 + 0.0im	-1.067812723628333e-9 + 0.0im
0.0 + 0.0im	-0.0019636787824249637 + 0.0im

-0.003722059851511977 + 0.0im	-6.692202513006943e-10 + 0.0im
0.0 + 0.0im	-0.0037220616459720753 + 0.0im
