0.3220180892105013 + 0.0im	0.10064659850540103 + 0.0im
0.100646598505401 + 0.0im	-0.3220180892105015 + 0.0im

0.04797510803953093 + 0.0im	0.09012433535609565 + 0.0im
0.09012433535609565 + 0.0im	-0.04797510803953085 + 0.0im

0.021580005264917768 + 0.0im	0.119101784673527 + 0.0im
0.119101784673527 + 0.0im	-0.02158000526491772 + 0.0im

-0.004372502443054926 + 0.0im	0.07180131456077968 + 0.0im
0.0718013145607797 + 0.0im	0.004372502443054788 + 0.0im

-0.034579227073702326 + 0.0im	-0.11974185017295996 + 0.0im
-0.11974185017296002 + 0.0im	0.03457922707370227 + 0.0im

-0.06591814113724281 + 0.0im	0.09629048508385774 + 0.0im
0.09629048508385771 + 0.0im	0.0659181411372427 + 0.0im

-0.027161176674901047 + 0.0im	0.07097559396961853 + 0.0im
0.07097559396961854 + 0.0im	0.027161176674901068 + 0.0im

-0.04772260446473567 + 0.0im	-0.1337932844263065 + 0.0im
-0.13379328442630645 + 0.0im	0.047722604464735724 + 0.0im

-0.007214206107752245 + 0.0im	0.011778503522513969 + 0.0im
0.011778503522513976 + 0.0im	0.00721420610775219 + 0.0im

-0.004668037097730284 + 0.0im	-0.061834002803646634 + 0.0im
-0.061834002803646634 + 0.0im	0.0046680370977303515 + 0.0im

-0.025472656756515756 + 0.0im	-0.1179235830267262 + 0.0im
-0.11792358302672623 + 0.0im	0.025472656756515645 + 0.0im

0.013269813587037174 + 0.0im	-0.07311404984360872 + 0.0im
-0.07311404984360874 + 0.0im	-0.013269813587037133 + 0.0im

-0.029237408995331206 + 0.0im	0.10794080360359659 + 0.0im
0.10794080360359659 + 0.0im	0.0292374089953312 + 0.0im

-0.08461533642946094 + 0.0im	0.02841307322550493 + 0.0im
0.028413073225504924 + 0.0im	0.0846153364294607 + 0.0im

0.07092420019461983 + 0.0im	-0.015747042408506173 + 0.0im
-0.015747042408506173 + 0.0im	-0.07092420019461976 + 0.0im

-0.10339585870698303 + 0.0im	-0.03644727238113436 + 0.0im
-0.03644727238113437 + 0.0im	0.1033958587069831 + 0.0im

-0.026040537813730065 + 0.0im	0.050452216489520536 + 0.0im
0.05045221648952053 + 0.0im	0.02604053781373058 + 0.0im

0.018055819975521928 + 0.0im	-0.04904379459695955 + 0.0im
-0.049043794596959574 + 0.0im	-0.01805581997552248 + 0.0im

-0.08258490913472474 + 0.0im	0.06426327339147266 + 0.0im
0.06426327339147266 + 0.0im	0.08258490913472456 + 0.0im

0.05057545320163641 + 0.0im	0.01985735367746638 + 0.0im
0.01985735367746639 + 0.0im	-0.0505754532016497 + 0.0im

-0.05235220665475046 + 0.0im	-0.022612769195128786 + 0.0im
-0.022612769195128793 + 0.0im	0.05235220665476374 + 0.0im

-0.022421276582799743 + 0.0im	-0.09937994776782097 + 0.0im
-0.09937994776782094 + 0.0im	0.022421276582798293 + 0.0im

0.02090772749642717 + 0.0im	-0.09250429484991882 + 0.0im
-0.09250429484991879 + 0.0im	-0.02090772749644037 + 0.0im

-0.02108347650261371 + 0.0im	0.09388619942113266 + 0.0im
0.09388619942113266 + 0.0im	0.021083476502627797 + 0.0im

0.0046129639258268434 + 0.0im	0.1000231723839256 + 0.0im
0.10002317238392558 + 0.0im	-0.004612963925830112 + 0.0im

-0.004684581819526128 + 0.0im	-0.09905584673693532 + 0.0im
-0.0990558467369353 + 0.0im	0.00468458181952805 + 0.0im

0.004613823386135883 + 0.0im	-0.10026011844796065 + 0.0im
-0.10026011844796068 + 0.0im	-0.004613823386134849 + 0.0im

-0.00995820106275147 + 0.0im	-0.09087231840137723 + 0.0im
-0.09087231840137724 + 0.0im	0.009958201062890339 + 0.0im

0.0099483759215349 + 0.0im	0.09054306747181719 + 0.0im
0.09054306747181723 + 0.0im	-0.009948375921667793 + 0.0im

-0.01027416617878913 + 0.0im	0.09967724139263895 + 0.0im
0.09967724139263895 + 0.0im	0.010274166178896475 + 0.0im

-0.018066370391097646 + 0.0im	-0.026567396825859884 + 0.0im
-0.026567396825859874 + 0.0im	0.018066370495625733 + 0.0im

0.018017319617593217 + 0.0im	0.026693636317497833 + 0.0im
0.02669363631749784 + 0.0im	-0.018017319722175323 + 0.0im

-0.059678986173234104 + 0.0im	0.08034182049341905 + 0.0im
0.08034182049341904 + 0.0im	0.059678986184040474 + 0.0im

0.05806878273761994 + 0.0im	0.0793542541312548 + 0.0im
0.0793542541312548 + 0.0im	-0.05806878185997436 + 0.0im

-0.058118193927793375 + 0.0im	-0.07938308171032535 + 0.0im
-0.07938308171032535 + 0.0im	0.0581181930437344 + 0.0im
