0.3368904272014235 + 0.0im	0.0990681284512242 + 0.0im
0.0990681284512242 + 0.0im	-0.3368904272014237 + 0.0im

0.07800030080240125 + 0.0im	0.09985296346988133 + 0.0im
0.09985296346988132 + 0.0im	-0.07800030080240122 + 0.0im

0.027793851831488803 + 0.0im	0.112188765557037 + 0.0im
0.11218876555703701 + 0.0im	-0.027793851831488563 + 0.0im

0.0027727049441504253 + 0.0im	0.073033065013963 + 0.0im
0.073033065013963 + 0.0im	-0.0027727049441503976 + 0.0im

-0.024431013440441338 + 0.0im	0.12930204422057756 + 0.0im
0.1293020442205776 + 0.0im	0.024431013440441282 + 0.0im

-0.05704088723162615 + 0.0im	0.08020632884430512 + 0.0im
0.08020632884430515 + 0.0im	0.057040887231626154 + 0.0im

-0.03937003549037335 + 0.0im	-0.08357565878105581 + 0.0im
-0.08357565878105583 + 0.0im	0.03937003549037331 + 0.0im

-0.06302701543218045 + 0.0im	0.13123905957620385 + 0.0im
0.13123905957620377 + 0.0im	0.06302701543218053 + 0.0im

-0.005204734462697522 + 0.0im	0.0392808047157106 + 0.0im
0.03928080471571059 + 0.0im	0.005204734462697487 + 0.0im

-0.015453777793626354 + 0.0im	-0.09573989919976492 + 0.0im
-0.09573989919976487 + 0.0im	0.015453777793626423 + 0.0im

-0.019705178339515052 + 0.0im	-0.098486674152657 + 0.0im
-0.098486674152657 + 0.0im	0.019705178339515024 + 0.0im

0.011915812090169741 + 0.0im	0.056234696236983614 + 0.0im
0.0562346962369836 + 0.0im	-0.011915812090169703 + 0.0im

-0.029655540409766958 + 0.0im	0.11784752346082242 + 0.0im
0.11784752346082242 + 0.0im	0.02965554040976697 + 0.0im

-0.04971017644918946 + 0.0im	-0.004724399063313957 + 0.0im
-0.004724399063313959 + 0.0im	0.04971017644918921 + 0.0im

0.036634204230968574 + 0.0im	0.019768421515414906 + 0.0im
0.019768421515414906 + 0.0im	-0.036634204230968304 + 0.0im

-0.10332659504752854 + 0.0im	0.042171630357522714 + 0.0im
0.0421716303575227 + 0.0im	0.1033265950475286 + 0.0im

0.04287620202009795 + 0.0im	0.03985431909725179 + 0.0im
0.039854319097251775 + 0.0im	-0.042876202020098175 + 0.0im

-0.052011409723136955 + 0.0im	-0.039019722342313844 + 0.0im
-0.03901972234231385 + 0.0im	0.052011409723137184 + 0.0im

-0.08501057991149308 + 0.0im	0.061429596689796806 + 0.0im
0.06142959668979679 + 0.0im	0.08501057991149302 + 0.0im

0.07381807297408037 + 0.0im	0.0521856388307475 + 0.0im
0.052185638830747505 + 0.0im	-0.07381807297408019 + 0.0im

-0.07634399565036927 + 0.0im	-0.055299231296212295 + 0.0im
-0.055299231296212295 + 0.0im	0.0763439956503691 + 0.0im

-0.023609039444015566 + 0.0im	-0.09811666492318123 + 0.0im
-0.09811666492318127 + 0.0im	0.02360903944401526 + 0.0im

0.02228550727784194 + 0.0im	0.0955261624356663 + 0.0im
0.0955261624356663 + 0.0im	-0.022285507277841912 + 0.0im

-0.02317697340518541 + 0.0im	0.09814647595749554 + 0.0im
0.09814647595749555 + 0.0im	0.0231769734051855 + 0.0im

0.005183218063037585 + 0.0im	0.09146478882725528 + 0.0im
0.09146478882725531 + 0.0im	-0.005183218063032798 + 0.0im

-0.0052682291126745495 + 0.0im	-0.09053221131465276 + 0.0im
-0.09053221131465278 + 0.0im	0.005268229112669942 + 0.0im

0.00439987245104613 + 0.0im	-0.10047406042687648 + 0.0im
-0.10047406042687648 + 0.0im	-0.004399872451045651 + 0.0im

-0.006941319770179609 + 0.0im	-0.007916108159394563 + 0.0im
-0.007916108159394556 + 0.0im	0.006941319770428327 + 0.0im

0.006932672452835685 + 0.0im	0.007546377380463889 + 0.0im
0.007546377380463893 + 0.0im	-0.006932672453085046 + 0.0im

-0.009140836132182119 + 0.0im	-0.0998147134354017 + 0.0im
-0.09981471343540174 + 0.0im	0.009140836132038345 + 0.0im

0.007237041756616859 + 0.0im	-0.09443379326854137 + 0.0im
-0.09443379326854137 + 0.0im	-0.007237041769731771 + 0.0im

-0.00728989538342259 + 0.0im	0.0945785681839316 + 0.0im
0.09457856818393162 + 0.0im	0.007289895396615641 + 0.0im

-0.05779236386066677 + 0.0im	0.08169426846638884 + 0.0im
0.08169426846638886 + 0.0im	0.05779236384695008 + 0.0im

0.05770589420041712 + 0.0im	0.08157152096241696 + 0.0im
0.08157152096241696 + 0.0im	-0.05770589422090146 + 0.0im

-0.057769066085850085 + 0.0im	-0.0816278891243829 + 0.0im
-0.08162788912438292 + 0.0im	0.0577690661144529 + 0.0im
