0.3341927747163398 + 0.0im	0.09925856622826673 + 0.0im
0.09925856622826673 + 0.0im	-0.33419277471633957 + 0.0im

0.07035854645835596 + 0.0im	0.09678571559547199 + 0.0im
0.09678571559547207 + 0.0im	-0.07035854645835586 + 0.0im

0.024802083712434184 + 0.0im	0.11508940374361051 + 0.0im
0.11508940374361051 + 0.0im	-0.02480208371243419 + 0.0im

-0.0004304437091730978 + 0.0im	0.07205343538833134 + 0.0im
0.0720534353883313 + 0.0im	0.0004304437091731117 + 0.0im

-0.028613986097560495 + 0.0im	-0.12664582332018232 + 0.0im
-0.1266458233201823 + 0.0im	0.02861398609756046 + 0.0im

-0.06099946003356115 + 0.0im	0.08543935961458965 + 0.0im
0.08543935961458962 + 0.0im	0.06099946003356116 + 0.0im

-0.03521971364974588 + 0.0im	-0.07862461791314837 + 0.0im
-0.07862461791314837 + 0.0im	0.03521971364974598 + 0.0im

-0.057971126500215645 + 0.0im	0.1331053902657064 + 0.0im
0.13310539026570625 + 0.0im	0.057971126500215596 + 0.0im

-0.0053376553730565615 + 0.0im	0.031123426440626212 + 0.0im
0.031123426440626226 + 0.0im	0.00533765537305652 + 0.0im

-0.011475279683870378 + 0.0im	-0.08516918127699347 + 0.0im
-0.08516918127699345 + 0.0im	0.011475279683870406 + 0.0im

-0.02172968902337541 + 0.0im	-0.10742538461674377 + 0.0im
-0.10742538461674378 + 0.0im	0.02172968902337541 + 0.0im

0.01296119167545963 + 0.0im	-0.06484697814385014 + 0.0im
-0.06484697814385015 + 0.0im	-0.012961191675459637 + 0.0im

-0.02991541138940859 + 0.0im	0.11500234524978445 + 0.0im
0.11500234524978441 + 0.0im	0.029915411389408612 + 0.0im

-0.06368138709920902 + 0.0im	0.009773007407320684 + 0.0im
0.009773007407320688 + 0.0im	0.06368138709920912 + 0.0im

0.05054096901234983 + 0.0im	0.00439494376543984 + 0.0im
0.004394943765439842 + 0.0im	-0.05054096901234992 + 0.0im

-0.1035032491163946 + 0.0im	-0.04034562230876636 + 0.0im
-0.040345622308766364 + 0.0im	0.1035032491163946 + 0.0im

0.020488434721313994 + 0.0im	0.04265530042846405 + 0.0im
0.042655300428464035 + 0.0im	-0.020488434721313308 + 0.0im

-0.029152941399771825 + 0.0im	-0.04158048042950656 + 0.0im
-0.04158048042950655 + 0.0im	0.029152941399771103 + 0.0im

-0.0843747264577753 + 0.0im	0.0623359936027417 + 0.0im
0.062335993602741724 + 0.0im	0.08437472645777529 + 0.0im

0.06901390659742662 + 0.0im	0.04610888271341673 + 0.0im
0.046108882713416725 + 0.0im	-0.06901390659742791 + 0.0im

-0.07116456220513159 + 0.0im	-0.049072550515602456 + 0.0im
-0.049072550515602456 + 0.0im	0.07116456220513294 + 0.0im

-0.02346703639180256 + 0.0im	-0.09882924029759133 + 0.0im
-0.0988292402975913 + 0.0im	0.023467036391802122 + 0.0im

0.022150253466251907 + 0.0im	-0.09564909191313685 + 0.0im
-0.09564909191313684 + 0.0im	-0.022150253466252587 + 0.0im

-0.022603503983692028 + 0.0im	0.097542917778523 + 0.0im
0.09754291777852299 + 0.0im	0.022603503983692867 + 0.0im

0.00473980147551465 + 0.0im	0.09695284332898334 + 0.0im
0.09695284332898331 + 0.0im	-0.004739801475517183 + 0.0im

-0.00481926961075594 + 0.0im	-0.09604026553804078 + 0.0im
-0.09604026553804078 + 0.0im	0.0048192696107584795 + 0.0im

0.0044663801806217596 + 0.0im	-0.10042902642635052 + 0.0im
-0.10042902642635052 + 0.0im	-0.004466380180622016 + 0.0im

-0.008233900414066339 + 0.0im	-0.052525045975518894 + 0.0im
-0.0525250459755189 + 0.0im	0.00823390041382914 + 0.0im

0.008225091256184702 + 0.0im	0.05217063525281581 + 0.0im
0.05217063525281582 + 0.0im	-0.008225091255946703 + 0.0im

-0.009462218240043035 + 0.0im	-0.09977574976487029 + 0.0im
-0.0997757497648703 + 0.0im	0.009462218240100483 + 0.0im

0.004005629015888648 + 0.0im	-0.08499404791611559 + 0.0im
-0.08499404791611562 + 0.0im	-0.004005629001384285 + 0.0im

-0.004056941254721662 + 0.0im	0.08513153382792481 + 0.0im
0.0851315338279248 + 0.0im	0.0040569412401840615 + 0.0im

-0.05833680534409648 + 0.0im	0.08132254867540045 + 0.0im
0.08132254867540047 + 0.0im	0.058336805346265494 + 0.0im

0.05813100986769709 + 0.0im	0.08113210076808905 + 0.0im
0.08113210076808901 + 0.0im	-0.05813100985104986 + 0.0im

-0.058186028354244024 + 0.0im	-0.08117009633393371 + 0.0im
-0.08117009633393371 + 0.0im	0.058186028336381965 + 0.0im
