0.33621287723054794 + 0.0im	0.09940453724703188 + 0.0im
0.09940453724703188 + 0.0im	-0.3362128772305478 + 0.0im

0.08113767703889582 + 0.0im	0.10392651664865105 + 0.0im
0.10392651664865107 + 0.0im	-0.0811376770388958 + 0.0im

0.033945389045186125 + 0.0im	0.10551690413119467 + 0.0im
0.10551690413119466 + 0.0im	-0.03394538904518614 + 0.0im

0.011308794620254983 + 0.0im	0.07617025715560855 + 0.0im
0.07617025715560852 + 0.0im	-0.011308794620255039 + 0.0im

-0.014761384331013566 + 0.0im	0.13230444305117617 + 0.0im
0.1323044430511762 + 0.0im	0.014761384331013455 + 0.0im

-0.04788154015373452 + 0.0im	0.07229688016318023 + 0.0im
0.07229688016318028 + 0.0im	0.0478815401537346 + 0.0im

-0.045311700897193996 + 0.0im	-0.09388557380342707 + 0.0im
-0.09388557380342709 + 0.0im	0.045311700897194065 + 0.0im

-0.07051163294310822 + 0.0im	0.12521973451510326 + 0.0im
0.12521973451510324 + 0.0im	0.0705116329431082 + 0.0im

-0.006942028624842209 + 0.0im	0.05042454032321132 + 0.0im
0.05042454032321131 + 0.0im	0.006942028624842181 + 0.0im

-0.023280148399422346 + 0.0im	-0.11131746046577373 + 0.0im
-0.11131746046577372 + 0.0im	0.023280148399422426 + 0.0im

-0.01598027482921424 + 0.0im	-0.07615977349883978 + 0.0im
-0.07615977349883978 + 0.0im	0.015980274829214207 + 0.0im

0.008920768630428243 + 0.0im	0.033428729768328835 + 0.0im
0.033428729768328835 + 0.0im	-0.008920768630428202 + 0.0im

-0.02860881093422883 + 0.0im	0.12169524285564426 + 0.0im
0.12169524285564425 + 0.0im	0.028608810934228845 + 0.0im

-0.02437415576764259 + 0.0im	-0.03356125430120646 + 0.0im
-0.033561254301206433 + 0.0im	0.024374155767642625 + 0.0im

0.011172981974047834 + 0.0im	0.05054433868128372 + 0.0im
0.05054433868128372 + 0.0im	-0.011172981974047848 + 0.0im

-0.1025689865306957 + 0.0im	0.04478424681050606 + 0.0im
0.044784246810506065 + 0.0im	0.10256898653069563 + 0.0im

0.06955389253570797 + 0.0im	0.037300368863468616 + 0.0im
0.037300368863468616 + 0.0im	-0.06955389253570808 + 0.0im

-0.07994000215463286 + 0.0im	-0.037260705349562974 + 0.0im
-0.037260705349562974 + 0.0im	0.0799400021546329 + 0.0im

-0.08502159436933499 + 0.0im	0.059927938214516044 + 0.0im
0.059927938214516065 + 0.0im	0.08502159436933486 + 0.0im

0.0769740455007286 + 0.0im	0.05625204538737691 + 0.0im
0.05625204538737691 + 0.0im	-0.07697404550072881 + 0.0im

-0.08109783793562207 + 0.0im	-0.059797668791482295 + 0.0im
-0.059797668791482295 + 0.0im	0.08109783793562234 + 0.0im

-0.021883004719509998 + 0.0im	-0.09419473321373302 + 0.0im
-0.09419473321373303 + 0.0im	0.021883004719507458 + 0.0im

0.0204783956035937 + 0.0im	0.09190179707450452 + 0.0im
0.09190179707450455 + 0.0im	-0.020478395603591375 + 0.0im

-0.023927717365570422 + 0.0im	0.09853530550373875 + 0.0im
0.09853530550373875 + 0.0im	0.02392771736557027 + 0.0im

0.008085489828491069 + 0.0im	0.06029981088942166 + 0.0im
0.060299810889421664 + 0.0im	-0.00808548982852745 + 0.0im

-0.00818102202635539 + 0.0im	-0.059304187548020644 + 0.0im
-0.059304187548020644 + 0.0im	0.008181022026391928 + 0.0im

0.004307232617162975 + 0.0im	0.10053484169656499 + 0.0im
0.100534841696565 + 0.0im	-0.004307232617163433 + 0.0im

-0.005056582402217374 + 0.0im	0.06774209521237828 + 0.0im
0.0677420952123783 + 0.0im	0.005056582402285362 + 0.0im

0.005047786999447957 + 0.0im	-0.0681430051047959 + 0.0im
-0.06814300510479591 + 0.0im	-0.005047786999515535 + 0.0im

-0.008737568861745995 + 0.0im	-0.09985861777824061 + 0.0im
-0.09985861777824062 + 0.0im	0.00873756886180417 + 0.0im

0.008464888022737198 + 0.0im	-0.09886691455332298 + 0.0im
-0.09886691455332294 + 0.0im	-0.00846488802208966 + 0.0im

-0.008521310598357243 + 0.0im	0.09903523568553171 + 0.0im
0.0990352356855317 + 0.0im	0.008521310597675642 + 0.0im

-0.057038376993776896 + 0.0im	0.08197749669266495 + 0.0im
0.08197749669266494 + 0.0im	0.057038376995370926 + 0.0im

0.05699652418717951 + 0.0im	-0.08187546346280719 + 0.0im
-0.08187546346280716 + 0.0im	-0.056996524188349926 + 0.0im

-0.05713725351679931 + 0.0im	-0.08213838351715733 + 0.0im
-0.0821383835171573 + 0.0im	0.05713725351715175 + 0.0im
