0.274555173164065 + 0.0im	0.019814534618417 + 0.0im
0.019814534618417 + 0.0im	-0.274555173164065 + 0.0im

0.027615475828646 + 0.0im	0.020319600493363 + 0.0im
0.020319600493363 + 0.0im	-0.027615475828646 + 0.0im

-0.034276551864148 + 0.0im	0.020264118714319 + 0.0im
0.020264118714319 + 0.0im	0.034276551864148 + 0.0im

-0.096171930618132 + 0.0im	0.019029263757434 + 0.0im
0.019029263757434 + 0.0im	0.096171930618132 + 0.0im

-0.072691478450812 + 0.0im	0.020783780753831 + 0.0im
0.020783780753831 + 0.0im	0.072691478450812 + 0.0im

-0.035174896467225 + 0.0im	0.019521929388155 + 0.0im
0.019521929388155 + 0.0im	0.035174896467225 + 0.0im

-0.016888332446306 + 0.0im	0.020319120487897 + 0.0im
0.020319120487897 + 0.0im	0.016888332446306 + 0.0im

-0.009243848773236 + 0.0im	0.019949493497031 + 0.0im
0.019949493497031 + 0.0im	0.009243848773236 + 0.0im

-0.004808697064177 + 0.0im	0.019744734384453 + 0.0im
0.019744734384453 + 0.0im	0.004808697064177 + 0.0im

-0.002881588503865 + 0.0im	0.020389168478121 + 0.0im
0.020389168478121 + 0.0im	0.002881588503865 + 0.0im

-0.001291781241231 + 0.0im	0.019634102067062 + 0.0im
0.019634102067062 + 0.0im	0.001291781241231 + 0.0im

-0.000925622809276 + 0.0im	0.020282664693481 + 0.0im
0.020282664693481 + 0.0im	0.000925622809276 + 0.0im

-0.000311350721543 + 0.0im	0.019789275883586 + 0.0im
0.019789275883586 + 0.0im	0.000311350721543 + 0.0im

-0.000358092573172 + 0.0im	0.020139037470088 + 0.0im
0.020139037470088 + 0.0im	0.000358092573172 + 0.0im

-6.1671711465e-5 + 0.0im	0.019889707166664 + 0.0im
0.019889707166664 + 0.0im	6.1671711465e-5 + 0.0im

-0.000172218451228 + 0.0im	0.020052929844993 + 0.0im
0.020052929844993 + 0.0im	0.000172218451228 + 0.0im

2.371646652e-6 + 0.0im	0.019943691248644 + 0.0im
0.019943691248644 + 0.0im	-2.371646652e-6 + 0.0im

-9.842605373e-5 + 0.0im	0.020004014187236 + 0.0im
0.020004014187236 + 0.0im	9.842605373e-5 + 0.0im

1.7685910807e-5 + 0.0im	0.019972156742534 + 0.0im
0.019972156742534 + 0.0im	-1.7685910807e-5 + 0.0im

-6.364665021e-5 + 0.0im	0.019980405496571 + 0.0im
0.019980405496571 + 0.0im	6.364665021e-5 + 0.0im

1.9614140554e-5 + 0.0im	0.019986312288154 + 0.0im
0.019986312288154 + 0.0im	-1.9614140554e-5 + 0.0im

-4.4667893725e-5 + 0.0im	0.019973506563677 + 0.0im
0.019973506563677 + 0.0im	4.4667893725e-5 + 0.0im

1.792604119e-5 + 0.0im	0.019992820019844 + 0.0im
0.019992820019844 + 0.0im	-1.792604119e-5 + 0.0im

-3.2999622649e-5 + 0.0im	0.0199755805546 + 0.0im
0.0199755805546 + 0.0im	3.2999622649e-5 + 0.0im

1.5498806123e-5 + 0.0im	0.019995726109421 + 0.0im
0.019995726109421 + 0.0im	-1.5498806123e-5 + 0.0im

-2.5180162945e-5 + 0.0im	0.019981056178687 + 0.0im
0.019981056178687 + 0.0im	2.5180162945e-5 + 0.0im

1.318609768e-5 + 0.0im	0.019997127799931 + 0.0im
0.019997127799931 + 0.0im	-1.318609768e-5 + 0.0im

-1.9645096831e-5 + 0.0im	0.019986708446075 + 0.0im
0.019986708446075 + 0.0im	1.9645096831e-5 + 0.0im

1.1211691819e-5 + 0.0im	0.019997952292693 + 0.0im
0.019997952292693 + 0.0im	-1.1211691819e-5 + 0.0im

-1.56074358e-5 + 0.0im	0.019991247958399 + 0.0im
0.019991247958399 + 0.0im	1.56074358e-5 + 0.0im

9.600832918e-6 + 0.0im	0.019998538360234 + 0.0im
0.019998538360234 + 0.0im	-9.600832918e-6 + 0.0im

