0.252526656730545 + 0.0im	0.020386021235085 + 0.0im
0.020386021235085 + 0.0im	-0.252526656730544 + 0.0im

-0.046715240737968 + 0.0im	0.019464633107375 + 0.0im
0.019464633107375 + 0.0im	0.046715240737968 + 0.0im

-0.066338241301148 + 0.0im	0.020508242509604 + 0.0im
0.020508242509604 + 0.0im	0.066338241301148 + 0.0im

-0.047894126361763 + 0.0im	0.01956591852272 + 0.0im
0.01956591852272 + 0.0im	0.047894126361763 + 0.0im

-0.027988915350733 + 0.0im	0.020367922477994 + 0.0im
0.020367922477994 + 0.0im	0.027988915350733 + 0.0im

-0.015898446048196 + 0.0im	0.019714442406934 + 0.0im
0.019714442406934 + 0.0im	0.015898446048196 + 0.0im

-0.008641062211589 + 0.0im	0.020034649275022 + 0.0im
0.020034649275022 + 0.0im	0.008641062211589 + 0.0im

-0.005135442667138 + 0.0im	0.020256152138058 + 0.0im
0.020256152138058 + 0.0im	0.005135442667138 + 0.0im

-0.002537807430259 + 0.0im	0.019610731816789 + 0.0im
0.019610731816789 + 0.0im	0.002537807430259 + 0.0im

-0.001629309525146 + 0.0im	0.020363574666851 + 0.0im
0.020363574666851 + 0.0im	0.001629309525146 + 0.0im

-0.000642763236323 + 0.0im	0.019714171544949 + 0.0im
0.019714171544949 + 0.0im	0.000642763236323 + 0.0im

-0.000572507296845 + 0.0im	0.020202547065219 + 0.0im
0.020202547065219 + 0.0im	0.000572507296845 + 0.0im

-0.000142340633359 + 0.0im	0.019847280985345 + 0.0im
0.019847280985345 + 0.0im	0.000142340633359 + 0.0im

-0.000251618291906 + 0.0im	0.020090165979898 + 0.0im
0.020090165979898 + 0.0im	0.000251618291906 + 0.0im

-1.3786839319e-5 + 0.0im	0.019920859944475 + 0.0im
0.019920859944475 + 0.0im	1.3786839319e-5 + 0.0im

-0.000135654039955 + 0.0im	0.020024787825737 + 0.0im
0.020024787825737 + 0.0im	0.000135654039955 + 0.0im

1.8962903218e-5 + 0.0im	0.01996028210397 + 0.0im
0.01996028210397 + 0.0im	-1.8962903218e-5 + 0.0im

-8.5326054793e-5 + 0.0im	0.0199896189378 + 0.0im
0.0199896189378 + 0.0im	8.5326054793e-5 + 0.0im

2.5787963993e-5 + 0.0im	0.019980550983945 + 0.0im
0.019980550983945 + 0.0im	-2.5787963993e-5 + 0.0im

-5.9747964333e-5 + 0.0im	0.019975419541002 + 0.0im
0.019975419541002 + 0.0im	5.9747964333e-5 + 0.0im

2.5413164633e-5 + 0.0im	0.019990244801207 + 0.0im
0.019990244801207 + 0.0im	-2.5413164633e-5 + 0.0im

-4.4896546487e-5 + 0.0im	0.019973846751455 + 0.0im
0.019973846751455 + 0.0im	4.4896546487e-5 + 0.0im

2.3215715402e-5 + 0.0im	0.019994579731954 + 0.0im
0.019994579731954 + 0.0im	-2.3215715402e-5 + 0.0im

-3.5341697208e-5 + 0.0im	0.019978171987172 + 0.0im
0.019978171987172 + 0.0im	3.5341697208e-5 + 0.0im

2.0809743314e-5 + 0.0im	0.01999655596942 + 0.0im
0.01999655596942 + 0.0im	-2.0809743314e-5 + 0.0im

-2.8750088868e-5 + 0.0im	0.019983995045327 + 0.0im
0.019983995045327 + 0.0im	2.8750088868e-5 + 0.0im

