0.32881072012978996 + 0.0im	0.09981928912206406 + 0.0im
0.09981928912206406 + 0.0im	-0.3288107201297903 + 0.0im

0.059321232204179536 + 0.0im	0.09328384355926181 + 0.0im
0.0932838435592618 + 0.0im	-0.0593212322041797 + 0.0im

0.022661909716697612 + 0.0im	0.11750039639303803 + 0.0im
0.11750039639303801 + 0.0im	-0.022661909716697626 + 0.0im

-0.0028710533038692476 + 0.0im	0.07165143520665912 + 0.0im
0.07165143520665913 + 0.0im	0.0028710533038693725 + 0.0im

-0.032142070755947286 + 0.0im	-0.12319917160598914 + 0.0im
-0.12319917160598917 + 0.0im	0.03214207075594725 + 0.0im

-0.06409267321492737 + 0.0im	0.09119506494832663 + 0.0im
0.09119506494832665 + 0.0im	0.0640926732149274 + 0.0im

-0.03081052590498222 + 0.0im	0.07423193920346827 + 0.0im
0.07423193920346824 + 0.0im	0.030810525904982212 + 0.0im

-0.052489173274534964 + 0.0im	0.1339166189368053 + 0.0im
0.13391661893680534 + 0.0im	0.05248917327453502 + 0.0im

-0.006122745287602843 + 0.0im	0.021286241618289133 + 0.0im
0.02128624161828912 + 0.0im	0.006122745287602829 + 0.0im

-0.0076928991269102215 + 0.0im	-0.07306745601987112 + 0.0im
-0.07306745601987116 + 0.0im	0.007692899126910244 + 0.0im

-0.023756072166172135 + 0.0im	-0.11403818614377936 + 0.0im
-0.11403818614377936 + 0.0im	0.023756072166172197 + 0.0im

0.013436134570917357 + 0.0im	-0.07055595156190597 + 0.0im
-0.070555951561906 + 0.0im	-0.013436134570917312 + 0.0im

-0.02978372748976528 + 0.0im	0.1114985882851559 + 0.0im
0.11149858828515588 + 0.0im	0.02978372748976528 + 0.0im

-0.07606740821910607 + 0.0im	0.021421797884205798 + 0.0im
0.021421797884205798 + 0.0im	0.07606740821910556 + 0.0im

0.0627174936968147 + 0.0im	-0.008075742869672928 + 0.0im
-0.008075742869672928 + 0.0im	-0.0627174936968142 + 0.0im

-0.10352507313934729 + 0.0im	-0.038308171002326266 + 0.0im
-0.038308171002326266 + 0.0im	0.10352507313934728 + 0.0im

-0.005163889686731982 + 0.0im	0.04659356463143048 + 0.0im
0.04659356463143048 + 0.0im	0.005163889686731961 + 0.0im

-0.003107845629043836 + 0.0im	-0.04533106806710043 + 0.0im
-0.045331068067100445 + 0.0im	0.003107845629043853 + 0.0im

-0.08348802651387471 + 0.0im	0.06333549171675434 + 0.0im
0.06333549171675434 + 0.0im	0.08348802651387481 + 0.0im

0.06079254271215084 + 0.0im	0.03481983452214678 + 0.0im
0.034819834522146764 + 0.0im	-0.060792542712146985 + 0.0im

-0.06270934936718346 + 0.0im	-0.03766235162902516 + 0.0im
-0.03766235162902515 + 0.0im	0.0627093493671795 + 0.0im

-0.022990507465179853 + 0.0im	-0.09919208588738496 + 0.0im
-0.09919208588738494 + 0.0im	0.022990507465179846 + 0.0im

0.021617181997543485 + 0.0im	-0.09465418720575874 + 0.0im
-0.09465418720575869 + 0.0im	-0.021617181997544054 + 0.0im

-0.021872739480089352 + 0.0im	0.09619534705595811 + 0.0im
0.09619534705595811 + 0.0im	0.021872739480089824 + 0.0im

0.004611230046773482 + 0.0im	0.09922715275058228 + 0.0im
0.09922715275058228 + 0.0im	-0.004611230046776403 + 0.0im

-0.004685757199351603 + 0.0im	-0.09830863317706037 + 0.0im
-0.09830863317706037 + 0.0im	0.004685757199353852 + 0.0im

0.00454252848659481 + 0.0im	-0.10036001510340259 + 0.0im
-0.10036001510340262 + 0.0im	-0.004542528486594824 + 0.0im

-0.009271744818227241 + 0.0im	-0.0798301236531995 + 0.0im
-0.07983012365319951 + 0.0im	0.009271744818196308 + 0.0im

0.009262552963764197 + 0.0im	0.07949000754337353 + 0.0im
0.07949000754337349 + 0.0im	-0.009262552963732806 + 0.0im

-0.009863498661775376 + 0.0im	0.09972722311730485 + 0.0im
0.09972722311730484 + 0.0im	0.009863498661759743 + 0.0im

-0.004615481131378642 + 0.0im	-0.06157150731245563 + 0.0im
-0.061571507312455656 + 0.0im	0.004615481117832956 + 0.0im

0.004565496248874194 + 0.0im	0.06170267325806779 + 0.0im
0.061702673258067775 + 0.0im	-0.004565496235332731 + 0.0im

-0.05900386923641869 + 0.0im	0.08084116938548322 + 0.0im
0.08084116938548323 + 0.0im	0.05900386921828128 + 0.0im

0.058396239690513704 + 0.0im	0.08042063873740621 + 0.0im
0.08042063873740622 + 0.0im	-0.058396240212516534 + 0.0im

-0.058447535097374076 + 0.0im	-0.08045219819929644 + 0.0im
-0.08045219819929646 + 0.0im	0.05844753562938339 + 0.0im
