0.3175108839679639 + 0.0im	1.0877702987758132e-17 - 0.0im
0.0 + 0.0im	-0.3175108839679638 + 0.0im

-0.48313189926271083 + 0.0im	-5.2314713586116115e-17 + 0.0im
0.0 + 0.0im	0.4831318992627109 + 0.0im

0.49281730198671314 + 0.0im	-2.1110602144418927e-17 + 0.0im
0.0 + 0.0im	-0.4928173019867135 + 0.0im

-0.41294564358044344 + 0.0im	6.2332282946873484e-18 + 0.0im
0.0 + 0.0im	0.41294564358044333 + 0.0im

0.30274419358203886 + 0.0im	-2.6588152456075674e-17 + 0.0im
0.0 + 0.0im	-0.3027441935820388 + 0.0im

-0.20129414235593512 + 0.0im	5.93964913603133e-17 + 0.0im
0.0 + 0.0im	0.20129414235593507 + 0.0im

-0.17628008678150436 + 0.0im	1.3093647056893788e-17 + 0.0im
0.0 + 0.0im	-0.17628008678150436 + 0.0im

0.11561495610422994 + 0.0im	1.8319416824979194e-17 + 0.0im
0.0 + 0.0im	0.11561495610422994 + 0.0im

0.0866295028931144 + 0.0im	-2.3665359392456304e-17 + 0.0im
0.0 + 0.0im	-0.08662950289311434 + 0.0im

-0.11806683891127917 + 0.0im	1.925263537461662e-17 + 0.0im
0.0 + 0.0im	-0.11806683891127923 + 0.0im

0.032419537519438865 + 0.0im	-2.3463871430128187e-17 + 0.0im
0.0 + 0.0im	0.03241953751943886 + 0.0im

-0.10246247120786206 + 0.0im	8.132977425475297e-17 + 0.0im
0.0 + 0.0im	-0.10246247120786205 + 0.0im

0.03661126959758839 + 0.0im	3.577104839549636e-17 + 0.0im
0.0 + 0.0im	-0.03661126959758839 + 0.0im

0.018333338347633957 + 0.0im	9.494164665668878e-17 + 0.0im
0.0 + 0.0im	0.01833333834763385 + 0.0im

-0.1027350727066207 + 0.0im	-3.0751531150067374e-17 + 0.0im
0.0 + 0.0im	-0.10273507270662066 + 0.0im

0.012051587772519322 + 0.0im	1.2315933168460412e-16 + 0.0im
0.0 + 0.0im	0.012051587772519185 + 0.0im

0.013340671814333644 + 0.0im	4.885633100203601e-16 + 0.0im
0.0 + 0.0im	-0.01334067181433373 + 0.0im

-0.07448234303930171 + 0.0im	3.400947397509159e-16 + 0.0im
0.0 + 0.0im	-0.07448234303930117 + 0.0im

0.004273924344422859 + 0.0im	-7.870814375552987e-16 + 0.0im
0.0 + 0.0im	0.004273924344422983 + 0.0im

0.013591281556709023 + 0.0im	-4.0829433865292473e-16 + 0.0im
0.0 + 0.0im	-0.013591281556710013 + 0.0im

-0.033153699469662554 + 0.0im	-1.7907394588446285e-15 + 0.0im
0.0 + 0.0im	-0.03315369946966248 + 0.0im

0.0015660540435742738 + 0.0im	2.377611106789217e-15 + 0.0im
0.0 + 0.0im	0.001566054043577891 + 0.0im

-0.022885170091686943 + 0.0im	-2.6629683672619634e-15 + 0.0im
0.0 + 0.0im	-0.022885170091690166 + 0.0im

0.008131864458212195 + 0.0im	2.0416382411178775e-15 + 0.0im
0.0 + 0.0im	-0.00813186445821701 + 0.0im

0.0006304953982975047 + 0.0im	-4.775877959030178e-15 + 0.0im
0.0 + 0.0im	0.0006304953983479238 + 0.0im

-0.058514085029970284 + 0.0im	-3.2077517183280724e-14 + 0.0im
0.0 + 0.0im	-0.058514085029998095 + 0.0im

0.001232244718616492 + 0.0im	-2.61213610691733e-15 + 0.0im
0.0 + 0.0im	-0.0012322447186372944 + 0.0im

0.0004127727526465442 + 0.0im	1.210940684240379e-14 + 0.0im
0.0 + 0.0im	0.0004127727531955628 + 0.0im

-0.09459472089181788 + 0.0im	-5.348157897447359e-14 + 0.0im
0.0 + 0.0im	-0.09459472089264959 + 0.0im

0.00018670874653071922 + 0.0im	1.9142734014380677e-14 + 0.0im
0.0 + 0.0im	0.00018670874736875936 + 0.0im

0.0009162298324388065 + 0.0im	7.670375565173998e-12 + 0.0im
0.0 + 0.0im	-0.0009162298534919262 + 0.0im

-0.020806994969153992 + 0.0im	1.289281222473064e-12 + 0.0im
0.0 + 0.0im	-0.020806995005803932 + 0.0im

6.297200635200591e-5 + 0.0im	-5.7526193124611166e-11 + 0.0im
0.0 + 0.0im	6.297216369977125e-5 + 0.0im

0.0036752078174509123 + 0.0im	-4.980155997707789e-10 + 0.0im
0.0 + 0.0im	-0.003675208126917941 + 0.0im

-0.0020766058815387227 + 0.0im	-3.1227913658574624e-10 + 0.0im
0.0 + 0.0im	-0.0020766067323809622 + 0.0im
