0.3175108839648237 + 0.0im	2.3773461972349634e-17 - 0.0im
0.0 + 0.0im	-0.31751088396482363 + 0.0im

-0.4436777928359707 + 0.0im	-6.97620570523378e-17 + 0.0im
0.0 + 0.0im	0.4436777928359709 + 0.0im

0.41046666390843745 + 0.0im	-2.93433388752571e-18 + 0.0im
0.0 + 0.0im	-0.4104666639084373 + 0.0im

-0.435901527083337 + 0.0im	-1.1980142838389205e-17 + 0.0im
0.0 + 0.0im	0.4359015270833371 + 0.0im

0.6494706285575319 + 0.0im	1.934623251528822e-17 + 0.0im
0.0 + 0.0im	-0.6494706285575317 + 0.0im

-0.604074847540142 + 0.0im	-1.1131389355460795e-17 + 0.0im
0.0 + 0.0im	0.6040748475401421 + 0.0im

-0.30493851703929264 + 0.0im	1.8073777270275447e-17 + 0.0im
0.0 + 0.0im	-0.30493851703929264 + 0.0im

0.16343225622923327 + 0.0im	9.283586981025539e-18 + 0.0im
0.0 + 0.0im	0.16343225622923332 + 0.0im

0.1461504716385701 + 0.0im	-2.9006643278723515e-18 + 0.0im
0.0 + 0.0im	-0.1461504716385701 + 0.0im

-0.10805914788653147 + 0.0im	-3.757438154020076e-17 + 0.0im
0.0 + 0.0im	-0.10805914788653141 + 0.0im

0.057856970035778194 + 0.0im	2.284214924684353e-17 + 0.0im
0.0 + 0.0im	0.05785697003577822 + 0.0im

-0.1303550883388624 + 0.0im	-7.671577403282198e-18 + 0.0im
0.0 + 0.0im	-0.13035508833886242 + 0.0im

0.02852224790811437 + 0.0im	-4.960013180884369e-18 + 0.0im
0.0 + 0.0im	0.02852224790811438 + 0.0im

0.05877177457138929 + 0.0im	5.5443865051510314e-17 + 0.0im
0.0 + 0.0im	-0.05877177457138938 + 0.0im

-0.05655142488566651 + 0.0im	-3.371953459724644e-17 + 0.0im
0.0 + 0.0im	-0.05655142488566659 + 0.0im

0.01231612455494731 + 0.0im	-1.1577352202190184e-16 + 0.0im
0.0 + 0.0im	0.01231612455494744 + 0.0im

-0.06825818672424802 + 0.0im	1.5069012593185542e-16 + 0.0im
0.0 + 0.0im	-0.06825818672424804 + 0.0im

0.019997868229569293 + 0.0im	-1.3413507873600693e-16 + 0.0im
0.0 + 0.0im	-0.019997868229569407 + 0.0im

0.005999081518556894 + 0.0im	6.945680755397103e-16 + 0.0im
0.0 + 0.0im	0.0059990815185568085 + 0.0im

-0.08520322985444051 + 0.0im	-7.880400670933537e-16 + 0.0im
0.0 + 0.0im	-0.08520322985444041 + 0.0im

0.0059846061299356065 + 0.0im	5.67870157838833e-16 + 0.0im
0.0 + 0.0im	0.005984606129935447 + 0.0im

0.0036086239419660902 + 0.0im	1.996613357773628e-15 + 0.0im
0.0 + 0.0im	-0.0036086239419631906 + 0.0im

-0.0891853226665085 + 0.0im	2.794219391456798e-15 + 0.0im
0.0 + 0.0im	-0.08918532266650352 + 0.0im

0.0015589875804625894 + 0.0im	-3.0564620624761504e-15 + 0.0im
0.0 + 0.0im	0.0015589875804575377 + 0.0im

0.004369711107555481 + 0.0im	-1.826519612844308e-15 + 0.0im
0.0 + 0.0im	-0.004369711107524908 + 0.0im

-0.03562967885590444 + 0.0im	-3.166400247469475e-14 + 0.0im
0.0 + 0.0im	-0.03562967885586078 + 0.0im

0.0005143391512005619 + 0.0im	1.0864005406209846e-14 + 0.0im
0.0 + 0.0im	0.0005143391510713765 + 0.0im

-0.01000154785099192 + 0.0im	1.5070156087664335e-15 + 0.0im
0.0 + 0.0im	-0.010001547850848468 + 0.0im

0.006376027911342946 + 0.0im	2.0333479908499208e-14 + 0.0im
0.0 + 0.0im	-0.006376027911123903 + 0.0im

0.00020575536568441925 + 0.0im	-7.610344470376855e-14 + 0.0im
0.0 + 0.0im	0.00020575536294530913 + 0.0im

-0.03514482148511506 + 0.0im	8.128038376359857e-14 + 0.0im
0.0 + 0.0im	-0.03514482148408656 + 0.0im

0.0007156331000739421 + 0.0im	-2.4983603968048223e-14 + 0.0im
0.0 + 0.0im	-0.0007156330993135875 + 0.0im

0.00011840998510410911 + 0.0im	1.6250264871251057e-11 + 0.0im
0.0 + 0.0im	0.00011840994321342292 + 0.0im

-0.09650557183028642 + 0.0im	-1.8444205743869263e-11 + 0.0im
0.0 + 0.0im	-0.09650557178261913 + 0.0im

7.450805553009693e-5 + 0.0im	1.5325421487675704e-11 + 0.0im
0.0 + 0.0im	7.45080161028353e-5 + 0.0im
