0.3336298130522194 + 0.0im	0.09981231845885405 + 0.0im
0.09981231845885405 + 0.0im	-0.33362981305221967 + 0.0im

0.07613005138185076 + 0.0im	0.1049789814462525 + 0.0im
0.10497898144625249 + 0.0im	-0.07613005138185075 + 0.0im

0.03552868081930604 + 0.0im	0.10102000430636408 + 0.0im
0.1010200043063641 + 0.0im	-0.03552868081930592 + 0.0im

0.01795086958148616 + 0.0im	0.07874117530047933 + 0.0im
0.07874117530047933 + 0.0im	-0.01795086958148616 + 0.0im

-0.007837288488044075 + 0.0im	0.13322377085656362 + 0.0im
0.13322377085656364 + 0.0im	0.007837288488044061 + 0.0im

-0.04189394299536682 + 0.0im	0.06895924272351289 + 0.0im
0.06895924272351292 + 0.0im	0.041893942995366806 + 0.0im

-0.047160317078085455 + 0.0im	-0.09991030471796206 + 0.0im
-0.09991030471796201 + 0.0im	0.04716031707808539 + 0.0im

-0.07324280083229302 + 0.0im	0.12072144347639022 + 0.0im
0.12072144347639023 + 0.0im	0.07324280083229288 + 0.0im

-0.009076025565399486 + 0.0im	0.054888670644017465 + 0.0im
0.05488867064401748 + 0.0im	0.009076025565399479 + 0.0im

-0.027794617313170556 + 0.0im	-0.11790556978504096 + 0.0im
-0.11790556978504096 + 0.0im	0.027794617313170688 + 0.0im

-0.013987509559063985 + 0.0im	-0.06139015661565915 + 0.0im
-0.06139015661565912 + 0.0im	0.013987509559063943 + 0.0im

0.0068633307159888 + 0.0im	0.01795170192852403 + 0.0im
0.01795170192852403 + 0.0im	-0.006863330715988744 + 0.0im

-0.027904612389611783 + 0.0im	0.12308800381968077 + 0.0im
0.12308800381968077 + 0.0im	0.02790461238961172 + 0.0im

-0.0129264100621296 + 0.0im	-0.047463090545481396 + 0.0im
-0.047463090545481396 + 0.0im	0.012926410062129433 + 0.0im

-0.0004492435887197277 + 0.0im	0.0658311828520645 + 0.0im
0.06583118285206452 + 0.0im	0.00044924358871989076 + 0.0im

-0.10180035296744715 + 0.0im	0.04555897160894275 + 0.0im
0.04555897160894276 + 0.0im	0.1018003529674472 + 0.0im

0.07702757691943794 + 0.0im	0.036492168833298394 + 0.0im
0.03649216883329841 + 0.0im	-0.07702757691943785 + 0.0im

-0.08849914958126237 + 0.0im	-0.037288793326354465 + 0.0im
-0.03728879332635446 + 0.0im	0.08849914958126222 + 0.0im

-0.08375974617182722 + 0.0im	0.05914414122325055 + 0.0im
0.05914414122325054 + 0.0im	0.08375974617182734 + 0.0im

0.07624960686910577 + 0.0im	-0.05666690367262858 + 0.0im
-0.056666903672628596 + 0.0im	-0.0762496068691059 + 0.0im

-0.08236447788469811 + 0.0im	-0.060627563835309185 + 0.0im
-0.06062756383530917 + 0.0im	0.08236447788469801 + 0.0im

-0.018473780128778407 + 0.0im	-0.08857973530459629 + 0.0im
-0.08857973530459631 + 0.0im	0.01847378012877906 + 0.0im

0.01701036242913979 + 0.0im	0.08628309774229648 + 0.0im
0.0862830977422965 + 0.0im	-0.017010362429140412 + 0.0im

-0.02417267815275983 + 0.0im	0.0986255676302207 + 0.0im
0.09862556763022069 + 0.0im	0.024172678152760016 + 0.0im

0.011479238106397442 + 0.0im	0.025212541632541535 + 0.0im
0.025212541632541528 + 0.0im	-0.011479238106369569 + 0.0im

-0.011580480314436077 + 0.0im	-0.024175651633675136 + 0.0im
-0.024175651633675133 + 0.0im	0.011580480314408184 + 0.0im

0.004278871982739983 + 0.0im	0.10056227515311766 + 0.0im
0.10056227515311766 + 0.0im	-0.004278871982738755 + 0.0im

-0.004627647280977268 + 0.0im	0.08627937483092599 + 0.0im
0.08627937483092599 + 0.0im	0.0046276472810506675 + 0.0im

0.004618372188482073 + 0.0im	-0.08670059320447682 + 0.0im
-0.08670059320447684 + 0.0im	-0.00461837218855618 + 0.0im

-0.008629622881583518 + 0.0im	-0.09985133598580483 + 0.0im
-0.09985133598580484 + 0.0im	0.008629622881364873 + 0.0im

0.008530692636571531 + 0.0im	-0.09932784744841347 + 0.0im
-0.09932784744841351 + 0.0im	-0.008530692637274677 + 0.0im

-0.008589882480828967 + 0.0im	0.09953083649257286 + 0.0im
0.09953083649257288 + 0.0im	0.008589882481649339 + 0.0im

-0.05666635725794703 + 0.0im	0.0815669228557079 + 0.0im
0.08156692285570791 + 0.0im	0.05666635723329103 + 0.0im

0.0566273798107054 + 0.0im	-0.08146318766150046 + 0.0im
-0.08146318766150051 + 0.0im	-0.056627379787972686 + 0.0im

-0.056964717959856886 + 0.0im	-0.08226717984495148 + 0.0im
-0.08226717984495147 + 0.0im	0.05696471795180203 + 0.0im
