0.31751088396664695 + 0.0im	9.772854387183304e-18 - 0.0im
0.0 + 0.0im	-0.31751088396664706 + 0.0im

-0.4795017865818451 + 0.0im	-1.0282291765397562e-17 + 0.0im
0.0 + 0.0im	0.47950178658184506 + 0.0im

0.5369958569038199 + 0.0im	7.483536088991743e-18 + 0.0im
0.0 + 0.0im	-0.5369958569038202 + 0.0im

-0.5383674472775476 + 0.0im	-3.624495671204024e-17 + 0.0im
0.0 + 0.0im	0.5383674472775473 + 0.0im

0.4113787649177382 + 0.0im	4.6132378922784587e-17 + 0.0im
0.0 + 0.0im	-0.4113787649177383 + 0.0im

-0.2650420953395326 + 0.0im	7.002643721099955e-17 + 0.0im
0.0 + 0.0im	0.26504209533953266 + 0.0im

-0.20562096735680652 + 0.0im	2.875147460336316e-17 + 0.0im
0.0 + 0.0im	-0.20562096735680643 + 0.0im

0.13131196621826557 + 0.0im	1.184512049264095e-17 + 0.0im
0.0 + 0.0im	0.13131196621826563 + 0.0im

0.11526069197600017 + 0.0im	-4.739848142069295e-17 + 0.0im
0.0 + 0.0im	-0.11526069197600022 + 0.0im

-0.10967246669060035 + 0.0im	5.511516332841644e-17 + 0.0im
0.0 + 0.0im	-0.10967246669060031 + 0.0im

0.040968232985065745 + 0.0im	2.445384118723165e-18 + 0.0im
0.0 + 0.0im	0.04096823298506576 + 0.0im

-0.1273954419226471 + 0.0im	-2.0989476432961562e-17 + 0.0im
0.0 + 0.0im	-0.1273954419226471 + 0.0im

0.029941103239516306 + 0.0im	-2.87427925156538e-17 + 0.0im
0.0 + 0.0im	0.029941103239516303 + 0.0im

0.03126860219433681 + 0.0im	4.8936905011143575e-17 + 0.0im
0.0 + 0.0im	-0.03126860219433681 + 0.0im

-0.08583806669307538 + 0.0im	-2.9503004585814535e-17 + 0.0im
0.0 + 0.0im	-0.0858380666930754 + 0.0im

0.010973658044938684 + 0.0im	-8.533571069967378e-17 + 0.0im
0.0 + 0.0im	0.010973658044938776 + 0.0im

0.030785307702937224 + 0.0im	-1.8466821733625124e-16 + 0.0im
0.0 + 0.0im	-0.030785307702937227 + 0.0im

-0.03975685638490268 + 0.0im	-1.8640145850457035e-16 + 0.0im
0.0 + 0.0im	-0.039756856384902825 + 0.0im

0.0045584647908766965 + 0.0im	4.503215723968414e-16 + 0.0im
0.0 + 0.0im	0.004558464790876634 + 0.0im

-0.03846209332869824 + 0.0im	-9.186284071209701e-17 + 0.0im
0.0 + 0.0im	-0.038462093328698474 + 0.0im

0.013289267048768193 + 0.0im	-3.6292651284415556e-16 + 0.0im
0.0 + 0.0im	-0.0132892670487682 + 0.0im

0.0018989785299191766 + 0.0im	1.5878006349569836e-15 + 0.0im
0.0 + 0.0im	0.0018989785299215443 + 0.0im

-0.06828827179085345 + 0.0im	-1.6900551935033516e-15 + 0.0im
0.0 + 0.0im	-0.0682882717908556 + 0.0im

0.002897807686707354 + 0.0im	1.21457324856215e-15 + 0.0im
0.0 + 0.0im	-0.002897807686709362 + 0.0im

0.0011221627292982623 + 0.0im	-3.818445384408712e-15 + 0.0im
0.0 + 0.0im	0.0011221627293372327 + 0.0im

-0.09632353662604895 + 0.0im	1.3724373200407758e-14 + 0.0im
0.0 + 0.0im	-0.0963235366261017 + 0.0im

0.00055045314384353 + 0.0im	-5.691711792699919e-15 + 0.0im
0.0 + 0.0im	0.0005504531439026695 + 0.0im

0.0017861789023462457 + 0.0im	-1.661986310988445e-14 + 0.0im
0.0 + 0.0im	-0.0017861789031728126 + 0.0im

-0.03041442729537246 + 0.0im	-1.3816678107615027e-13 + 0.0im
0.0 + 0.0im	-0.030414427296768087 + 0.0im

0.00017616728687227054 + 0.0im	9.351533761768616e-14 + 0.0im
0.0 + 0.0im	0.00017616729122362613 + 0.0im

0.005491785611347763 + 0.0im	3.5675041635348743e-12 + 0.0im
0.0 + 0.0im	-0.005491785621549565 + 0.0im

-0.004000507393066307 + 0.0im	4.1948541333798085e-13 + 0.0im
0.0 + 0.0im	-0.0040005074099787605 + 0.0im

7.235749955545649e-5 + 0.0im	-1.2080900459367165e-10 + 0.0im
0.0 + 0.0im	7.235783450711596e-5 + 0.0im

-0.02493410261253778 + 0.0im	9.908442502151228e-11 + 0.0im
0.0 + 0.0im	-0.024934102705473526 + 0.0im

0.0003480964826248502 + 0.0im	-4.488151773582934e-11 + 0.0im
0.0 + 0.0im	-0.000348096606201204 + 0.0im
