0.3175108839655485 + 0.0im	2.1522260156784517e-17 - 0.0im
0.0 + 0.0im	-0.31751088396554844 + 0.0im

-0.4592746610245902 + 0.0im	-3.0491809672615524e-17 + 0.0im
0.0 + 0.0im	0.4592746610245903 + 0.0im

0.496244427554559 + 0.0im	3.137981783869325e-17 + 0.0im
0.0 + 0.0im	-0.49624442755455905 + 0.0im

-0.5914408680740291 + 0.0im	2.38259912499692e-17 + 0.0im
0.0 + 0.0im	0.5914408680740291 + 0.0im

0.5600244121763844 + 0.0im	1.0886490954585895e-18 + 0.0im
0.0 + 0.0im	-0.5600244121763848 + 0.0im

-0.3552568094562652 + 0.0im	3.8018067985884406e-17 + 0.0im
0.0 + 0.0im	0.3552568094562651 + 0.0im

-0.2350073903720057 + 0.0im	-6.500808463587304e-17 + 0.0im
0.0 + 0.0im	-0.2350073903720055 + 0.0im

0.147885935192856 + 0.0im	2.2552252220645747e-19 + 0.0im
0.0 + 0.0im	0.14788593519285603 + 0.0im

0.13472365506577794 + 0.0im	2.6419804657808882e-17 + 0.0im
0.0 + 0.0im	-0.13472365506577796 + 0.0im

-0.10760146196741142 + 0.0im	3.4519980732401756e-17 + 0.0im
0.0 + 0.0im	-0.10760146196741141 + 0.0im

0.05044518942472158 + 0.0im	4.2631168235308936e-18 + 0.0im
0.0 + 0.0im	0.05044518942472159 + 0.0im

-0.1318344150762983 + 0.0im	2.2183792888590126e-18 + 0.0im
0.0 + 0.0im	-0.13183441507629817 + 0.0im

0.02847901570862635 + 0.0im	3.4518710182980875e-18 + 0.0im
0.0 + 0.0im	0.028479015708626335 + 0.0im

0.04657312419395295 + 0.0im	-8.747269541625757e-18 + 0.0im
0.0 + 0.0im	-0.046573124193952986 + 0.0im

-0.0667017330695132 + 0.0im	2.988162831323721e-17 + 0.0im
0.0 + 0.0im	-0.06670173306951319 + 0.0im

0.011520850320734815 + 0.0im	-4.070459179677903e-17 + 0.0im
0.0 + 0.0im	0.01152085032073487 + 0.0im

-0.05208049042189741 + 0.0im	-4.187603836283173e-17 + 0.0im
0.0 + 0.0im	-0.05208049042189761 + 0.0im

0.0254972436943344 + 0.0im	-6.808599060795836e-17 + 0.0im
0.0 + 0.0im	-0.025497243694334305 + 0.0im

0.005221711414846898 + 0.0im	2.7235073869541146e-17 + 0.0im
0.0 + 0.0im	0.005221711414846905 + 0.0im

-0.06789731916032267 + 0.0im	-3.069190003058067e-16 + 0.0im
0.0 + 0.0im	-0.067897319160323 + 0.0im

0.007757798486595078 + 0.0im	-1.9311038296329804e-16 + 0.0im
0.0 + 0.0im	-0.007757798486595067 + 0.0im

0.0026090626495220153 + 0.0im	1.1719655854911274e-15 + 0.0im
0.0 + 0.0im	0.002609062649523796 + 0.0im

-0.09576457767032925 + 0.0im	-9.159949816879565e-16 + 0.0im
0.0 + 0.0im	-0.095764577670331 + 0.0im

0.0017991899599011873 + 0.0im	1.2007805875655347e-15 + 0.0im
0.0 + 0.0im	0.0017991899599030584 + 0.0im

0.002503016025360627 + 0.0im	3.7631958604790374e-16 + 0.0im
0.0 + 0.0im	-0.0025030160253705735 + 0.0im

-0.05703323183570165 + 0.0im	1.7556594199275022e-14 + 0.0im
0.0 + 0.0im	-0.05703323183571057 + 0.0im

0.0005008999876189926 + 0.0im	-9.576126750018756e-16 + 0.0im
0.0 + 0.0im	0.0005008999876294659 + 0.0im

0.005239578482736974 + 0.0im	5.8565120052253734e-15 + 0.0im
0.0 + 0.0im	-0.005239578482629314 + 0.0im

-0.011492196971885374 + 0.0im	8.684127364693567e-15 + 0.0im
0.0 + 0.0im	-0.011492196971707091 + 0.0im

0.0001920932313210057 + 0.0im	-3.288313064293076e-14 + 0.0im
0.0 + 0.0im	0.00019209322994404254 + 0.0im

-0.017760294060333817 + 0.0im	2.119077872566764e-13 + 0.0im
0.0 + 0.0im	-0.017760294059502277 + 0.0im

0.001353487887782219 + 0.0im	-3.355943944098475e-14 + 0.0im
0.0 + 0.0im	-0.001353487886584311 + 0.0im

8.703056823677548e-5 + 0.0im	2.5932471825668855e-11 + 0.0im
0.0 + 0.0im	8.703049839487675e-5 + 0.0im

-0.07418706032391595 + 0.0im	-3.6293008501926335e-11 + 0.0im
0.0 + 0.0im	-0.0741870602728258 + 0.0im

0.00011736956343327072 + 0.0im	1.8935718607265145e-11 + 0.0im
0.0 + 0.0im	0.00011736951256761633 + 0.0im
