0.332715732122463 + 0.0im	0.09939967460165772 + 0.0im
0.09939967460165772 + 0.0im	-0.33271573212246325 + 0.0im

0.0670246691360855 + 0.0im	0.09566135748486757 + 0.0im
0.09566135748486757 + 0.0im	-0.06702466913608549 + 0.0im

0.02398466827151617 + 0.0im	0.11594858766963217 + 0.0im
0.1159485876696322 + 0.0im	-0.02398466827151623 + 0.0im

-0.0013233434141079192 + 0.0im	0.07185150563840513 + 0.0im
0.07185150563840517 + 0.0im	0.0013233434141078776 + 0.0im

-0.029861065500325627 + 0.0im	-0.12558453537928557 + 0.0im
-0.12558453537928554 + 0.0im	0.0298610655003254 + 0.0im

-0.06213197470288397 + 0.0im	0.08730594265974745 + 0.0im
0.08730594265974742 + 0.0im	0.062131974702884146 + 0.0im

-0.03376341469743063 + 0.0im	-0.07709854345419306 + 0.0im
-0.07709854345419304 + 0.0im	0.03376341469743069 + 0.0im

-0.05618209159655704 + 0.0im	0.13349315407823448 + 0.0im
0.13349315407823442 + 0.0im	0.05618209159655702 + 0.0im

-0.005531195009246044 + 0.0im	0.028035424362363164 + 0.0im
0.028035424362363164 + 0.0im	0.005531195009246079 + 0.0im

-0.010194113875435985 + 0.0im	-0.08130597328130332 + 0.0im
-0.08130597328130335 + 0.0im	0.010194113875436006 + 0.0im

-0.022403412761377806 + 0.0im	-0.10988041443128108 + 0.0im
-0.10988041443128102 + 0.0im	0.022403412761377778 + 0.0im

0.013190282492600527 + 0.0im	-0.06707303641076931 + 0.0im
-0.0670730364107693 + 0.0im	-0.013190282492600541 + 0.0im

-0.029922990121602995 + 0.0im	0.11391544103006335 + 0.0im
0.11391544103006335 + 0.0im	0.02992299012160296 + 0.0im

-0.06803677869360186 + 0.0im	0.014025236685170504 + 0.0im
0.014025236685170504 + 0.0im	0.06803677869360213 + 0.0im

0.0548459055259138 + 0.0im	-0.00013481840387744633 + 0.0im
-0.000134818403877446 + 0.0im	-0.05484590552591403 + 0.0im

-0.10352856037676629 + 0.0im	-0.039689941885037466 + 0.0im
-0.039689941885037466 + 0.0im	0.10352856037676629 + 0.0im

0.012120637623038631 + 0.0im	0.043853716019569555 + 0.0im
0.04385371601956957 + 0.0im	-0.012120637623039075 + 0.0im

-0.02064732988810245 + 0.0im	-0.04271279955403222 + 0.0im
-0.04271279955403223 + 0.0im	0.020647329888102868 + 0.0im

-0.08410416493470828 + 0.0im	0.06265685979124637 + 0.0im
0.06265685979124638 + 0.0im	0.08410416493470835 + 0.0im

0.06671447204081893 + 0.0im	0.04304295216351474 + 0.0im
0.043042952163514725 + 0.0im	-0.06671447204081707 + 0.0im

-0.06877603217165267 + 0.0im	-0.045963729600754004 + 0.0im
-0.045963729600754004 + 0.0im	0.06877603217165071 + 0.0im

-0.023337754782716866 + 0.0im	-0.09897561534647847 + 0.0im
-0.09897561534647847 + 0.0im	0.023337754782716734 + 0.0im

0.022011454958926056 + 0.0im	-0.09545896922736463 + 0.0im
-0.0954589692273646 + 0.0im	-0.022011454958926445 + 0.0im

-0.02238081190668796 + 0.0im	0.09720700364748298 + 0.0im
0.097207003647483 + 0.0im	0.022380811906688385 + 0.0im

0.004673572982527463 + 0.0im	0.09794881705937036 + 0.0im
0.09794881705937034 + 0.0im	-0.0046735729825274006 + 0.0im

-0.004751296540549628 + 0.0im	-0.09703824936417679 + 0.0im
-0.09703824936417679 + 0.0im	0.004751296540549357 + 0.0im

0.0044906432176261 + 0.0im	-0.10040980617663903 + 0.0im
-0.100409806176639 + 0.0im	-0.004490643217626419 + 0.0im

-0.008613193401481457 + 0.0im	-0.06370266334883685 + 0.0im
-0.06370266334883684 + 0.0im	0.008613193401408419 + 0.0im

0.008604287744843165 + 0.0im	0.06335313909126408 + 0.0im
0.06335313909126405 + 0.0im	-0.008604287744768853 + 0.0im

-0.0095860698599975 + 0.0im	0.09976075887445512 + 0.0im
0.0997607588744551 + 0.0im	0.009586069860084478 + 0.0im

0.00193093124932249 + 0.0im	-0.07922837265621896 + 0.0im
-0.07922837265621893 + 0.0im	-0.001930931218178819 + 0.0im

-0.0019817768433301047 + 0.0im	0.07936368289249175 + 0.0im
0.07936368289249174 + 0.0im	0.0019817768121400438 + 0.0im

-0.058543655571139865 + 0.0im	0.08117505164575178 + 0.0im
0.08117505164575178 + 0.0im	0.058543655581715745 + 0.0im

0.05825370269921179 + 0.0im	0.08093569054693592 + 0.0im
0.08093569054693597 + 0.0im	-0.05825370256976133 + 0.0im

-0.05830716873757429 + 0.0im	-0.08097088360471749 + 0.0im
-0.08097088360471749 + 0.0im	0.05830716860248959 + 0.0im
