0.3313877666086869 + 0.0im	0.10011312036154175 + 0.0im
0.10011312036154174 + 0.0im	-0.33138776660868696 + 0.0im

0.07018978706706192 + 0.0im	0.1050676460631551 + 0.0im
0.10506764606315516 + 0.0im	-0.07018978706706193 + 0.0im

0.034424842324152466 + 0.0im	0.09768881329420076 + 0.0im
0.09768881329420077 + 0.0im	-0.034424842324152466 + 0.0im

0.02322298028108355 + 0.0im	0.08103176346964257 + 0.0im
0.08103176346964257 + 0.0im	-0.02322298028108355 + 0.0im

-0.0020779921915114186 + 0.0im	0.13374751144868952 + 0.0im
0.13374751144868943 + 0.0im	0.0020779921915114047 + 0.0im

-0.037421476614983705 + 0.0im	0.06707386290755311 + 0.0im
0.0670738629075531 + 0.0im	0.03742147661498375 + 0.0im

-0.04770151450874921 + 0.0im	-0.10395315236960506 + 0.0im
-0.10395315236960505 + 0.0im	0.04770151450874922 + 0.0im

-0.07441075141579673 + 0.0im	0.11736254441851329 + 0.0im
0.11736254441851328 + 0.0im	0.07441075141579687 + 0.0im

-0.010968244191025607 + 0.0im	0.057427890137493484 + 0.0im
0.05742789013749349 + 0.0im	0.010968244191025565 + 0.0im

-0.030859583938589265 + 0.0im	-0.1216155732541906 + 0.0im
-0.12161557325419062 + 0.0im	0.030859583938589234 + 0.0im

-0.012709481178706239 + 0.0im	-0.05094209128559715 + 0.0im
-0.05094209128559715 + 0.0im	0.012709481178706211 + 0.0im

0.0053770004905918534 + 0.0im	0.00688681927454457 + 0.0im
0.006886819274544567 + 0.0im	-0.005377000490591801 + 0.0im

-0.0274346980248718 + 0.0im	-0.12370651548163314 + 0.0im
-0.12370651548163314 + 0.0im	0.027434698024871813 + 0.0im

-0.006632242860662947 + 0.0im	-0.055255760236650006 + 0.0im
-0.05525576023665002 + 0.0im	0.0066322428606631 + 0.0im

-0.006903682188316555 + 0.0im	0.07474955119383886 + 0.0im
0.07474955119383889 + 0.0im	0.0069036821883163915 + 0.0im

-0.10106153118487834 + 0.0im	0.045661549663099266 + 0.0im
0.045661549663099266 + 0.0im	0.10106153118487843 + 0.0im

0.07996366404179452 + 0.0im	0.03582021740167275 + 0.0im
0.03582021740167277 + 0.0im	-0.0799636640417945 + 0.0im

-0.09243278662480645 + 0.0im	-0.03745597685131562 + 0.0im
-0.03745597685131562 + 0.0im	0.09243278662480649 + 0.0im

-0.08199394364159972 + 0.0im	0.058602899798504166 + 0.0im
0.058602899798504145 + 0.0im	0.08199394364159976 + 0.0im

0.0746243872465649 + 0.0im	-0.056591356479179414 + 0.0im
-0.05659135647917943 + 0.0im	-0.07462438724656507 + 0.0im

-0.08291564809278497 + 0.0im	-0.06096223326472544 + 0.0im
-0.06096223326472543 + 0.0im	0.08291564809278494 + 0.0im

-0.014373273180856634 + 0.0im	-0.08219496279973465 + 0.0im
-0.08219496279973464 + 0.0im	0.014373273180852485 + 0.0im

0.012868872011721003 + 0.0im	0.0798684568694732 + 0.0im
0.07986845686947323 + 0.0im	-0.012868872011716975 + 0.0im

-0.024256222993741687 + 0.0im	0.0986810942341704 + 0.0im
0.0986810942341704 + 0.0im	0.024256222993741326 + 0.0im

0.014197415746787886 + 0.0im	-0.0027736383778732866 + 0.0im
-0.0027736383778732944 + 0.0im	-0.014197415746876767 + 0.0im

-0.014302482145250775 + 0.0im	0.003840073686241646 + 0.0im
0.003840073686241647 + 0.0im	0.014302482145339888 + 0.0im

0.0042723880998876695 + 0.0im	0.10057752290660717 + 0.0im
0.10057752290660715 + 0.0im	-0.004272388099888148 + 0.0im

-0.004493163357686569 + 0.0im	0.09242795063013785 + 0.0im
0.0924279506301379 + 0.0im	0.004493163357673226 + 0.0im

0.004483225926888448 + 0.0im	-0.0928657486299826 + 0.0im
-0.09286574862998262 + 0.0im	-0.00448322592687464 + 0.0im

-0.00861279061154576 + 0.0im	-0.09981484413195915 + 0.0im
-0.09981484413195917 + 0.0im	0.00861279061155678 + 0.0im

0.008560241056119126 + 0.0im	-0.09941287824966591 + 0.0im
-0.09941287824966594 + 0.0im	-0.008560241056112632 + 0.0im

-0.008622043887391517 + 0.0im	0.09966615434044045 + 0.0im
0.0996661543404404 + 0.0im	0.008622043887374725 + 0.0im

-0.0563057427836641 + 0.0im	0.08064871492267275 + 0.0im
0.08064871492267274 + 0.0im	0.056305742775685015 + 0.0im

0.056266778913852566 + 0.0im	-0.08054265405398092 + 0.0im
-0.0805426540539809 + 0.0im	-0.056266778906209666 + 0.0im

-0.056943638466989244 + 0.0im	-0.08228553695236912 + 0.0im
-0.0822855369523691 + 0.0im	0.0569436384631232 + 0.0im
