0.3175108839686378 + 0.0im	3.6562177168231874e-18 - 0.0im
0.0 + 0.0im	-0.3175108839686379 + 0.0im

-0.46869938495205815 + 0.0im	-3.1707169603027436e-17 + 0.0im
0.0 + 0.0im	0.468699384952058 + 0.0im

0.44393001691051903 + 0.0im	-2.6277079606196532e-17 + 0.0im
0.0 + 0.0im	-0.443930016910519 + 0.0im

-0.3503311990353307 + 0.0im	4.534623970350399e-17 + 0.0im
0.0 + 0.0im	0.35033119903533055 + 0.0im

-0.2638312405099666 + 0.0im	-2.1062956541135873e-17 + 0.0im
0.0 + 0.0im	-0.26383124050996676 + 0.0im

0.1761926049157443 + 0.0im	-5.3969339509018187e-17 + 0.0im
0.0 + 0.0im	0.1761926049157443 + 0.0im

-0.16094552608347304 + 0.0im	6.108483978242794e-18 + 0.0im
0.0 + 0.0im	-0.160945526083473 + 0.0im

0.11047064695097514 + 0.0im	-2.4721715356800823e-17 + 0.0im
0.0 + 0.0im	0.1104706469509752 + 0.0im

0.07171290468390806 + 0.0im	9.821347023413612e-19 + 0.0im
0.0 + 0.0im	-0.07171290468390805 + 0.0im

-0.12440503866646221 + 0.0im	-2.0138631837444618e-17 + 0.0im
0.0 + 0.0im	-0.12440503866646213 + 0.0im

0.0298084521412024 + 0.0im	-8.076670910306567e-18 + 0.0im
0.0 + 0.0im	0.029808452141202414 + 0.0im

0.08187690921205187 + 0.0im	-2.782990275675048e-17 + 0.0im
0.0 + 0.0im	-0.08187690921205185 + 0.0im

-0.04390317774862333 + 0.0im	3.778190461227807e-18 + 0.0im
0.0 + 0.0im	-0.04390317774862334 + 0.0im

0.014610595694303459 + 0.0im	3.892550497018978e-17 + 0.0im
0.0 + 0.0im	0.014610595694303407 + 0.0im

-0.09348349459269736 + 0.0im	-4.9271059508835396e-17 + 0.0im
0.0 + 0.0im	-0.09348349459269724 + 0.0im

0.014401468275492033 + 0.0im	3.861824376857328e-17 + 0.0im
0.0 + 0.0im	-0.01440146827549203 + 0.0im

0.008649741670922587 + 0.0im	5.657915389862709e-17 + 0.0im
0.0 + 0.0im	0.008649741670922551 + 0.0im

-0.0918856400425659 + 0.0im	2.1310205458439403e-16 + 0.0im
0.0 + 0.0im	-0.09188564004256614 + 0.0im

0.004589300077769714 + 0.0im	1.7007235734740195e-16 + 0.0im
0.0 + 0.0im	0.0045893000777696945 + 0.0im

0.0071995094900925635 + 0.0im	8.445204357745073e-17 + 0.0im
0.0 + 0.0im	-0.007199509490092824 + 0.0im

-0.05613412460884684 + 0.0im	-1.3428707879839172e-15 + 0.0im
0.0 + 0.0im	-0.05613412460884567 + 0.0im

0.0014906354245354837 + 0.0im	1.2177363872245528e-15 + 0.0im
0.0 + 0.0im	0.0014906354245373947 + 0.0im

0.01088387576521696 + 0.0im	2.3371941885571494e-15 + 0.0im
0.0 + 0.0im	-0.01088387576522831 + 0.0im

-0.01587214811087496 + 0.0im	8.695038843120097e-15 + 0.0im
0.0 + 0.0im	-0.015872148110892687 + 0.0im

0.0005613141130667511 + 0.0im	-1.0489655807039019e-14 + 0.0im
0.0 + 0.0im	0.0005613141131824163 + 0.0im

-0.027415377797612876 + 0.0im	-2.0678454405059256e-15 + 0.0im
0.0 + 0.0im	-0.02741537779769585 + 0.0im

0.002531635092296441 + 0.0im	-9.556102891145665e-15 + 0.0im
0.0 + 0.0im	-0.0025316350924042656 + 0.0im

0.00025414727132346714 + 0.0im	7.648773328166334e-14 + 0.0im
0.0 + 0.0im	0.00025414727444828726 + 0.0im

-0.08501545876134753 + 0.0im	7.733624938360828e-14 + 0.0im
0.0 + 0.0im	-0.08501545876414802 + 0.0im

0.0002883085044469442 + 0.0im	4.575532262983081e-14 + 0.0im
0.0 + 0.0im	0.0002883085062056462 + 0.0im

0.000323284688810147 + 0.0im	1.9309082683284204e-11 + 0.0im
0.0 + 0.0im	-0.0003232847404218214 + 0.0im

-0.052556960848279634 + 0.0im	6.41313223229481e-12 + 0.0im
0.0 + 0.0im	-0.05255696092945663 + 0.0im

6.035127373913413e-5 + 0.0im	-4.366753772383834e-11 + 0.0im
0.0 + 0.0im	6.035139020860321e-5 + 0.0im

0.001157680941141892 + 0.0im	-2.535965045561428e-10 + 0.0im
0.0 + 0.0im	-0.0011576810935735801 + 0.0im

-0.006088031920061929 + 0.0im	-1.622956627623422e-10 + 0.0im
0.0 + 0.0im	-0.006088032347956729 + 0.0im
