0.3209284661602201 + 0.0im	0.10087058351207294 + 0.0im
0.10087058351207295 + 0.0im	-0.32092846616022014 + 0.0im

0.039065896198206065 + 0.0im	0.09252410726509692 + 0.0im
0.09252410726509694 + 0.0im	-0.03906589619820616 + 0.0im

-0.02122981403198057 + 0.0im	0.10099000542782494 + 0.0im
0.10099000542782494 + 0.0im	0.021229814031980595 + 0.0im

-0.08038199921299836 + 0.0im	0.13886312573006 + 0.0im
0.13886312573006 + 0.0im	0.08038199921299857 + 0.0im

0.07795883842348324 + 0.0im	0.1162513341491617 + 0.0im
0.11625133414916167 + 0.0im	-0.07795883842348333 + 0.0im

0.0543020144512223 + 0.0im	0.03723810906747732 + 0.0im
0.037238109067477335 + 0.0im	-0.05430201445122227 + 0.0im

-0.03229215576956523 + 0.0im	-0.12794867981691965 + 0.0im
-0.12794867981691968 + 0.0im	0.032292155769565206 + 0.0im

-0.0689779869343854 + 0.0im	0.09628776039602094 + 0.0im
0.09628776039602097 + 0.0im	0.06897798693438538 + 0.0im

-0.02730119233193696 + 0.0im	0.06966683909583636 + 0.0im
0.06966683909583637 + 0.0im	0.027301192331936966 + 0.0im

-0.047063120598852155 + 0.0im	-0.13392214234333832 + 0.0im
-0.13392214234333838 + 0.0im	0.04706312059885216 + 0.0im

-0.007627355761931957 + 0.0im	0.00646802324750672 + 0.0im
0.00646802324750672 + 0.0im	0.007627355761931874 + 0.0im

-0.0036645233799196177 + 0.0im	-0.056123244011733284 + 0.0im
-0.056123244011733284 + 0.0im	0.003664523379919661 + 0.0im

-0.025826543740643297 + 0.0im	-0.11973522130323497 + 0.0im
-0.11973522130323494 + 0.0im	0.025826543740643325 + 0.0im

0.01242980016092153 + 0.0im	-0.07369920611621666 + 0.0im
-0.07369920611621666 + 0.0im	-0.012429800160921517 + 0.0im

-0.02806995756793971 + 0.0im	0.10584858468325746 + 0.0im
0.10584858468325742 + 0.0im	0.028069957567939646 + 0.0im

-0.08836544375358044 + 0.0im	0.032278696025342585 + 0.0im
0.032278696025342585 + 0.0im	0.08836544375358037 + 0.0im

0.07448915223168422 + 0.0im	-0.019879949091342473 + 0.0im
-0.019879949091342476 + 0.0im	-0.07448915223168423 + 0.0im

-0.10284583328799755 + 0.0im	-0.03645215704096205 + 0.0im
-0.03645215704096204 + 0.0im	0.10284583328799754 + 0.0im

-0.03750777750407839 + 0.0im	0.05241852832277005 + 0.0im
0.05241852832277004 + 0.0im	0.03750777750407802 + 0.0im

0.02965747305253949 + 0.0im	-0.05100581342855573 + 0.0im
-0.051005813428555744 + 0.0im	-0.02965747305253921 + 0.0im

-0.0826585938978266 + 0.0im	-0.06399399877903131 + 0.0im
-0.06399399877903134 + 0.0im	0.08265859389782651 + 0.0im

0.04329453153586991 + 0.0im	0.007911076437510989 + 0.0im
0.007911076437510992 + 0.0im	-0.04329453153587215 + 0.0im

-0.04502522131130206 + 0.0im	-0.010607049282855805 + 0.0im
-0.010607049282855798 + 0.0im	0.045025221311304264 + 0.0im

-0.022624563425355744 + 0.0im	-0.09933472921566308 + 0.0im
-0.09933472921566305 + 0.0im	0.022624563425355147 + 0.0im

0.020919285117763232 + 0.0im	-0.09014640037159319 + 0.0im
-0.09014640037159322 + 0.0im	-0.020919285117771358 + 0.0im

-0.02107116586220413 + 0.0im	0.09146369068433637 + 0.0im
0.09146369068433632 + 0.0im	0.021071165862212526 + 0.0im

0.004565771010395667 + 0.0im	0.1002698315121761 + 0.0im
0.1002698315121761 + 0.0im	-0.0045657710103964855 + 0.0im

-0.004639048615830678 + 0.0im	-0.09923619147127855 + 0.0im
-0.09923619147127855 + 0.0im	0.004639048615830421 + 0.0im

0.0045899774683153954 + 0.0im	-0.10016712483322102 + 0.0im
-0.10016712483322102 + 0.0im	-0.0045899774683145975 + 0.0im

-0.009886928438823488 + 0.0im	-0.09443134973101847 + 0.0im
-0.09443134973101847 + 0.0im	0.0098869284388792 + 0.0im

0.009877126614343042 + 0.0im	0.09410794573243503 + 0.0im
0.09410794573243503 + 0.0im	-0.009877126614394986 + 0.0im

-0.010098048414530797 + 0.0im	0.09968971177800398 + 0.0im
0.09968971177800398 + 0.0im	0.010098048414565339 + 0.0im

-0.02780175422573638 + 0.0im	-0.0012070939689487474 + 0.0im
-0.0012070939689487407 + 0.0im	0.027801754260114574 + 0.0im

0.027754083304150717 + 0.0im	0.001330730993102506 + 0.0im
0.0013307309931025106 + 0.0im	-0.02775408333855406 + 0.0im

-0.05938670454187446 + 0.0im	0.08055628329697195 + 0.0im
0.08055628329697195 + 0.0im	0.0593867045400389 + 0.0im
