0.31751088396779026 + 0.0im	4.232517758311332e-18 - 0.0im
0.0 + 0.0im	-0.31751088396779026 + 0.0im

-0.4849450879690903 + 0.0im	-4.1744960014244124e-18 + 0.0im
0.0 + 0.0im	0.4849450879690907 + 0.0im

0.5041711221690156 + 0.0im	-3.674301870247067e-17 + 0.0im
0.0 + 0.0im	-0.5041711221690155 + 0.0im

-0.4315470031225037 + 0.0im	1.6691492292250334e-17 + 0.0im
0.0 + 0.0im	0.4315470031225036 + 0.0im

0.31559638734167755 + 0.0im	2.2082360693156423e-17 + 0.0im
0.0 + 0.0im	-0.31559638734167755 + 0.0im

-0.2092906990843092 + 0.0im	1.7336699787486596e-17 + 0.0im
0.0 + 0.0im	0.20929069908430906 + 0.0im

-0.18053868420923044 + 0.0im	1.2166569496123956e-17 + 0.0im
0.0 + 0.0im	-0.18053868420923042 + 0.0im

0.11749641122082737 + 0.0im	5.871420632129996e-18 + 0.0im
0.0 + 0.0im	0.11749641122082746 + 0.0im

0.09099164554252047 + 0.0im	2.2524935408096795e-17 + 0.0im
0.0 + 0.0im	-0.09099164554252039 + 0.0im

-0.116425181422078 + 0.0im	3.7233874295404534e-17 + 0.0im
0.0 + 0.0im	-0.11642518142207797 + 0.0im

0.03340111070547502 + 0.0im	1.3338863095123908e-17 + 0.0im
0.0 + 0.0im	0.033401110705475044 + 0.0im

-0.10761591967624622 + 0.0im	-6.591292758177745e-17 + 0.0im
0.0 + 0.0im	-0.10761591967624619 + 0.0im

0.035111364407925144 + 0.0im	7.978626846661882e-18 + 0.0im
0.0 + 0.0im	-0.035111364407925165 + 0.0im

0.019751239874771395 + 0.0im	-5.939892658003666e-17 + 0.0im
0.0 + 0.0im	0.019751239874771474 + 0.0im

-0.10241910332715333 + 0.0im	6.733742524082237e-17 + 0.0im
0.0 + 0.0im	-0.10241910332715343 + 0.0im

0.011678722606674049 + 0.0im	-1.331391797482727e-16 + 0.0im
0.0 + 0.0im	0.011678722606674193 + 0.0im

0.015187796304981882 + 0.0im	-4.47320428785601e-16 + 0.0im
0.0 + 0.0im	-0.015187796304981878 + 0.0im

-0.06834842092894179 + 0.0im	-5.514413185521254e-16 + 0.0im
0.0 + 0.0im	-0.06834842092894197 + 0.0im

0.004265978574177533 + 0.0im	1.014921971301036e-15 + 0.0im
0.0 + 0.0im	0.004265978574177376 + 0.0im

0.016145583376857637 + 0.0im	3.5014647973598267e-16 + 0.0im
0.0 + 0.0im	-0.01614558337685553 + 0.0im

-0.02858709753154532 + 0.0im	3.591331604931719e-15 + 0.0im
0.0 + 0.0im	-0.02858709753154609 + 0.0im

0.001598459038530422 + 0.0im	-4.98783641325666e-15 + 0.0im
0.0 + 0.0im	0.0015984590385228227 + 0.0im

-0.027790454141255437 + 0.0im	-1.801153411293765e-15 + 0.0im
0.0 + 0.0im	-0.027790454141247138 + 0.0im

0.006817201692258158 + 0.0im	-6.418077061563082e-15 + 0.0im
0.0 + 0.0im	-0.006817201692249085 + 0.0im

0.000661047097124478 + 0.0im	1.1558140012638799e-14 + 0.0im
0.0 + 0.0im	0.0006610470970053413 + 0.0im

-0.0694625376995168 + 0.0im	-1.6220193048942233e-14 + 0.0im
0.0 + 0.0im	-0.06946253769943088 + 0.0im

0.0010329598516086982 + 0.0im	4.6864494910084896e-15 + 0.0im
0.0 + 0.0im	-0.0010329598515546414 + 0.0im

0.0005026681083690765 + 0.0im	-1.9596958291081992e-14 + 0.0im
0.0 + 0.0im	0.00050266810751916 + 0.0im

-0.08515826323331498 + 0.0im	-4.9706061749227315e-14 + 0.0im
0.0 + 0.0im	-0.0851582632321736 + 0.0im

0.0001777748602406388 + 0.0im	-1.8501021324145227e-14 + 0.0im
0.0 + 0.0im	0.00017777485940594377 + 0.0im

0.001220579984336245 + 0.0im	2.5852237502184127e-12 + 0.0im
0.0 + 0.0im	-0.0012205799914765123 + 0.0im

-0.01599806548412973 + 0.0im	4.4188540630415996e-13 + 0.0im
0.0 + 0.0im	-0.015998065496989906 + 0.0im

6.418983285580643e-5 + 0.0im	-2.8257050356119818e-11 + 0.0im
0.0 + 0.0im	6.418991053102377e-5 + 0.0im

-0.005011920837214317 + 0.0im	2.5578052406872934e-10 + 0.0im
0.0 + 0.0im	-0.005011920997434046 + 0.0im

0.0015558392289713374 + 0.0im	-1.614750706905373e-10 + 0.0im
0.0 + 0.0im	-0.0015558396713716532 + 0.0im
