0.3373922769414401 + 0.0im	0.09910481608270821 + 0.0im
0.09910481608270821 + 0.0im	-0.33739227694144003 + 0.0im

0.08089740596893737 + 0.0im	0.10159858585414834 + 0.0im
0.10159858585414837 + 0.0im	-0.08089740596893746 + 0.0im

0.030101782013519846 + 0.0im	0.1099793577187184 + 0.0im
0.10997935771871835 + 0.0im	-0.03010178201351973 + 0.0im

0.005416130895934748 + 0.0im	0.07397625133549518 + 0.0im
0.07397625133549514 + 0.0im	-0.0054161308959347065 + 0.0im

-0.02125409035241564 + 0.0im	0.13064923643896176 + 0.0im
0.13064923643896179 + 0.0im	0.02125409035241571 + 0.0im

-0.05397983195251769 + 0.0im	0.07706320891831486 + 0.0im
0.07706320891831486 + 0.0im	0.053979831952517814 + 0.0im

-0.04184188547931269 + 0.0im	-0.0871654190724732 + 0.0im
-0.08716541907247322 + 0.0im	0.04184188547931274 + 0.0im

-0.06606162320543231 + 0.0im	0.12942186096075675 + 0.0im
0.12942186096075672 + 0.0im	0.0660616232054323 + 0.0im

-0.00552302730557374 + 0.0im	0.043855554444048324 + 0.0im
0.043855554444048345 + 0.0im	0.005523027305573698 + 0.0im

-0.018222047880785776 + 0.0im	-0.10195648146434007 + 0.0im
-0.10195648146434003 + 0.0im	0.018222047880785745 + 0.0im

-0.018349962928913083 + 0.0im	-0.0912127944282013 + 0.0im
-0.09121279442820132 + 0.0im	0.018349962928913117 + 0.0im

0.010966496076189356 + 0.0im	0.04892707527435026 + 0.0im
0.048927075274350265 + 0.0im	-0.010966496076189432 + 0.0im

-0.029336230149327444 + 0.0im	0.11943920149963651 + 0.0im
0.11943920149963647 + 0.0im	0.029336230149327402 + 0.0im

-0.040147834341164354 + 0.0im	-0.015262716615752733 + 0.0im
-0.01526271661575272 + 0.0im	0.040147834341164375 + 0.0im

0.02705757526745651 + 0.0im	0.030947492284995 + 0.0im
0.03094749228499501 + 0.0im	-0.027057575267456564 + 0.0im

-0.10312397506927035 + 0.0im	0.04325263052329341 + 0.0im
0.0432526305232934 + 0.0im	0.10312397506927042 + 0.0im

0.05478450365208824 + 0.0im	0.038618046939678685 + 0.0im
0.03861804693967867 + 0.0im	-0.05478450365208807 + 0.0im

-0.06429967446182495 + 0.0im	-0.03800062499950292 + 0.0im
-0.03800062499950292 + 0.0im	0.0642996744618248 + 0.0im

-0.08523932638293409 + 0.0im	0.06086435153203844 + 0.0im
0.06086435153203844 + 0.0im	0.08523932638293392 + 0.0im

0.07566994639052708 + 0.0im	0.05440276885833582 + 0.0im
0.05440276885833583 + 0.0im	-0.07566994639052727 + 0.0im

-0.07858895455261122 + 0.0im	-0.05764213796107018 + 0.0im
-0.057642137961070206 + 0.0im	0.07858895455261145 + 0.0im

-0.023391993278139872 + 0.0im	-0.09725029115419309 + 0.0im
-0.09725029115419309 + 0.0im	0.02339199327813858 + 0.0im

0.022045515357887235 + 0.0im	0.09484090851479143 + 0.0im
0.09484090851479143 + 0.0im	-0.022045515357886937 + 0.0im

-0.023492645234218443 + 0.0im	0.09835028905945661 + 0.0im
0.09835028905945666 + 0.0im	0.023492645234218595 + 0.0im

0.005819159460023149 + 0.0im	0.08434894927173464 + 0.0im
0.0843489492717347 + 0.0im	-0.0058191594600553315 + 0.0im

-0.005907986119291754 + 0.0im	-0.08339602573171281 + 0.0im
-0.08339602573171281 + 0.0im	0.005907986119324221 + 0.0im

0.004361251660196269 + 0.0im	-0.1004981449887665 + 0.0im
-0.1004981449887665 + 0.0im	-0.004361251660197928 + 0.0im

-0.006098517284300685 + 0.0im	0.024729266709482688 + 0.0im
0.02472926670948269 + 0.0im	0.006098517283672722 + 0.0im

0.006089888100320993 + 0.0im	-0.025109784563798768 + 0.0im
-0.025109784563798768 + 0.0im	-0.006089888099691531 + 0.0im

-0.00896609943138428 + 0.0im	-0.09983560759615201 + 0.0im
-0.09983560759615201 + 0.0im	0.008966099431468214 + 0.0im

0.008031725940538331 + 0.0im	-0.09705516108488843 + 0.0im
-0.09705516108488843 + 0.0im	-0.008031725937184209 + 0.0im

-0.008085741222059559 + 0.0im	0.09720604825760992 + 0.0im
0.09720604825760995 + 0.0im	0.008085741218649231 + 0.0im

-0.05748701176658669 + 0.0im	0.0818747953738745 + 0.0im
0.08187479537387449 + 0.0im	0.0574870117536918 + 0.0im

0.05742857301555576 + 0.0im	0.08176668187822969 + 0.0im
0.08176668187822966 + 0.0im	-0.057428573017748244 + 0.0im

-0.057504188717898086 + 0.0im	-0.08185445293531457 + 0.0im
-0.08185445293531456 + 0.0im	0.05750418872653981 + 0.0im
