0.3175108839652049 + 0.0im	1.30813650791586e-18 - 0.0im
0.0 + 0.0im	-0.3175108839652049 + 0.0im

-0.45148293515684046 + 0.0im	-3.66468275233981e-17 + 0.0im
0.0 + 0.0im	0.45148293515684035 + 0.0im

0.4614671271701931 + 0.0im	4.351081195103253e-17 + 0.0im
0.0 + 0.0im	-0.4614671271701931 + 0.0im

-0.5629300538000569 + 0.0im	7.118491358504742e-18 + 0.0im
0.0 + 0.0im	0.5629300538000571 + 0.0im

0.6275755348631259 + 0.0im	3.1743194973065346e-17 + 0.0im
0.0 + 0.0im	-0.6275755348631257 + 0.0im

-0.4214391818729738 + 0.0im	3.2138018205604257e-18 + 0.0im
0.0 + 0.0im	0.4214391818729739 + 0.0im

-0.2512465588526779 + 0.0im	1.5978429517005122e-17 + 0.0im
0.0 + 0.0im	-0.2512465588526778 + 0.0im

0.15432519145890658 + 0.0im	2.025361656003439e-17 + 0.0im
0.0 + 0.0im	0.15432519145890644 + 0.0im

0.14047429233074 + 0.0im	-3.949460523162626e-17 + 0.0im
0.0 + 0.0im	-0.14047429233074007 + 0.0im

-0.10766224009858996 + 0.0im	6.935124607291947e-17 + 0.0im
0.0 + 0.0im	-0.10766224009858996 + 0.0im

0.05400259005784601 + 0.0im	7.841831025680313e-18 + 0.0im
0.0 + 0.0im	0.054002590057846016 + 0.0im

-0.13140233104386706 + 0.0im	3.4145592169715355e-17 + 0.0im
0.0 + 0.0im	-0.13140233104386698 + 0.0im

0.028418073810314807 + 0.0im	-3.1424922343134543e-19 + 0.0im
0.0 + 0.0im	0.028418073810314803 + 0.0im

0.05242527450369024 + 0.0im	4.868002903499891e-17 + 0.0im
0.0 + 0.0im	-0.052425274503690195 + 0.0im

-0.06139959412180407 + 0.0im	-8.289572641598936e-17 + 0.0im
0.0 + 0.0im	-0.06139959412180411 + 0.0im

0.01186905219706301 + 0.0im	-7.973671703920444e-17 + 0.0im
0.0 + 0.0im	0.01186905219706309 + 0.0im

-0.06001309129682081 + 0.0im	2.677606671542404e-16 + 0.0im
0.0 + 0.0im	-0.06001309129682055 + 0.0im

0.02249109924235849 + 0.0im	-1.5985078725641068e-16 + 0.0im
0.0 + 0.0im	-0.022491099242358766 + 0.0im

0.005559747991463593 + 0.0im	9.75186702833271e-16 + 0.0im
0.0 + 0.0im	0.0055597479914634654 + 0.0im

-0.07721024750215581 + 0.0im	-5.858054452222324e-16 + 0.0im
0.0 + 0.0im	-0.07721024750215555 + 0.0im

0.006755719452271103 + 0.0im	2.1674768438937654e-16 + 0.0im
0.0 + 0.0im	-0.006755719452271048 + 0.0im

0.003031862142529785 + 0.0im	1.823114963912819e-15 + 0.0im
0.0 + 0.0im	0.003031862142532562 + 0.0im

-0.09486070585282007 + 0.0im	-3.0477803982832674e-15 + 0.0im
0.0 + 0.0im	-0.09486070585282404 + 0.0im

0.0016514060427754013 + 0.0im	4.075680079006542e-15 + 0.0im
0.0 + 0.0im	0.0016514060427819642 + 0.0im

0.0033011359213060785 + 0.0im	6.0389841837667495e-15 + 0.0im
0.0 + 0.0im	-0.003301135921384673 + 0.0im

-0.04533586892392261 + 0.0im	7.917010959573173e-14 + 0.0im
0.0 + 0.0im	-0.04533586892403593 + 0.0im

0.0005055860122027928 + 0.0im	-2.396904336217831e-14 + 0.0im
0.0 + 0.0im	0.0005055860124749626 + 0.0im

0.007253292316830576 + 0.0im	1.2816179180405777e-15 + 0.0im
0.0 + 0.0im	-0.0072532923173453745 + 0.0im

-0.008545911516108444 + 0.0im	-8.353445363272309e-14 + 0.0im
0.0 + 0.0im	-0.008545911516925108 + 0.0im

0.00019836694331324404 + 0.0im	1.992735774348787e-13 + 0.0im
0.0 + 0.0im	0.00019836695112038615 + 0.0im

-0.02513226312555059 + 0.0im	-2.1177025790516252e-13 + 0.0im
0.0 + 0.0im	-0.02513226312763854 + 0.0im

0.0009803289825159132 + 0.0im	4.506183685063945e-14 + 0.0im
0.0 + 0.0im	-0.0009803289837952563 + 0.0im

9.845618715885202e-5 + 0.0im	-6.906636597522267e-13 + 0.0im
0.0 + 0.0im	9.845618899336024e-5 + 0.0im

-0.0901213165616255 + 0.0im	-1.3501388917459833e-11 + 0.0im
0.0 + 0.0im	-0.09012131654270339 + 0.0im

9.051767660114675e-5 + 0.0im	2.014834493884545e-11 + 0.0im
0.0 + 0.0im	9.051762345804193e-5 + 0.0im
