0.325875873199105 + 0.0im	0.10071105769336128 + 0.0im
0.10071105769336128 + 0.0im	-0.3258758731991048 + 0.0im

0.05148198517983785 + 0.0im	0.10301978716363877 + 0.0im
0.1030197871636388 + 0.0im	-0.0514819851798376 + 0.0im

0.01906385875488993 + 0.0im	0.09001548372954973 + 0.0im
0.09001548372954973 + 0.0im	-0.019063858754889793 + 0.0im

0.03443217467035643 + 0.0im	0.09000897681568047 + 0.0im
0.09000897681568047 + 0.0im	-0.034432174670356655 + 0.0im

0.017901153913489176 + 0.0im	0.13545434447063415 + 0.0im
0.13545434447063412 + 0.0im	-0.017901153913489273 + 0.0im

-0.024850959742534498 + 0.0im	0.06328687689156501 + 0.0im
0.06328687689156501 + 0.0im	0.024850959742534498 + 0.0im

-0.04654858964034969 + 0.0im	-0.11277665799064 + 0.0im
-0.11277665799064004 + 0.0im	0.046548589640349594 + 0.0im

-0.07487171265778997 + 0.0im	0.10917396392506915 + 0.0im
0.10917396392506915 + 0.0im	0.07487171265779 + 0.0im

-0.016471539762188174 + 0.0im	0.06238679273324717 + 0.0im
0.062386792733247154 + 0.0im	0.01647153976218814 + 0.0im

-0.03770711303129086 + 0.0im	-0.12813896161575047 + 0.0im
-0.12813896161575045 + 0.0im	0.03770711303129079 + 0.0im

-0.010130049975863989 + 0.0im	-0.0270533419866655 + 0.0im
-0.0270533419866655 + 0.0im	0.010130049975864128 + 0.0im

0.0018361492308965393 + 0.0im	-0.01878252574620696 + 0.0im
-0.01878252574620696 + 0.0im	-0.0018361492308965601 + 0.0im

-0.02650719159230122 + 0.0im	-0.12396141086137533 + 0.0im
-0.1239614108613753 + 0.0im	0.026507191592301152 + 0.0im

0.00375971459960351 + 0.0im	-0.06778206743816284 + 0.0im
-0.06778206743816285 + 0.0im	-0.003759714599603489 + 0.0im

-0.017824455132190612 + 0.0im	0.09068149463994905 + 0.0im
0.0906814946399491 + 0.0im	0.01782445513219057 + 0.0im

-0.09832363483367197 + 0.0im	0.04397314182941364 + 0.0im
0.04397314182941366 + 0.0im	0.09832363483367215 + 0.0im

0.08204032272282819 + 0.0im	0.03287090070346833 + 0.0im
0.032870900703468334 + 0.0im	-0.08204032272282809 + 0.0im

-0.09807029309206866 + 0.0im	-0.03774919938122109 + 0.0im
-0.03774919938122107 + 0.0im	0.09807029309206856 + 0.0im

-0.07333366936637215 + 0.0im	0.0571437477209403 + 0.0im
0.0571437477209403 + 0.0im	0.07333366936637331 + 0.0im

0.06594003301770421 + 0.0im	-0.05565147623153651 + 0.0im
-0.05565147623153651 + 0.0im	-0.06594003301770521 + 0.0im

-0.08350201499057738 + 0.0im	-0.06166665384834785 + 0.0im
-0.061666653848347824 + 0.0im	0.08350201499057733 + 0.0im

0.002712401412090115 + 0.0im	-0.056181055863252234 + 0.0im
-0.05618105586325224 + 0.0im	-0.002712401412090712 + 0.0im

-0.004308442685852938 + 0.0im	0.05374230176539171 + 0.0im
0.053742301765391694 + 0.0im	0.004308442685853495 + 0.0im

-0.02412394766349424 + 0.0im	-0.0988500307070165 + 0.0im
-0.0988500307070165 + 0.0im	0.0241239476634948 + 0.0im

0.01925574174417031 + 0.0im	-0.05671712973709387 + 0.0im
-0.05671712973709388 + 0.0im	-0.019255741744149103 + 0.0im

-0.019370363036767674 + 0.0im	0.05785785067250806 + 0.0im
0.05785785067250804 + 0.0im	0.01937036303674613 + 0.0im

0.004309544762170943 + 0.0im	0.10058788734131335 + 0.0im
0.10058788734131331 + 0.0im	-0.004309544762171297 + 0.0im

-0.004418146256220383 + 0.0im	0.09796397290988026 + 0.0im
0.09796397290988026 + 0.0im	0.004418146256222763 + 0.0im

0.004404185752843563 + 0.0im	-0.09846346006026466 + 0.0im
-0.09846346006026466 + 0.0im	-0.004404185752845895 + 0.0im

-0.008793413151666034 + 0.0im	-0.09945038079834842 + 0.0im
-0.09945038079834843 + 0.0im	0.008793413151749661 + 0.0im

0.008776754357513815 + 0.0im	0.0991321080987566 + 0.0im
0.09913210809875658 + 0.0im	-0.008776754357565114 + 0.0im

-0.008851199814185126 + 0.0im	0.09976249971150675 + 0.0im
0.09976249971150676 + 0.0im	0.008851199814179818 + 0.0im

-0.053741957116181266 + 0.0im	0.07245585464551385 + 0.0im
0.07245585464551385 + 0.0im	0.053741957111685605 + 0.0im

0.053700881021553556 + 0.0im	-0.07234333696587848 + 0.0im
-0.07234333696587852 + 0.0im	-0.05370088101715996 + 0.0im

-0.0572860257777753 + 0.0im	-0.08205413940602607 + 0.0im
-0.08205413940602607 + 0.0im	0.05728602577238693 + 0.0im
