0.32103852414543493 + 0.0im	0.10093020015383933 + 0.0im
0.1009302001538393 + 0.0im	-0.321038524145435 + 0.0im

0.03628154804029291 + 0.0im	0.09455034507433571 + 0.0im
0.0945503450743357 + 0.0im	-0.036281548040292794 + 0.0im

-0.027229761196933447 + 0.0im	0.09347928391307647 + 0.0im
0.09347928391307649 + 0.0im	0.027229761196933294 + 0.0im

-0.033207465764077654 + 0.0im	0.12934553385499606 + 0.0im
0.12934553385499606 + 0.0im	0.03320746576407775 + 0.0im

0.08307547596777694 + 0.0im	0.13264090809061926 + 0.0im
0.1326409080906193 + 0.0im	-0.08307547596777692 + 0.0im

0.021294618893599793 + 0.0im	0.048919281033864545 + 0.0im
0.048919281033864545 + 0.0im	-0.021294618893599765 + 0.0im

-0.037245173708746845 + 0.0im	-0.12441606525757029 + 0.0im
-0.12441606525757029 + 0.0im	0.03724517370874686 + 0.0im

-0.07039196744721381 + 0.0im	0.09808456040002725 + 0.0im
0.09808456040002728 + 0.0im	0.07039196744721382 + 0.0im

-0.025674184497094785 + 0.0im	0.0685954511037299 + 0.0im
0.06859545110372993 + 0.0im	0.02567418449709477 + 0.0im

-0.04592453754111731 + 0.0im	-0.13337982842569157 + 0.0im
-0.13337982842569154 + 0.0im	0.04592453754111736 + 0.0im

-0.007819064293714192 + 0.0im	0.0021536441421098843 + 0.0im
0.002153644142109884 + 0.0im	0.007819064293714158 + 0.0im

-0.0029234356970998946 + 0.0im	-0.0511842225742791 + 0.0im
-0.051184222574279084 + 0.0im	0.002923435697099998 + 0.0im

-0.02583079695399209 + 0.0im	-0.12079639597173124 + 0.0im
-0.12079639597173125 + 0.0im	0.025830796953992097 + 0.0im

0.011555471139028155 + 0.0im	-0.07382293210346685 + 0.0im
-0.07382293210346683 + 0.0im	-0.011555471139028224 + 0.0im

-0.02688580881986275 + 0.0im	0.10425256732104868 + 0.0im
0.10425256732104868 + 0.0im	0.026885808819862758 + 0.0im

-0.09040222308456368 + 0.0im	0.03488422073622817 + 0.0im
0.034884220736228176 + 0.0im	0.09040222308456355 + 0.0im

0.07640837620365334 + 0.0im	-0.022636971657058733 + 0.0im
-0.022636971657058726 + 0.0im	-0.07640837620365329 + 0.0im

-0.1022712975545609 + 0.0im	-0.03687535691009228 + 0.0im
-0.03687535691009227 + 0.0im	0.10227129755456102 + 0.0im

-0.044652115647519294 + 0.0im	0.05341372320144768 + 0.0im
0.05341372320144767 + 0.0im	0.044652115647519613 + 0.0im

0.036882811777660035 + 0.0im	-0.05202689000454949 + 0.0im
-0.052026890004549506 + 0.0im	-0.03688281177766032 + 0.0im

-0.08294560575355833 + 0.0im	-0.06349010274568924 + 0.0im
-0.06349010274568925 + 0.0im	0.08294560575355824 + 0.0im

0.037915683631346904 + 0.0im	-0.0010709922894237742 + 0.0im
-0.0010709922894237725 + 0.0im	-0.03791568363135392 + 0.0im

-0.039627607259314995 + 0.0im	-0.001581957775528727 + 0.0im
-0.0015819577755287247 + 0.0im	0.0396276072593221 + 0.0im

-0.022977262266852816 + 0.0im	-0.09924544414491049 + 0.0im
-0.09924544414491052 + 0.0im	0.022977262266852108 + 0.0im

0.021074069310381506 + 0.0im	-0.0879501677829384 + 0.0im
-0.0879501677829384 + 0.0im	-0.021074069310397334 + 0.0im

-0.021216354979360526 + 0.0im	0.08923236121852644 + 0.0im
0.08923236121852646 + 0.0im	0.021216354979376864 + 0.0im

0.004509760981742002 + 0.0im	0.10037829378929357 + 0.0im
0.10037829378929357 + 0.0im	-0.0045097609817423 + 0.0im

-0.004585490343538855 + 0.0im	0.09927552459708283 + 0.0im
0.09927552459708286 + 0.0im	0.00458549034353898 + 0.0im

0.004546340543143873 + 0.0im	-0.10008175680285986 + 0.0im
-0.10008175680285986 + 0.0im	-0.004546340543143346 + 0.0im

-0.009654134005964689 + 0.0im	-0.09602128230640433 + 0.0im
-0.09602128230640435 + 0.0im	0.00965413400581662 + 0.0im

0.009644433574690692 + 0.0im	0.0957013560340273 + 0.0im
0.09570135603402732 + 0.0im	-0.009644433574550457 + 0.0im

-0.009816515699437228 + 0.0im	0.09971381988800497 + 0.0im
0.09971381988800496 + 0.0im	0.009816515699376381 + 0.0im

-0.03395053717591894 + 0.0im	0.015456193337143506 + 0.0im
0.015456193337143497 + 0.0im	0.0339505371098642 + 0.0im

0.03390408159485766 + 0.0im	-0.015334167432918742 + 0.0im
-0.01533416743291874 + 0.0im	-0.03390408152877156 + 0.0im

-0.05891795207163256 + 0.0im	0.08089846055249539 + 0.0im
0.08089846055249535 + 0.0im	0.058917952068249346 + 0.0im
