0.3175108839654628 + 0.0im	6.4459207286052256e-18 - 0.0im
0.0 + 0.0im	-0.31751088396546284 + 0.0im

-0.45735487032193833 + 0.0im	3.1423863551950475e-18 + 0.0im
0.0 + 0.0im	0.4573548703219383 + 0.0im

0.48881555290903134 + 0.0im	-7.852842453994618e-18 + 0.0im
0.0 + 0.0im	-0.48881555290903156 + 0.0im

-0.5885408492030311 + 0.0im	2.101626384991848e-17 + 0.0im
0.0 + 0.0im	0.5885408492030308 + 0.0im

0.5762036034992605 + 0.0im	1.1699854342186837e-17 + 0.0im
0.0 + 0.0im	-0.5762036034992608 + 0.0im

-0.36795811229620723 + 0.0im	1.6494537279679007e-17 + 0.0im
0.0 + 0.0im	0.367958112296207 + 0.0im

-0.23831760658057993 + 0.0im	-1.4999471188215964e-17 + 0.0im
0.0 + 0.0im	-0.23831760658057982 + 0.0im

0.1494121159276535 + 0.0im	-4.631247930319453e-17 + 0.0im
0.0 + 0.0im	0.14941211592765366 + 0.0im

0.136173252012169 + 0.0im	-1.708888971085551e-18 + 0.0im
0.0 + 0.0im	-0.13617325201216895 + 0.0im

-0.10758498724562857 + 0.0im	-2.8278194944084817e-18 + 0.0im
0.0 + 0.0im	-0.10758498724562861 + 0.0im

0.05130648825747833 + 0.0im	2.439814877094968e-17 + 0.0im
0.0 + 0.0im	0.051306488257478335 + 0.0im

-0.13179180465852441 + 0.0im	-5.773800084958938e-18 + 0.0im
0.0 + 0.0im	-0.13179180465852447 + 0.0im

0.028447738678004486 + 0.0im	1.503483481376383e-20 + 0.0im
0.0 + 0.0im	0.028447738678004503 + 0.0im

0.0479878415858842 + 0.0im	-5.552184502221691e-17 + 0.0im
0.0 + 0.0im	-0.04798784158588424 + 0.0im

-0.06533639090297667 + 0.0im	7.765852170311602e-17 + 0.0im
0.0 + 0.0im	-0.0653363909029767 + 0.0im

0.011599301998414585 + 0.0im	-3.3898787944709134e-17 + 0.0im
0.0 + 0.0im	0.011599301998414609 + 0.0im

-0.05401941542999044 + 0.0im	1.264505840802791e-16 + 0.0im
0.0 + 0.0im	-0.054019415429990385 + 0.0im

0.024693110899113857 + 0.0im	-1.1431323722083542e-16 + 0.0im
0.0 + 0.0im	-0.02469311089911396 + 0.0im

0.005298255510671388 + 0.0im	6.829264547126472e-16 + 0.0im
0.0 + 0.0im	0.00529825551067129 + 0.0im

-0.07029502169384552 + 0.0im	5.721347569700216e-16 + 0.0im
0.0 + 0.0im	-0.07029502169384425 + 0.0im

0.007483030244653481 + 0.0im	6.722781917744766e-16 + 0.0im
0.0 + 0.0im	-0.007483030244653498 + 0.0im

0.0027023788992471143 + 0.0im	-1.4407600563574917e-15 + 0.0im
0.0 + 0.0im	0.002702378899244926 + 0.0im

-0.09603681640712043 + 0.0im	1.0778629779082533e-15 + 0.0im
0.0 + 0.0im	-0.09603681640711871 + 0.0im

0.0017561261875802096 + 0.0im	-9.10286403139936e-16 + 0.0im
0.0 + 0.0im	0.001756126187578788 + 0.0im

0.002680834772945969 + 0.0im	-3.2877827369648003e-16 + 0.0im
0.0 + 0.0im	-0.002680834772941232 + 0.0im

-0.0539341209183321 + 0.0im	-6.492290700269715e-15 + 0.0im
0.0 + 0.0im	-0.05393412091832419 + 0.0im

0.0005015887515546957 + 0.0im	2.1665283787510774e-15 + 0.0im
0.0 + 0.0im	0.0005015887515307382 + 0.0im

0.005685350959500935 + 0.0im	-1.977502970994591e-15 + 0.0im
0.0 + 0.0im	-0.005685350959350746 + 0.0im

-0.010668862346230948 + 0.0im	3.195896645198301e-14 + 0.0im
0.0 + 0.0im	-0.010668862345981245 + 0.0im

0.0001935847970052217 + 0.0im	-5.0871039312903594e-14 + 0.0im
0.0 + 0.0im	0.0001935847949070676 + 0.0im

-0.019387446172591728 + 0.0im	4.680339656012696e-13 + 0.0im
0.0 + 0.0im	-0.019387446171329616 + 0.0im

0.0012478622969521384 + 0.0im	-3.9045427047829095e-14 + 0.0im
0.0 + 0.0im	-0.0012478622952122275 + 0.0im

8.932344757125484e-5 + 0.0im	3.484183325957504e-11 + 0.0im
0.0 + 0.0im	8.932335412542977e-5 + 0.0im

-0.07866970218914847 + 0.0im	-4.043207226813415e-11 + 0.0im
0.0 + 0.0im	-0.07866970212616052 + 0.0im

0.00010941671271511583 + 0.0im	1.6331104057839985e-11 + 0.0im
0.0 + 0.0im	0.00010941666904041084 + 0.0im
