8.326672684688674e-17 + 0.0im	0.09431112339906744 + 0.0im
0.09431112339906741 + 0.0im	5.551115123125783e-17 + 0.0im

1.3877787807814457e-17 + 0.0im	-0.10950407383941022 + 0.0im
-0.10950407383941022 + 0.0im	-7.632783294297951e-17 + 0.0im

-6.938893903907228e-17 + 0.0im	0.15565121081293842 + 0.0im
0.15565121081293837 + 0.0im	-6.245004513516506e-17 + 0.0im

6.938893903907228e-18 + 0.0im	0.02892964994167299 + 0.0im
0.02892964994167295 + 0.0im	-2.7755575615628914e-17 + 0.0im

-1.3877787807814457e-17 + 0.0im	-0.05182238894191177 + 0.0im
-0.05182238894191174 + 0.0im	8.326672684688674e-17 + 0.0im

1.3877787807814457e-17 + 0.0im	-0.28583113380215064 + 0.0im
-0.28583113380215064 + 0.0im	1.249000902703301e-16 + 0.0im

4.163336342344337e-17 + 0.0im	-0.08709748186797972 + 0.0im
-0.08709748186797972 + 0.0im	2.7755575615628914e-17 + 0.0im

-3.122502256758253e-17 + 0.0im	-0.112727821931766 + 0.0im
-0.112727821931766 + 0.0im	-6.938893903907228e-17 + 0.0im

-4.163336342344337e-17 + 0.0im	-0.17191665530370714 + 0.0im
-0.17191665530370714 + 0.0im	-2.7755575615628914e-17 + 0.0im

-2.0816681711721685e-17 + 0.0im	-0.02494981237821458 + 0.0im
-0.02494981237821458 + 0.0im	-7.632783294297951e-17 + 0.0im

-5.551115123125783e-17 + 0.0im	0.14304167385646266 + 0.0im
0.1430416738564627 + 0.0im	1.3877787807814457e-17 + 0.0im

-1.249000902703301e-16 + 0.0im	0.08905223259765319 + 0.0im
0.08905223259765319 + 0.0im	-4.163336342344337e-17 + 0.0im

-6.938893903907228e-18 + 0.0im	-0.030408566298679378 + 0.0im
-0.030408566298679388 + 0.0im	5.898059818321144e-17 + 0.0im

-2.220446049250313e-16 + 0.0im	-0.1307468286123194 + 0.0im
-0.1307468286123194 + 0.0im	2.636779683484747e-16 + 0.0im

-1.1032841307212493e-15 + 0.0im	-0.01727975136776969 + 0.0im
-0.01727975136776969 + 0.0im	1.1171619185290638e-15 + 0.0im

7.599715128037143e-16 + 0.0im	-0.007852770436626433 + 0.0im
-0.007852770436626442 + 0.0im	-7.95153873300869e-16 + 0.0im

-3.0808688933348094e-15 + 0.0im	-0.11529074635953342 + 0.0im
-0.11529074635953342 + 0.0im	3.0253577421035516e-15 + 0.0im

2.5673907444456745e-16 + 0.0im	-0.05219356205236108 + 0.0im
-0.05219356205236109 + 0.0im	2.2898349882893854e-16 + 0.0im

-7.91033905045424e-16 + 0.0im	0.06350388818141744 + 0.0im
0.06350388818141744 + 0.0im	2.671474153004283e-16 + 0.0im

-1.0845491171806998e-14 + 0.0im	0.1062489829132437 + 0.0im
0.10624898291324371 + 0.0im	1.0873246747422627e-14 + 0.0im

6.779299344117362e-15 + 0.0im	0.09028418296021473 + 0.0im
0.09028418296021473 + 0.0im	-6.654399253847032e-15 + 0.0im

-9.429956815409923e-15 + 0.0im	-0.09569640009194597 + 0.0im
-0.095696400091946 + 0.0im	9.256484467812243e-15 + 0.0im

-2.950140132185197e-13 + 0.0im	-0.10108320656507018 + 0.0im
-0.10108320656507014 + 0.0im	2.945005350696306e-13 + 0.0im

1.8664236822729663e-13 + 0.0im	0.09738087602250388 + 0.0im
0.09738087602250389 + 0.0im	-1.8635787357723643e-13 + 0.0im

-4.636221961895615e-13 + 0.0im	0.10118457482817421 + 0.0im
0.10118457482817424 + 0.0im	4.638234241127748e-13 + 0.0im

-3.6693155458511484e-11 + 0.0im	0.09267625469379989 + 0.0im
0.09267625469379989 + 0.0im	3.669412690365803e-11 + 0.0im

3.6023760363601554e-11 + 0.0im	-0.09143178158775106 + 0.0im
-0.09143178158775106 + 0.0im	-3.602471099206639e-11 + 0.0im

-5.0799815742852417e-11 + 0.0im	-0.10075188329207038 + 0.0im
-0.10075188329207038 + 0.0im	5.079980880395851e-11 + 0.0im

-2.7515004372147267e-9 + 0.0im	-0.03601894109982344 + 0.0im
-0.03601894109982344 + 0.0im	2.751386965482716e-9 + 0.0im

2.740064486937699e-9 + 0.0im	0.03552660445808911 + 0.0im
0.03552660445808909 + 0.0im	-2.7399510047973474e-9 + 0.0im

-4.771839645645315e-9 + 0.0im	-0.10031102741969046 + 0.0im
-0.10031102741969045 + 0.0im	4.771839666461997e-9 + 0.0im

-3.2293680007899894e-8 + 0.0im	-0.08495573533748622 + 0.0im
-0.08495573533748621 + 0.0im	3.229367536577987e-8 + 0.0im

3.180041722311566e-8 + 0.0im	0.08515350208405552 + 0.0im
0.08515350208405548 + 0.0im	-3.180041258099564e-8 + 0.0im

-5.203597849626207e-7 + 0.0im	0.10011484481098151 + 0.0im
0.10011484481098151 + 0.0im	5.203597905970025e-7 + 0.0im

4.5620689752279286e-7 + 0.0im	0.09974289028346726 + 0.0im
0.09974289028346728 + 0.0im	-4.5620685403674477e-7 + 0.0im
