2.7755575615628914e-17 + 0.0im	0.09184600778584605 + 0.0im
0.09184600778584602 + 0.0im	-1.3877787807814457e-17 + 0.0im

1.3877787807814457e-17 + 0.0im	-0.14194619403521289 + 0.0im
-0.14194619403521289 + 0.0im	2.7755575615628914e-17 + 0.0im

-1.3877787807814457e-17 + 0.0im	0.013682164545863896 + 0.0im
0.013682164545863884 + 0.0im	0.0 + 0.0im

-2.0816681711721685e-17 + 0.0im	-0.19637237567076343 + 0.0im
-0.19637237567076343 + 0.0im	-8.326672684688674e-17 + 0.0im

0.0 + 0.0im	-0.05775918409821204 + 0.0im
-0.05775918409821204 + 0.0im	6.938893903907228e-17 + 0.0im

3.122502256758253e-17 + 0.0im	-0.11914661747772268 + 0.0im
-0.11914661747772268 + 0.0im	-2.42861286636753e-17 + 0.0im

-9.71445146547012e-17 + 0.0im	-0.16044508758977874 + 0.0im
-0.16044508758977877 + 0.0im	-4.163336342344337e-17 + 0.0im

-5.551115123125783e-17 + 0.0im	-0.018601555778152694 + 0.0im
-0.018601555778152694 + 0.0im	3.469446951953614e-17 + 0.0im

-1.6653345369377348e-16 + 0.0im	0.15456763841980659 + 0.0im
0.15456763841980659 + 0.0im	-2.7755575615628914e-17 + 0.0im

-3.608224830031759e-16 + 0.0im	0.06210947183850664 + 0.0im
0.06210947183850664 + 0.0im	3.7470027081099033e-16 + 0.0im

1.8778381627448937e-16 + 0.0im	-0.001667753013566909 + 0.0im
-0.001667753013566908 + 0.0im	-2.0209528495129803e-16 + 0.0im

-8.604228440844963e-16 + 0.0im	0.13383634100448755 + 0.0im
0.13383634100448755 + 0.0im	9.298117831235686e-16 + 0.0im

-3.677613769070831e-16 + 0.0im	0.019995571538937773 + 0.0im
0.019995571538937783 + 0.0im	5.48172618408671e-16 + 0.0im

5.117434254131581e-17 + 0.0im	-0.047324829012945276 + 0.0im
-0.04732482901294528 + 0.0im	-1.8474805019152996e-16 + 0.0im

-2.095545958979983e-15 + 0.0im	-0.11538350669951572 + 0.0im
-0.11538350669951572 + 0.0im	2.0539125955565396e-15 + 0.0im

2.6645352591003757e-15 + 0.0im	-0.07563751729703755 + 0.0im
-0.07563751729703755 + 0.0im	-2.55351295663786e-15 + 0.0im

-2.192690473634684e-15 + 0.0im	0.08879771828984828 + 0.0im
0.08879771828984828 + 0.0im	2.1996293675385914e-15 + 0.0im

1.264266469291897e-14 + 0.0im	0.10483823282146695 + 0.0im
0.10483823282146698 + 0.0im	-1.2635725799015063e-14 + 0.0im

-9.103828801926284e-15 + 0.0im	0.09406624846326715 + 0.0im
0.09406624846326717 + 0.0im	9.06219543850284e-15 + 0.0im

1.4474532683550478e-14 + 0.0im	-0.10169687882765713 + 0.0im
-0.10169687882765716 + 0.0im	-1.4377388168895777e-14 + 0.0im

2.4733687320477316e-13 + 0.0im	-0.0961268065819047 + 0.0im
-0.0961268065819047 + 0.0im	-2.47496467764563e-13 + 0.0im

-2.453731662299674e-13 + 0.0im	0.09272714004401753 + 0.0im
0.09272714004401748 + 0.0im	2.455605163653729e-13 + 0.0im

2.3246682356869997e-13 + 0.0im	0.10183342155312432 + 0.0im
0.10183342155312428 + 0.0im	-2.324113124174687e-13 + 0.0im

-5.162766048005807e-12 + 0.0im	0.06825058653103838 + 0.0im
0.06825058653103838 + 0.0im	5.155285920377395e-12 + 0.0im

5.0747531177286476e-12 + 0.0im	-0.06693752037616388 + 0.0im
-0.06693752037616385 + 0.0im	-5.067234826183764e-12 + 0.0im

-1.0791700866263909e-11 + 0.0im	-0.10082761803274327 + 0.0im
-0.10082761803274332 + 0.0im	1.0791693927370005e-11 + 0.0im

-4.0317667954203884e-10 + 0.0im	0.0416182262363365 + 0.0im
0.041618226236336486 + 0.0im	4.0310917104324773e-10 + 0.0im

3.9918224802037994e-10 + 0.0im	-0.042147363769770865 + 0.0im
-0.042147363769770886 + 0.0im	-3.9911471697018364e-10 + 0.0im

-1.6799018218160988e-9 + 0.0im	-0.10032906854796514 + 0.0im
-0.10032906854796514 + 0.0im	1.6799018009994171e-9 + 0.0im

-8.060211595384281e-10 + 0.0im	-0.09728978987650241 + 0.0im
-0.09728978987650244 + 0.0im	8.060131589937569e-10 + 0.0im

6.06781729028949e-10 + 0.0im	0.0975075802408834 + 0.0im
0.09750758024088338 + 0.0im	-6.067736174619753e-10 + 0.0im

-2.016886660738404e-7 + 0.0im	0.10005705207518398 + 0.0im
0.10005705207518395 + 0.0im	2.0168866235459326e-7 + 0.0im

1.9548627212817582e-7 + 0.0im	-0.09988705488968336 + 0.0im
-0.09988705488968339 + 0.0im	-1.9548627024079668e-7 + 0.0im

-2.099907554301006e-7 + 0.0im	-0.10004816947043099 + 0.0im
-0.10004816947043096 + 0.0im	2.099907572550297e-7 + 0.0im

-3.6166804442433476e-5 + 0.0im	-0.09769092365043892 + 0.0im
-0.09769092365043892 + 0.0im	3.616682406658994e-5 + 0.0im
