0.0 + 0.0im	0.10446153689425455 + 0.0im
0.10446153689425453 + 0.0im	5.551115123125783e-17 + 0.0im

-6.245004513516506e-17 + 0.0im	0.07575346717167353 + 0.0im
0.07575346717167353 + 0.0im	-2.0816681711721685e-17 + 0.0im

-4.163336342344337e-17 + 0.0im	0.10202102856574594 + 0.0im
0.10202102856574596 + 0.0im	-4.163336342344337e-17 + 0.0im

-6.938893903907228e-17 + 0.0im	0.1964970232244681 + 0.0im
0.19649702322446813 + 0.0im	0.0 + 0.0im

-2.7755575615628914e-17 + 0.0im	-0.04627728172344445 + 0.0im
-0.04627728172344445 + 0.0im	-2.7755575615628914e-17 + 0.0im

-2.0816681711721685e-17 + 0.0im	-0.19875143714024399 + 0.0im
-0.198751437140244 + 0.0im	8.326672684688674e-17 + 0.0im

-1.1102230246251565e-16 + 0.0im	-0.10781748207138618 + 0.0im
-0.1078174820713862 + 0.0im	1.249000902703301e-16 + 0.0im

-3.122502256758253e-17 + 0.0im	-0.05459000297319017 + 0.0im
-0.05459000297319017 + 0.0im	-1.3877787807814457e-17 + 0.0im

-1.942890293094024e-16 + 0.0im	-0.17795451872492615 + 0.0im
-0.17795451872492615 + 0.0im	1.8041124150158794e-16 + 0.0im

-2.7755575615628914e-17 + 0.0im	-0.01927824779658855 + 0.0im
-0.01927824779658855 + 0.0im	2.7755575615628914e-17 + 0.0im

-9.020562075079397e-17 + 0.0im	0.10378022636739967 + 0.0im
0.10378022636739967 + 0.0im	1.0755285551056204e-16 + 0.0im

-2.7755575615628914e-17 + 0.0im	0.1252296328631589 + 0.0im
0.12522963286315886 + 0.0im	8.326672684688674e-17 + 0.0im

6.245004513516506e-17 + 0.0im	0.06485704608213244 + 0.0im
0.06485704608213246 + 0.0im	-2.7755575615628914e-17 + 0.0im

3.469446951953614e-17 + 0.0im	-0.11814019433258365 + 0.0im
-0.11814019433258365 + 0.0im	-7.632783294297951e-17 + 0.0im

1.4363510381087963e-15 + 0.0im	-0.08603072654880883 + 0.0im
-0.08603072654880883 + 0.0im	-1.4918621893400541e-15 + 0.0im

-1.2351231148954867e-15 + 0.0im	0.06293002667326529 + 0.0im
0.06293002667326528 + 0.0im	1.2871648191747909e-15 + 0.0im

1.7069679003611782e-15 + 0.0im	0.11255204630372187 + 0.0im
0.11255204630372188 + 0.0im	-1.6930901125533637e-15 + 0.0im

-1.6167622796103842e-15 + 0.0im	0.038017522950708524 + 0.0im
0.03801752295070853 + 0.0im	1.582067810090848e-15 + 0.0im

1.371298907759666e-15 + 0.0im	-0.02845143428797317 + 0.0im
-0.028451434287973174 + 0.0im	-1.2932363513407097e-15 + 0.0im

-1.1296519275560968e-14 + 0.0im	0.10603012322079333 + 0.0im
0.10603012322079336 + 0.0im	1.1303458169464875e-14 + 0.0im

-1.548483563595937e-13 + 0.0im	0.039608112182771035 + 0.0im
0.039608112182771035 + 0.0im	1.5133033715031274e-13 + 0.0im

1.4185527752452742e-13 + 0.0im	-0.04367157556189226 + 0.0im
-0.043671575561892245 + 0.0im	-1.3828695133444313e-13 + 0.0im

-7.934347623361759e-13 + 0.0im	-0.10248569435075719 + 0.0im
-0.10248569435075719 + 0.0im	7.934555790178877e-13 + 0.0im

-3.4704877860392003e-13 + 0.0im	-0.09108203404163408 + 0.0im
-0.09108203404163409 + 0.0im	3.4622998912325897e-13 + 0.0im

1.2503192925450435e-13 + 0.0im	0.09284888858651016 + 0.0im
0.09284888858651019 + 0.0im	-1.2413681194090032e-13 + 0.0im

-2.7835747595794658e-11 + 0.0im	0.1006674614299813 + 0.0im
0.10066746142998131 + 0.0im	2.7835338201054327e-11 + 0.0im

2.6635860184143212e-11 + 0.0im	0.09916284936501288 + 0.0im
0.09916284936501288 + 0.0im	-2.6635825489673692e-11 + 0.0im

-2.8071656110739696e-11 + 0.0im	-0.10022953480732025 + 0.0im
-0.10022953480732023 + 0.0im	2.8072086322161738e-11 + 0.0im

-2.016000977267396e-10 + 0.0im	-0.09732720621397403 + 0.0im
-0.09732720621397403 + 0.0im	2.0162665981260375e-10 + 0.0im

2.073979321615127e-10 + 0.0im	0.09689144198234806 + 0.0im
0.0968914419823481 + 0.0im	-2.0742448730848295e-10 + 0.0im

-3.1402838662764054e-11 + 0.0im	0.10026152835823429 + 0.0im
0.10026152835823425 + 0.0im	3.1402803968294535e-11 + 0.0im

1.1462777366189059e-7 + 0.0im	0.05324701592946377 + 0.0im
0.05324701592946375 + 0.0im	-1.1462758894853486e-7 + 0.0im

-1.1448848594684813e-7 + 0.0im	-0.05307632161814981 + 0.0im
-0.05307632161814982 + 0.0im	1.1448830131849386e-7 + 0.0im

1.6216631465448827e-7 + 0.0im	0.10010767643720733 + 0.0im
0.10010767643720737 + 0.0im	-1.6216631289894812e-7 + 0.0im

1.1315823024576899e-6 + 0.0im	0.08764810922122446 + 0.0im
0.08764810922122446 + 0.0im	-1.1315828953445406e-6 + 0.0im
