8.326672684688674e-17 + 0.0im	0.0965306785050635 + 0.0im
0.09653067850506353 + 0.0im	1.1102230246251565e-16 + 0.0im

-3.122502256758253e-17 + 0.0im	-0.09619397521068396 + 0.0im
-0.09619397521068401 + 0.0im	-2.2551405187698492e-17 + 0.0im

6.938893903907228e-18 + 0.0im	0.16203585532591872 + 0.0im
0.16203585532591872 + 0.0im	-1.249000902703301e-16 + 0.0im

-2.7755575615628914e-17 + 0.0im	0.09187822045630228 + 0.0im
0.09187822045630228 + 0.0im	-1.3877787807814457e-17 + 0.0im

1.3877787807814457e-17 + 0.0im	-0.06235425917617424 + 0.0im
-0.06235425917617428 + 0.0im	-1.3877787807814457e-17 + 0.0im

4.163336342344337e-17 + 0.0im	-0.255626756956232 + 0.0im
-0.255626756956232 + 0.0im	1.1102230246251565e-16 + 0.0im

5.551115123125783e-17 + 0.0im	-0.08759937051335706 + 0.0im
-0.08759937051335709 + 0.0im	1.3877787807814457e-17 + 0.0im

7.632783294297951e-17 + 0.0im	-0.1006050278575858 + 0.0im
-0.1006050278575858 + 0.0im	4.85722573273506e-17 + 0.0im

1.3877787807814457e-16 + 0.0im	-0.1745474726302693 + 0.0im
-0.17454747263026932 + 0.0im	-1.3877787807814457e-16 + 0.0im

2.0816681711721685e-17 + 0.0im	-0.0267417447904634 + 0.0im
-0.026741744790463408 + 0.0im	8.326672684688674e-17 + 0.0im

1.457167719820518e-16 + 0.0im	0.13655735635439709 + 0.0im
0.13655735635439709 + 0.0im	-1.3877787807814457e-16 + 0.0im

3.191891195797325e-16 + 0.0im	0.09871604390230405 + 0.0im
0.09871604390230404 + 0.0im	-3.469446951953614e-16 + 0.0im

-1.457167719820518e-16 + 0.0im	-0.04052894487898005 + 0.0im
-0.04052894487898004 + 0.0im	2.463307335887066e-16 + 0.0im

4.85722573273506e-16 + 0.0im	-0.12894803153017992 + 0.0im
-0.12894803153017995 + 0.0im	-5.204170427930421e-16 + 0.0im

5.967448757360216e-16 + 0.0im	-0.033330860286954526 + 0.0im
-0.03333086028695452 + 0.0im	-6.661338147750939e-16 + 0.0im

-3.710139834245396e-16 + 0.0im	0.0088571242915262 + 0.0im
0.008857124291526205 + 0.0im	4.436555289810684e-16 + 0.0im

1.4641066137244252e-15 + 0.0im	-0.1149639318676385 + 0.0im
-0.1149639318676385 + 0.0im	-1.394717674685353e-15 + 0.0im

3.191891195797325e-16 + 0.0im	-0.03776780210267175 + 0.0im
-0.03776780210267175 + 0.0im	2.220446049250313e-16 + 0.0im

3.8163916471489756e-17 + 0.0im	0.048591164717935315 + 0.0im
0.0485911647179353 + 0.0im	-5.412337245047638e-16 + 0.0im

6.473988012345444e-15 + 0.0im	0.10638100943066695 + 0.0im
0.10638100943066692 + 0.0im	-6.480926906249351e-15 + 0.0im

1.329492071988625e-14 + 0.0im	0.0861385949467019 + 0.0im
0.08613859494670188 + 0.0im	-1.2281842209915794e-14 + 0.0im

-4.128641872824801e-15 + 0.0im	-0.0911020578500869 + 0.0im
-0.09110205785008692 + 0.0im	3.066991105526995e-15 + 0.0im

3.977027041024428e-13 + 0.0im	-0.10180257214091103 + 0.0im
-0.10180257214091103 + 0.0im	-3.9757780401217246e-13 + 0.0im

-3.0291741337507005e-13 + 0.0im	-0.09771800834156308 + 0.0im
-0.09771800834156308 + 0.0im	3.029521078445896e-13 + 0.0im

4.4143855237877005e-13 + 0.0im	0.1006693374967571 + 0.0im
0.1006693374967571 + 0.0im	-4.415842691507521e-13 + 0.0im

1.4835840889126928e-11 + 0.0im	0.09644635883406333 + 0.0im
0.09644635883406336 + 0.0im	-1.4835306594296327e-11 + 0.0im

-1.4622962563048958e-11 + 0.0im	-0.0952160324908404 + 0.0im
-0.09521603249084042 + 0.0im	1.4622421329324453e-11 + 0.0im

1.714197533919659e-11 + 0.0im	-0.10071074395700877 + 0.0im
-0.10071074395700878 + 0.0im	-1.714202391145392e-11 + 0.0im

6.731735099907432e-10 + 0.0im	-0.06125664763920435 + 0.0im
-0.061256647639204354 + 0.0im	-6.730784748998353e-10 + 0.0im

-6.701089336202948e-10 + 0.0im	0.060777822819361185 + 0.0im
0.060777822819361185 + 0.0im	6.700139054682808e-10 + 0.0im

1.176017179471689e-9 + 0.0im	-0.10030236723659397 + 0.0im
-0.10030236723659396 + 0.0im	-1.1760171655939011e-9 + 0.0im

3.728423043219964e-8 + 0.0im	-0.07124654669843308 + 0.0im
-0.07124654669843308 + 0.0im	-3.7284016034255796e-8 + 0.0im

-3.7017007226830545e-8 + 0.0im	0.07143826314169827 + 0.0im
0.0714382631416983 + 0.0im	3.701679271439495e-8 + 0.0im

3.0821368442873753e-7 + 0.0im	0.10011683794236709 + 0.0im
0.10011683794236709 + 0.0im	-3.0821367576899794e-7 + 0.0im

-1.0255121307006787e-7 + 0.0im	0.09945638949818356 + 0.0im
0.09945638949818357 + 0.0im	1.0255139148290793e-7 + 0.0im
