8.326672684688674e-17 + 0.0im	0.09767748922034081 + 0.0im
0.09767748922034082 + 0.0im	8.326672684688674e-17 + 0.0im

3.209238430557093e-17 + 0.0im	-0.0906724711723029 + 0.0im
-0.09067247117230293 + 0.0im	-5.2909066017292616e-17 + 0.0im

-3.469446951953614e-17 + 0.0im	0.15909786625424782 + 0.0im
0.15909786625424782 + 0.0im	-5.551115123125783e-17 + 0.0im

0.0 + 0.0im	0.11618331844907936 + 0.0im
0.11618331844907938 + 0.0im	8.326672684688674e-17 + 0.0im

9.71445146547012e-17 + 0.0im	-0.0617670313260187 + 0.0im
-0.061767031326018726 + 0.0im	9.71445146547012e-17 + 0.0im

5.551115123125783e-17 + 0.0im	-0.24489640175561883 + 0.0im
-0.24489640175561886 + 0.0im	1.5265566588595902e-16 + 0.0im

-1.3877787807814457e-17 + 0.0im	-0.08907063648071321 + 0.0im
-0.08907063648071324 + 0.0im	0.0 + 0.0im

3.122502256758253e-17 + 0.0im	-0.09467419241899436 + 0.0im
-0.09467419241899439 + 0.0im	-5.551115123125783e-17 + 0.0im

4.163336342344337e-17 + 0.0im	-0.17558947908142025 + 0.0im
-0.17558947908142025 + 0.0im	-1.942890293094024e-16 + 0.0im

0.0 + 0.0im	-0.027099005004196118 + 0.0im
-0.027099005004196118 + 0.0im	8.326672684688674e-17 + 0.0im

9.71445146547012e-17 + 0.0im	0.13308196024160274 + 0.0im
0.13308196024160274 + 0.0im	-1.1796119636642288e-16 + 0.0im

3.7470027081099033e-16 + 0.0im	0.10311695539129041 + 0.0im
0.10311695539129041 + 0.0im	-2.220446049250313e-16 + 0.0im

-1.457167719820518e-16 + 0.0im	-0.04503083785307552 + 0.0im
-0.045030837853075524 + 0.0im	5.551115123125783e-17 + 0.0im

5.898059818321144e-16 + 0.0im	-0.12793744486162725 + 0.0im
-0.12793744486162725 + 0.0im	-6.661338147750939e-16 + 0.0im

2.0816681711721685e-15 + 0.0im	-0.041192148675736555 + 0.0im
-0.041192148675736555 + 0.0im	-1.9290125052862095e-15 + 0.0im

-1.6258695778592624e-15 + 0.0im	0.017000443619326875 + 0.0im
0.01700044361932688 + 0.0im	1.401222887720266e-15 + 0.0im

4.093947403305265e-15 + 0.0im	-0.1147567671360423 + 0.0im
-0.1147567671360423 + 0.0im	-4.128641872824801e-15 + 0.0im

1.0200174038743626e-15 + 0.0im	-0.02948988617614451 + 0.0im
-0.02948988617614451 + 0.0im	-4.996003610813204e-16 + 0.0im

-4.2413988987632933e-16 + 0.0im	0.040104875628185044 + 0.0im
0.04010487562818505 + 0.0im	-8.847089727481716e-17 + 0.0im

4.191091917959966e-15 + 0.0im	0.10639739582050997 + 0.0im
0.10639739582050997 + 0.0im	-4.1494585545365226e-15 + 0.0im

-1.8242352073372103e-14 + 0.0im	0.08326077061289618 + 0.0im
0.08326077061289619 + 0.0im	1.797173521111972e-14 + 0.0im

1.4051260155412137e-14 + 0.0im	-0.08805105967758514 + 0.0im
-0.08805105967758513 + 0.0im	-1.3683498778505054e-14 + 0.0im

-1.3951340083195873e-13 + 0.0im	-0.10202927766331141 + 0.0im
-0.10202927766331138 + 0.0im	1.3941625631730403e-13 + 0.0im

1.864272625162755e-13 + 0.0im	-0.0976495560468027 + 0.0im
-0.09764955604680273 + 0.0im	-1.8647583477360286e-13 + 0.0im

-1.1372847108503947e-13 + 0.0im	0.10030891278862084 + 0.0im
0.10030891278862081 + 0.0im	1.1388112675092543e-13 + 0.0im

1.3880195603999113e-11 + 0.0im	0.0976615481894606 + 0.0im
0.09766154818946063 + 0.0im	-1.3877440863119261e-11 + 0.0im

-1.326046911165335e-11 + 0.0im	-0.09643296962562278 + 0.0im
-0.09643296962562274 + 0.0im	1.3257790698606442e-11 + 0.0im

1.996613291366245e-11 + 0.0im	-0.10068537820517545 + 0.0im
-0.10068537820517545 + 0.0im	-1.9966167608131968e-11 + 0.0im

1.7855058334625973e-9 + 0.0im	-0.07079314204757936 + 0.0im
-0.07079314204757937 + 0.0im	-1.785646665253271e-9 + 0.0im

-1.7791119619192663e-9 + 0.0im	0.0703208126163197 + 0.0im
0.0703208126163197 + 0.0im	1.7792527798321522e-9 + 0.0im

2.5070721262898665e-9 + 0.0im	0.10029791920832945 + 0.0im
0.10029791920832945 + 0.0im	-2.5070720499620336e-9 + 0.0im

6.103051541916926e-8 + 0.0im	-0.06104546224517798 + 0.0im
-0.06104546224517801 + 0.0im	-6.103029578929942e-8 + 0.0im

-6.070950364298056e-8 + 0.0im	0.06123432776552503 + 0.0im
0.06123432776552503 + 0.0im	6.07092840200496e-8 + 0.0im

3.7191384202883704e-7 + 0.0im	0.10011655717636214 + 0.0im
0.10011655717636214 + 0.0im	-3.7191383892021257e-7 + 0.0im

-6.336682227547907e-9 + 0.0im	0.09919913764983108 + 0.0im
0.09919913764983107 + 0.0im	6.336698596398627e-9 + 0.0im
