0.31751088396756116 + 0.0im	1.9917873875566466e-17 - 0.0im
0.0 + 0.0im	-0.3175108839675613 + 0.0im

-0.5929103310452231 + 0.0im	8.637300842270507e-18 + 0.0im
0.0 + 0.0im	0.5929103310452228 + 0.0im

0.5499523720665354 + 0.0im	-1.1934905985049905e-17 + 0.0im
0.0 + 0.0im	-0.5499523720665352 + 0.0im

-0.4809307237162326 + 0.0im	-3.523402950693713e-17 + 0.0im
0.0 + 0.0im	-0.4809307237162328 + 0.0im

0.35115899404125744 + 0.0im	3.33663218582414e-17 + 0.0im
0.0 + 0.0im	0.3511589940412575 + 0.0im

-0.30105477562958893 + 0.0im	1.0418717009464708e-17 + 0.0im
0.0 + 0.0im	-0.30105477562958893 + 0.0im

0.1566427339517576 + 0.0im	-1.4971307342719758e-18 + 0.0im
0.0 + 0.0im	0.15664273395175765 + 0.0im

-0.20860986566122855 + 0.0im	4.150673199782885e-18 + 0.0im
0.0 + 0.0im	-0.20860986566122855 + 0.0im

0.1000596467230026 + 0.0im	4.892462303340839e-18 + 0.0im
0.0 + 0.0im	0.1000596467230027 + 0.0im

0.08145347493381536 + 0.0im	-9.85734592367192e-19 + 0.0im
0.0 + 0.0im	-0.08145347493381534 + 0.0im

-0.13293185586867823 + 0.0im	-8.514798702273854e-18 + 0.0im
0.0 + 0.0im	-0.13293185586867826 + 0.0im

0.034973430040864464 + 0.0im	3.7836961753849596e-18 + 0.0im
0.0 + 0.0im	0.03497343004086453 + 0.0im

0.06452622119657411 + 0.0im	-7.133997355395416e-17 + 0.0im
0.0 + 0.0im	-0.06452622119657417 + 0.0im

-0.06696048415565709 + 0.0im	4.555682003512529e-17 + 0.0im
0.0 + 0.0im	-0.06696048415565714 + 0.0im

0.01413506827461571 + 0.0im	-9.888474384483516e-18 + 0.0im
0.0 + 0.0im	0.014135068274615852 + 0.0im

-0.06846399310426764 + 0.0im	9.404013890301419e-17 + 0.0im
0.0 + 0.0im	-0.06846399310426775 + 0.0im

0.025620039837976637 + 0.0im	2.9081182178081894e-17 + 0.0im
0.0 + 0.0im	-0.025620039837976748 + 0.0im

0.006435303375489424 + 0.0im	-5.3585421825675175e-18 + 0.0im
0.0 + 0.0im	0.006435303375489844 + 0.0im

-0.08696306292161866 + 0.0im	2.1065370585035548e-16 + 0.0im
0.0 + 0.0im	-0.08696306292161908 + 0.0im

0.007804494620154345 + 0.0im	2.4790113267291608e-17 + 0.0im
0.0 + 0.0im	-0.007804494620154634 + 0.0im

0.003555253356714738 + 0.0im	4.236604692281834e-17 + 0.0im
0.0 + 0.0im	0.0035552533567141846 + 0.0im

-0.10163645151426898 + 0.0im	1.8134636587535669e-16 + 0.0im
0.0 + 0.0im	-0.10163645151426659 + 0.0im

0.002103245531439975 + 0.0im	-2.8672488781031694e-17 + 0.0im
0.0 + 0.0im	0.002103245531434847 + 0.0im

0.0032856832525362716 + 0.0im	-1.153891808220852e-16 + 0.0im
0.0 + 0.0im	-0.003285683252446079 + 0.0im

-0.05823081568064078 + 0.0im	1.8126369545970467e-15 + 0.0im
0.0 + 0.0im	-0.05823081568048819 + 0.0im

0.0006661255862323355 + 0.0im	-6.820944566002067e-18 + 0.0im
0.0 + 0.0im	0.0006661255859600781 + 0.0im

0.00551677150639121 + 0.0im	2.6275724353480925e-15 + 0.0im
0.0 + 0.0im	-0.00551677150539098 + 0.0im

-0.014648473475420741 + 0.0im	-6.87218158898148e-15 + 0.0im
0.0 + 0.0im	-0.014648473473783936 + 0.0im

0.0002573425904323168 + 0.0im	3.3351922298138076e-18 + 0.0im
0.0 + 0.0im	0.0002573425804439873 + 0.0im

-0.014735119696139847 + 0.0im	-8.994832305812069e-14 + 0.0im
0.0 + 0.0im	-0.01473511968927688 + 0.0im

0.002196087010598618 + 0.0im	-1.3495657363990152e-14 + 0.0im
0.0 + 0.0im	-0.002196087000796435 + 0.0im

0.0001072456398793042 + 0.0im	5.078460150646042e-16 + 0.0im
0.0 + 0.0im	0.00010724528815884083 + 0.0im

-0.057002449448959415 + 0.0im	-1.516845324475366e-13 + 0.0im
0.0 + 0.0im	-0.057002449243792774 + 0.0im

0.0002165190405326569 + 0.0im	-3.6740816416807806e-16 + 0.0im
0.0 + 0.0im	-0.00021651890607242845 + 0.0im

9.527403813488328e-5 + 0.0im	-1.8533393132973394e-12 + 0.0im
0.0 + 0.0im	9.526278032356746e-5 + 0.0im
