1.1102230246251565e-16 + 0.0im	0.09993124742452267 + 0.0im
0.09993124742452267 + 0.0im	5.551115123125783e-17 + 0.0im

1.3010426069826053e-16 + 0.0im	-0.08219248831133766 + 0.0im
-0.08219248831133766 + 0.0im	1.5959455978986625e-16 + 0.0im

4.85722573273506e-17 + 0.0im	0.1464467221920247 + 0.0im
0.14644672219202473 + 0.0im	-3.469446951953614e-17 + 0.0im

-6.938893903907228e-17 + 0.0im	0.15246828630854273 + 0.0im
0.15246828630854276 + 0.0im	-4.163336342344337e-17 + 0.0im

9.71445146547012e-17 + 0.0im	-0.05726094558841152 + 0.0im
-0.05726094558841154 + 0.0im	6.938893903907228e-17 + 0.0im

-4.163336342344337e-17 + 0.0im	-0.22814824402200468 + 0.0im
-0.2281482440220047 + 0.0im	-9.71445146547012e-17 + 0.0im

4.163336342344337e-17 + 0.0im	-0.09330838555436005 + 0.0im
-0.09330838555436007 + 0.0im	-4.163336342344337e-17 + 0.0im

-3.8163916471489756e-17 + 0.0im	-0.08296790386153244 + 0.0im
-0.08296790386153247 + 0.0im	3.469446951953614e-18 + 0.0im

6.938893903907228e-17 + 0.0im	-0.17713321734592113 + 0.0im
-0.17713321734592113 + 0.0im	-1.3877787807814457e-17 + 0.0im

9.020562075079397e-17 + 0.0im	-0.026715989723626696 + 0.0im
-0.026715989723626696 + 0.0im	-7.632783294297951e-17 + 0.0im

1.0408340855860843e-16 + 0.0im	0.12562911387072956 + 0.0im
0.12562911387072956 + 0.0im	-6.245004513516506e-17 + 0.0im

4.579669976578771e-16 + 0.0im	0.11099028397407408 + 0.0im
0.11099028397407408 + 0.0im	-4.3021142204224816e-16 + 0.0im

-2.5326962749261384e-16 + 0.0im	-0.05282777918035631 + 0.0im
-0.052827779180356325 + 0.0im	2.2898349882893854e-16 + 0.0im

6.730727086790012e-16 + 0.0im	-0.1256668352827209 + 0.0im
-0.12566683528272088 + 0.0im	-6.38378239159465e-16 + 0.0im

1.5543122344752192e-15 + 0.0im	-0.05612872640213869 + 0.0im
-0.0561287264021387 + 0.0im	-1.6237011735142914e-15 + 0.0im

-1.218643241873707e-15 + 0.0im	0.032410589268934635 + 0.0im
0.03241058926893463 + 0.0im	1.2411946470614055e-15 + 0.0im

2.4494295480792516e-15 + 0.0im	0.1142644770704635 + 0.0im
0.11426447707046353 + 0.0im	-2.4494295480792516e-15 + 0.0im

-4.808653475407709e-15 + 0.0im	-0.011165830967492987 + 0.0im
-0.011165830967492983 + 0.0im	4.211908599671688e-15 + 0.0im

4.275442846979338e-15 + 0.0im	0.02141764400826891 + 0.0im
0.02141764400826891 + 0.0im	-3.66200125778704e-15 + 0.0im

-2.270406085358445e-14 + 0.0im	0.1063614693816976 + 0.0im
0.10636146938169763 + 0.0im	2.2787327580431338e-14 + 0.0im

-5.1562920599934614e-14 + 0.0im	0.07544281846553416 + 0.0im
0.07544281846553416 + 0.0im	5.172251515972448e-14 + 0.0im

3.8632291810003494e-14 + 0.0im	-0.079957328307316 + 0.0im
-0.079957328307316 + 0.0im	-3.8816172498457036e-14 + 0.0im

-6.122324869295426e-13 + 0.0im	-0.10230979614202165 + 0.0im
-0.10230979614202164 + 0.0im	6.123990203832363e-13 + 0.0im

6.520409212562583e-13 + 0.0im	-0.09702210740936955 + 0.0im
-0.09702210740936956 + 0.0im	-6.512776429268285e-13 + 0.0im

-6.025180354640725e-13 + 0.0im	0.09927275581641964 + 0.0im
0.09927275581641963 + 0.0im	6.016437348321801e-13 + 0.0im

8.8001758657974e-12 + 0.0im	0.09923482341314378 + 0.0im
0.09923482341314377 + 0.0im	-8.801355477761064e-12 + 0.0im

-8.120865091498786e-12 + 0.0im	-0.09799283114609794 + 0.0im
-0.09799283114609794 + 0.0im	8.121947558947795e-12 + 0.0im

1.27565527585638e-11 + 0.0im	-0.10061884809358804 + 0.0im
-0.10061884809358804 + 0.0im	-1.2756497247412568e-11 + 0.0im

1.2971848248333195e-9 + 0.0im	-0.08420738848349718 + 0.0im
-0.08420738848349718 + 0.0im	-1.2972595636595585e-9 + 0.0im

-1.2929314840981476e-9 + 0.0im	0.08374741311922679 + 0.0im
0.08374741311922679 + 0.0im	1.2930062506799622e-9 + 0.0im

1.5933193375783361e-9 + 0.0im	0.10028875276884103 + 0.0im
0.10028875276884106 + 0.0im	-1.5933193930894873e-9 + 0.0im

5.6149173477404446e-8 + 0.0im	-0.03291746814049169 + 0.0im
-0.03291746814049171 + 0.0im	-5.615030038846891e-8 + 0.0im

-5.597445546564467e-8 + 0.0im	0.03310086565386883 + 0.0im
0.033100865653868806 + 0.0im	5.597558237670913e-8 + 0.0im

2.244491450406616e-7 + 0.0im	0.10011474443838043 + 0.0im
0.10011474443838048 + 0.0im	-2.2444914154345907e-7 + 0.0im

7.697098374920275e-7 + 0.0im	0.09824666825513524 + 0.0im
0.09824666825513523 + 0.0im	-7.697095756736827e-7 + 0.0im
