4.163336342344337e-17 + 0.0im	0.10231329510983025 + 0.0im
0.10231329510983025 + 0.0im	5.551115123125783e-17 + 0.0im

-1.3877787807814457e-17 + 0.0im	0.11171664838537247 + 0.0im
0.11171664838537247 + 0.0im	-4.163336342344337e-17 + 0.0im

2.7755575615628914e-17 + 0.0im	0.03160558291211227 + 0.0im
0.031605582912112254 + 0.0im	6.938893903907228e-17 + 0.0im

1.3877787807814457e-17 + 0.0im	-0.2060787084965242 + 0.0im
-0.2060787084965242 + 0.0im	-6.938893903907228e-17 + 0.0im

1.249000902703301e-16 + 0.0im	-0.04695716919305059 + 0.0im
-0.04695716919305058 + 0.0im	4.163336342344337e-17 + 0.0im

-2.0816681711721685e-17 + 0.0im	-0.14765594262975879 + 0.0im
-0.14765594262975879 + 0.0im	-6.938893903907228e-17 + 0.0im

-5.551115123125783e-17 + 0.0im	-0.14412768376652235 + 0.0im
-0.14412768376652235 + 0.0im	5.551115123125783e-17 + 0.0im

5.204170427930421e-17 + 0.0im	0.001013726490119442 + 0.0im
0.001013726490119438 + 0.0im	6.591949208711867e-17 + 0.0im

-1.3877787807814457e-17 + 0.0im	0.16685803258261722 + 0.0im
0.16685803258261722 + 0.0im	0.0 + 0.0im

-1.249000902703301e-16 + 0.0im	0.02684818899787199 + 0.0im
0.02684818899787198 + 0.0im	-2.7755575615628914e-17 + 0.0im

1.0668549377257364e-16 + 0.0im	0.03879978412336871 + 0.0im
0.03879978412336872 + 0.0im	7.28583859910259e-17 + 0.0im

-2.498001805406602e-16 + 0.0im	0.13532557240651832 + 0.0im
0.13532557240651832 + 0.0im	2.3592239273284576e-16 + 0.0im

-2.1510571102112408e-16 + 0.0im	0.05192509851186658 + 0.0im
0.05192509851186658 + 0.0im	1.8041124150158794e-16 + 0.0im

-5.204170427930421e-17 + 0.0im	-0.08394593688348975 + 0.0im
-0.08394593688348974 + 0.0im	7.632783294297951e-17 + 0.0im

-2.6575963651964685e-15 + 0.0im	-0.11290026676693755 + 0.0im
-0.11290026676693754 + 0.0im	2.5743296383495817e-15 + 0.0im

1.3739009929736312e-15 + 0.0im	-0.08537520464014625 + 0.0im
-0.08537520464014625 + 0.0im	-1.394717674685353e-15 + 0.0im

-3.0461744238152733e-15 + 0.0im	0.10341908831245292 + 0.0im
0.1034190883124529 + 0.0im	2.949029909160572e-15 + 0.0im

-3.487488076103773e-14 + 0.0im	0.09792339817221143 + 0.0im
0.09792339817221143 + 0.0im	3.4888758548845544e-14 + 0.0im

2.984418268070499e-14 + 0.0im	-0.08878169515994178 + 0.0im
-0.08878169515994178 + 0.0im	-2.982336599899327e-14 + 0.0im

-4.964778588245622e-14 + 0.0im	-0.10436243099281778 + 0.0im
-0.1043624309928178 + 0.0im	4.964084698855231e-14 + 0.0im

-6.577377531513662e-13 + 0.0im	-0.07416953179031484 + 0.0im
-0.07416953179031485 + 0.0im	6.589173651150304e-13 + 0.0im

6.414105357954725e-13 + 0.0im	0.07066551318512249 + 0.0im
0.07066551318512249 + 0.0im	-6.426074949938965e-13 + 0.0im

-8.878800472622572e-13 + 0.0im	0.10217563602381674 + 0.0im
0.1021756360238168 + 0.0im	8.878592305805455e-13 + 0.0im

-6.216825665372738e-12 + 0.0im	-0.004142228168506357 + 0.0im
-0.0041422281685063525 + 0.0im	6.2247429433170964e-12 + 0.0im

6.096748187680787e-12 + 0.0im	0.005566722774444081 + 0.0im
0.0055667227744440675 + 0.0im	-6.10467983130393e-12 + 0.0im

-1.8983724314747263e-11 + 0.0im	0.10089820176413092 + 0.0im
0.10089820176413095 + 0.0im	1.8983710436959456e-11 + 0.0im

-6.907362876118484e-11 + 0.0im	0.08840057426046972 + 0.0im
0.08840057426046971 + 0.0im	6.908265626215382e-11 + 0.0im

6.447772871176483e-11 + 0.0im	-0.0889854748084449 + 0.0im
-0.0889854748084449 + 0.0im	-6.44867492738399e-11 + 0.0im

-1.8606466020698598e-9 + 0.0im	-0.10030510412150152 + 0.0im
-0.10030510412150152 + 0.0im	1.8606468935034037e-9 + 0.0im

1.5066362601956484e-9 + 0.0im	-0.09959661675829673 + 0.0im
-0.09959661675829673 + 0.0im	-1.5066348862946555e-9 + 0.0im

-1.7417505007721878e-9 + 0.0im	0.09988744724222573 + 0.0im
0.09988744724222576 + 0.0im	1.7417488631932265e-9 + 0.0im

-2.000241180258322e-7 + 0.0im	0.09928785593388945 + 0.0im
0.09928785593388943 + 0.0im	2.000241207528175e-7 + 0.0im

2.0001252946239e-7 + 0.0im	-0.09913828091760596 + 0.0im
-0.09913828091760593 + 0.0im	-2.00012532210192e-7 + 0.0im

-1.9703595120768025e-7 + 0.0im	-0.10008823363224541 + 0.0im
-0.10008823363224542 + 0.0im	1.9703595117992467e-7 + 0.0im

1.1222498110752266e-5 + 0.0im	-0.07279239503331728 + 0.0im
-0.07279239503331728 + 0.0im	-1.1222460077758845e-5 + 0.0im
