0.0 + 0.0im	0.0923620061990853 + 0.0im
0.0923620061990853 + 0.0im	0.0 + 0.0im

-3.469446951953614e-17 + 0.0im	-0.12495694970851905 + 0.0im
-0.124956949708519 + 0.0im	-6.938893903907228e-17 + 0.0im

-8.326672684688674e-17 + 0.0im	0.12163689810646558 + 0.0im
0.12163689810646557 + 0.0im	-5.551115123125783e-17 + 0.0im

-1.2836953722228372e-16 + 0.0im	-0.04356994624030138 + 0.0im
-0.04356994624030138 + 0.0im	4.5102810375396984e-17 + 0.0im

1.249000902703301e-16 + 0.0im	0.011895468935692335 + 0.0im
0.011895468935692363 + 0.0im	5.551115123125783e-17 + 0.0im

9.71445146547012e-17 + 0.0im	-0.33931561209301936 + 0.0im
-0.33931561209301936 + 0.0im	-1.3877787807814457e-17 + 0.0im

6.938893903907228e-17 + 0.0im	-0.09533115784822523 + 0.0im
-0.09533115784822523 + 0.0im	4.163336342344337e-17 + 0.0im

4.163336342344337e-17 + 0.0im	-0.12582584279550568 + 0.0im
-0.1258258427955057 + 0.0im	-2.7755575615628914e-17 + 0.0im

1.3877787807814457e-17 + 0.0im	-0.16858350799300825 + 0.0im
-0.16858350799300825 + 0.0im	-1.3877787807814457e-17 + 0.0im

-1.3877787807814457e-17 + 0.0im	-0.021759693463177382 + 0.0im
-0.02175969346317739 + 0.0im	6.938893903907228e-18 + 0.0im

6.938893903907228e-18 + 0.0im	0.14894195645836927 + 0.0im
0.14894195645836922 + 0.0im	5.551115123125783e-17 + 0.0im

-1.6653345369377348e-16 + 0.0im	0.07838190983961087 + 0.0im
0.07838190983961088 + 0.0im	3.191891195797325e-16 + 0.0im

-6.938893903907228e-18 + 0.0im	-0.018967177703051764 + 0.0im
-0.018967177703051764 + 0.0im	-1.5265566588595902e-16 + 0.0im

-4.996003610813204e-16 + 0.0im	-0.1322685289060188 + 0.0im
-0.1322685289060188 + 0.0im	4.85722573273506e-16 + 0.0im

-1.124100812432971e-15 + 0.0im	-0.001421274881623237 + 0.0im
-0.0014212748816232403 + 0.0im	1.1449174941446927e-15 + 0.0im

6.023827270329463e-16 + 0.0im	-0.02450946966276895 + 0.0im
-0.02450946966276895 + 0.0im	-6.76975836499949e-16 + 0.0im

-4.385380947269368e-15 + 0.0im	-0.11547945624120919 + 0.0im
-0.11547945624120917 + 0.0im	4.475586568020162e-15 + 0.0im

-9.645062526431047e-16 + 0.0im	-0.0636611906325499 + 0.0im
-0.06366119063254991 + 0.0im	8.951173136040325e-16 + 0.0im

-6.557254739192331e-16 + 0.0im	0.07558282437895018 + 0.0im
0.0755828243789502 + 0.0im	7.320533068622126e-16 + 0.0im

-2.749189764728044e-14 + 0.0im	0.1059246840881237 + 0.0im
0.10592468408812368 + 0.0im	2.7429447602145274e-14 + 0.0im

2.4424906541753444e-14 + 0.0im	0.09274892750585711 + 0.0im
0.09274892750585713 + 0.0im	-2.4445723223465166e-14 + 0.0im

-2.5299207173645755e-14 + 0.0im	-0.09880719487602929 + 0.0im
-0.09880719487602928 + 0.0im	2.5479618415147343e-14 + 0.0im

1.562916462916064e-13 + 0.0im	-0.09981979976327854 + 0.0im
-0.09981979976327855 + 0.0im	-1.5679818554659164e-13 + 0.0im

-1.3886808369889536e-13 + 0.0im	0.09631610878503456 + 0.0im
0.09631610878503453 + 0.0im	1.39194211712379e-13 + 0.0im

2.2378626729491202e-13 + 0.0im	0.1015195894512032 + 0.0im
0.10151958945120318 + 0.0im	-2.236752449924495e-13 + 0.0im

6.667257024250972e-12 + 0.0im	0.08619286896755249 + 0.0im
0.08619286896755249 + 0.0im	-6.656571127638955e-12 + 0.0im

-6.651561246240334e-12 + 0.0im	-0.08492494347228342 + 0.0im
-0.08492494347228341 + 0.0im	6.640993310824683e-12 + 0.0im

4.0853084803949e-12 + 0.0im	-0.10078519316155962 + 0.0im
-0.10078519316155965 + 0.0im	-4.085350113758324e-12 + 0.0im

-5.768770044989324e-10 + 0.0im	-0.004585053839910211 + 0.0im
-0.004585053839910208 + 0.0im	5.768129932026689e-10 + 0.0im

5.737293537933126e-10 + 0.0im	0.004078545769668729 + 0.0im
0.004078545769668726 + 0.0im	-5.736653805525453e-10 + 0.0im

-1.3947531324332019e-9 + 0.0im	-0.10031919995694596 + 0.0im
-0.10031919995694599 + 0.0im	1.3947531532498836e-9 + 0.0im

-6.106556198204327e-9 + 0.0im	-0.0923650674128219 + 0.0im
-0.09236506741282188 + 0.0im	6.106532828009659e-9 + 0.0im

5.906069175387607e-9 + 0.0im	0.09256962968045677 + 0.0im
0.09256962968045675 + 0.0im	-5.906045812131833e-9 + 0.0im

-1.9948606892056242e-7 + 0.0im	0.10010584835034209 + 0.0im
0.1001058483503421 + 0.0im	1.994860690662792e-7 + 0.0im

1.9917014697223845e-7 + 0.0im	0.09986353478714126 + 0.0im
0.09986353478714124 + 0.0im	-1.9917014595915994e-7 + 0.0im
